"InvID","PlotID","Invdate","Azimuth","Decay Factor","Size"
1,"2000-00001","2003-08-26 00:00:00",173,"D",7
1,"2000-00001","2003-08-26 00:00:00",173,"D",3
1,"2000-00001","2003-08-26 00:00:00",173,"D",8
1,"2000-00001","2003-08-26 00:00:00",113,"C",7
1,"2000-00001","2003-08-26 00:00:00",113,"D",7
2,"2000-00002","2003-08-26 00:00:00",228,"B",3
2,"2000-00002","2003-08-26 00:00:00",228,"B",3
2,"2000-00002","2003-08-26 00:00:00",228,"B",5
3,"2000-00003","2003-08-25 00:00:00",67,"D",3
3,"2000-00003","2003-08-25 00:00:00",127,"D",4
3,"2000-00003","2003-08-25 00:00:00",127,"C",3
3,"2000-00003","2003-08-25 00:00:00",127,"B",4
3,"2000-00003","2003-08-25 00:00:00",127,"C",3
3,"2000-00003","2003-08-25 00:00:00",127,"D",10
3,"2000-00003","2003-08-25 00:00:00",127,"C",14
4,"2000-00004","2003-08-26 00:00:00",130,"D",4
4,"2000-00004","2003-08-26 00:00:00",130,"C",3
5,"2000-00005","2003-08-26 00:00:00",264,"B",3
7,"2000-00007","2003-08-26 00:00:00",146,"C",5
7,"2000-00007","2003-08-26 00:00:00",146,"C",3
7,"2000-00007","2003-08-26 00:00:00",146,"D",12
7,"2000-00007","2003-08-26 00:00:00",206,"D",5
7,"2000-00007","2003-08-26 00:00:00",206,"C",5
7,"2000-00007","2003-08-26 00:00:00",206,"D",7
7,"2000-00007","2003-08-26 00:00:00",206,"D",6
8,"2000-00008","2003-08-26 00:00:00",318,"D",26
9,"2000-00009","2003-08-26 00:00:00",7,"D",7
10,"2000-00010","2003-08-26 00:00:00",80,"B",4
11,"2000-00011","2003-08-26 00:00:00",338,"D",19
11,"2000-00011","2003-08-26 00:00:00",338,"C",3
11,"2000-00011","2003-08-26 00:00:00",338,"D",12
11,"2000-00011","2003-08-26 00:00:00",338,"D",11
11,"2000-00011","2003-08-26 00:00:00",38,"D",3
11,"2000-00011","2003-08-26 00:00:00",38,"C",6
11,"2000-00011","2003-08-26 00:00:00",38,"C",5
11,"2000-00011","2003-08-26 00:00:00",38,"D",3
11,"2000-00011","2003-08-26 00:00:00",38,"B",6
11,"2000-00011","2003-08-26 00:00:00",38,"C",6
12,"2000-00012","2003-08-27 00:00:00",283,"B",3
12,"2000-00012","2003-08-27 00:00:00",223,"B",3
13,"2000-00013","2003-08-27 00:00:00",202,"C",5
13,"2000-00013","2003-08-27 00:00:00",202,"D",4
13,"2000-00013","2003-08-27 00:00:00",202,"D",4
13,"2000-00013","2003-08-27 00:00:00",202,"C",3
13,"2000-00013","2003-08-27 00:00:00",202,"B",5
13,"2000-00013","2003-08-27 00:00:00",142,"D",6
13,"2000-00013","2003-08-27 00:00:00",142,"D",3
