"InvID","Plotid","Plotnum","InvYear","Invdate","Plotsize","Crew","Crew#","InvenType","TravelTime","TotalTime","Canopy","Pcomments"
1,"2000-00001",1,"2003","2003-08-26 00:00:00",0.100000001490116,"LS RW SD GT",4,"N",0.300000011920929,2.75,40,"LARGE TREE DATA ON 8/26/2003 (LS RW) ALL THE REST ON 8/23/2004 (SD GT)"
2,"2000-00002",2,"2003","2003-08-26 00:00:00",0.100000001490116,"JR GR SD GT",4,"N",0.200000002980232,2.09999990463257,76,"LARGE TREE DATA ON 8/26/2003 (JR GR) ALL THE REST ON 8/23/2004 (SD GT)"
3,"2000-00003",3,"2003","2003-08-25 00:00:00",0.100000001490116,"JR LS RW GR SD GT",6,"N",0.200000002980232,2.29999995231628,76,"LARGE TREE DATA ON 8/25/2003 (JR LS RW GR) ALL TEH REST ON 8/23/2004 (SD GT)"
4,"2000-00004",4,"2003","2003-08-26 00:00:00",0.100000001490116,"LS RW GT SD",4,"N",0.200000002980232,2.90000009536743,76,"THERE IS A CLEARING IN WHICH MANY OF THE INTERMEDIATE TREES ARE GROWING - MIGHT BE CONSIDERED A SECOND AGE CLASS; LARGE TREE DATA ON 8/26/2003 (JR GR) ALL THE REST ON 8/23/2004 (SD GT)"
5,"2000-00005",5,"2003","2003-08-26 00:00:00",0.100000001490116,"JR GR GT SD",4,"N",0.200000002980232,1.29999995231628,48,"ROAD IN PLOT SAPSUCKERS PRESENT ; TREE DATA FROM 8/26/03 (JR GR) ALL OTHER DATA 8/23/04 (GT SD) "
6,"2000-00006",6,"2003","2003-08-26 00:00:00",0.100000001490116,"JR GR GT SD",4,"N",0.200000002980232,1.89999997615814,74,"TREE DATA FROM 8/26/03 (JR GR) ALL OTHER DATA 8/23/04 (GT SD) "
7,"2000-00007",7,"2003","2003-08-26 00:00:00",0.100000001490116,"LS RW GT SD",4,"N",0.200000002980232,2.25,92,"TREE DATA FROM 8/26/03 (LS RW) ALL OTHER DATA 8/23/04 (GT SD) "
8,"2000-00008",8,"2003","2003-08-26 00:00:00",0.100000001490116,"JR GR GT SD",4,"N",0.300000011920929,2.20000004768372,68,"TREE DATA FROM 8/26/03 (JR GR) ALL OTHER DATA 8/23/04 (GT SD) "
9,"2000-00009",9,"2003","2003-08-26 00:00:00",0.100000001490116,"JR GR GT SD",4,"N",0.200000002980232,2.09999990463257,68,"TREE DATA FROM 8/26/03 (JR GR) ALL OTHER DATA 8/23/04 (GT SD) "
10,"2000-00010",10,"2003","2003-08-26 00:00:00",0.100000001490116,"LS RW SD GT",4,"N",0.300000011920929,3.20000004768372,-9,"5% GROUND COVER MOSS; TREE DATA FROM 8/26/03 (LS RW) ALL OTHER DATA 8/24/04 (GT SD)"
11,"2000-00011",11,"2003","2003-08-26 00:00:00",0.100000001490116,"JR GR GT SD",4,"N",0.400000005960464,2.20000004768372,64,"TREE DATA FROM 8/26/03 (JR GR) ALL OTHER DATA 8/26/04 (GT SD) "
12,"2000-00012",12,"2003","2003-08-27 00:00:00",0.100000001490116,"JR GR GT SD",4,"N",0.200000002980232,2.20000004768372,88,"TREE DATA FROM 8/27/03 (JR GR) ALL OTHER DATA 8/27/04 (GT SD) "
13,"2000-00013",13,"2003","2003-08-27 00:00:00",0.100000001490116,"LS RW GT SD",4,"N",0.300000011920929,2.5,84,"TREE DATA FROM 8/27/03 (LS RW) ALL OTHER DATA 8/23/04 (GT SD) "
14,"2000-00014",14,"2003","2003-08-27 00:00:00",0.100000001490116,"JR GR SD GT",4,"N",0.300000011920929,1.79999995231628,74,"TREE DATA FROM 8/27/03 (LS RW) ALL OTHER DATA 8/24/04 (GT SD)"
15,"2000-00015",15,"2003","2003-08-27 00:00:00",0.100000001490116,"JR GR GT SD",4,"N",0.200000002980232,2.29999995231628,88,"TREE DATA FROM 8/27/03 (JR GR) ALL OTHER DATA 8/26/04 (GT SD) "
16,"2000-00016",16,"2003","2003-08-27 00:00:00",0.100000001490116,"LS RW SD GT",4,"N",0.200000002980232,2.95000004768372,68,"TREE DATA FROM 8/27/03 (LS RW) ALL OTHER DATA 8/23/04 (GT SD) "
17,"2000-00017",17,"2003","2003-08-28 00:00:00",0.100000001490116,"JR GR SD GT",4,"N",0.400000005960464,2.59999990463257,84,"TREE DATA FROM 8/28/03 (JR GR) ALL OTHER DATA 8/24/04 (GT SD) "
18,"2000-00018",18,"2003","2003-08-27 00:00:00",0.100000001490116,"JR GR SD GT",4,"N",0.300000011920929,2.5,92,"TREE DATA FROM 8/27/03 (JR GR) ALL OTHER DATA 8/25/04 (GT SD) "
