"InvID","PlotID","Invdate","Treenum","Species","Cdeath","Yrdeath","Comment"
26,"2000-00001","2010-08-31 00:00:00",17,"DF","M","9",""
26,"2000-00001","2010-08-31 00:00:00",18,"IC","M","9",""
26,"2000-00001","2010-08-31 00:00:00",19,"WF","M","9",""
26,"2000-00001","2010-08-31 00:00:00",20,"WF","M","9",""
26,"2000-00001","2010-08-31 00:00:00",21,"DF","M","9",""
26,"2000-00001","2010-08-31 00:00:00",25,"DW","M","9",""
29,"2000-00005","2010-09-02 00:00:00",7,"PP","R","2",""
31,"2000-00007","2010-08-28 00:00:00",8,"WF","M","9",""
34,"2000-00010","2010-08-28 00:00:00",43,"WF","W","9",""
36,"2000-00012","2010-08-31 00:00:00",37,"DW","X","9","NOT TAGGED TURNING INTO BRUSH"
36,"2000-00012","2010-08-31 00:00:00",38,"DW","X","9","NOT TAGGED TURNING INTO BRUSH"
36,"2000-00012","2010-08-31 00:00:00",39,"DW","X","9","NOT TAGGED TURNING INTO BRUSH"
36,"2000-00012","2010-08-31 00:00:00",40,"DW","X","9","NOT TAGGED TURNING INTO BRUSH"
36,"2000-00012","2010-08-31 00:00:00",42,"DW","X","9","NOT TAGGED TURNING INTO BRUSH"
41,"2000-00017","2010-08-29 00:00:00",39,"WF","N","9",""
42,"2000-00018","2010-08-31 00:00:00",48,"WF","N","9","UNDER MIN SNAG DBH"
43,"2000-00019","2010-08-30 00:00:00",63,"WF","N","9",""
44,"2000-00020","2010-08-29 00:00:00",2,"WF","N","9","TREE FALLEN SPLINTERED AT BASE"
46,"2000-00022","2010-08-31 00:00:00",9,"WF","N","9",""
49,"2000-00002","2011-09-13 00:00:00",6,"WF","R","9",""
49,"2000-00002","2011-09-13 00:00:00",9,"WF","R","9",""
49,"2000-00002","2011-09-13 00:00:00",10,"WF","R","9",""
49,"2000-00002","2011-09-13 00:00:00",15,"WF","M","9",""
49,"2000-00002","2011-09-13 00:00:00",16,"WF","R","9","STUMP LESS THAN 20"
49,"2000-00002","2011-09-13 00:00:00",21,"WF","R","9","STUMP LESS THAN 20"
50,"2000-00003","2011-09-13 00:00:00",11,"WF","R","9","STUMP LESS THAN 20"
50,"2000-00003","2011-09-13 00:00:00",18,"WF","R","9","STUMP LESS THAN 20"
50,"2000-00003","2011-09-13 00:00:00",21,"WF","R","9","STUMP LESS THAN 20"
51,"2000-00004","2011-09-13 00:00:00",5,"WF","R","9","TOO SMALL"
51,"2000-00004","2011-09-13 00:00:00",9,"DF","R","9","TOO SMALL"
52,"2000-00005","2011-09-13 00:00:00",7,"PP","M","9","NOT FOUND"
53,"2000-00006","2011-09-13 00:00:00",4,"DF","R","9","STUMP LESS THAN 20"
53,"2000-00006","2011-09-13 00:00:00",15,"WF","R","9","STUMP LESS THAN 20"
