"InvID","PlotID","Invdate","Treenum","Species","Bhage","Theight","Comment"
21,"2000-00021","2003-08-27 00:00:00",1,"SP",133,167,"WITNESSAZ6DIST36.7"
17,"2000-00017","2003-08-28 00:00:00",34,"SP",121,151,"WITNESS AZ287 DIST33.9"
10,"2000-00010","2004-08-25 00:00:00",-1,"DF",90,117,"PLOT 10"
20,"2000-00020","2004-08-25 00:00:00",-2,"DF",48,89,"NEAR PLOT 20"
8,"2000-00008","2004-08-25 00:00:00",-3,"DF",53,94,"ON ROAD @ FORK TO RESEVOIR SPUR"
4,"2000-00004","2004-08-25 00:00:00",-4,"IC",44,58,"ON ROAD BTWN PLOTS 4&5"
10,"2000-00010","2004-08-25 00:00:00",-5,"IC",113,100,"NEAR PLOT10"
1,"2000-00001","2004-08-25 00:00:00",-6,"IC",128,128,"UNKNOWN LOCATION OFF MAIN ENTRANCE ROAD"
2,"2000-00002","2004-08-25 00:00:00",-7,"PP",49,97,"PLOT 2"
8,"2000-00008","2004-08-25 00:00:00",-8,"PP",53,91,"BY RESEVOIR"
1,"2000-00001","2004-08-25 00:00:00",-9,"PP",44,92,"LOCATION UNKNOWN"
13,"2000-00013","2004-08-25 00:00:00",-10,"SP",72,99,"NEAR PLOT 13"
24,"2000-00024","2004-08-25 00:00:00",-11,"SP",106,121,"NORTH OF PLOT 24"
17,"2000-00017","2004-08-25 00:00:00",7,"SP",98,140,"PLOT 17 TREE #7"
6,"2000-00006","2004-08-25 00:00:00",-12,"WF",119,123,"PLOT 6"
9,"2000-00009","2004-08-25 00:00:00",-13,"WF",95,89,"PLOT 9"
17,"2000-00017","2004-08-25 00:00:00",-14,"WF",119,131,"SPRING BOX"
