"InvID","PlotID","Invdate","Treenum","Species","dbh","Toppres","Woodpeck","Barkcond","Theight","Cdeath","Yrdeath","Whard","Nesthole","Limbcond","Comment"
75,"2000-00003","2017-05-23 00:00:00",12,"DF",20.3999996185303,"N","Y",100,47,"D",4,3,1,"C",""
76,"2000-00006","2017-05-23 00:00:00",8,"BO",9.10000038146973,"Y","N",0,53,"D",4,2,0,"D",""
80,"2000-00017","2017-05-24 00:00:00",21,"BO",10.8000001907349,"N","N",100,7,"D",4,4,0,"E",""
81,"2000-00021","2017-05-24 00:00:00",5,"WF",22.3999996185303,"N","Y",100,18,"D",4,3,8,"E",""
1,"2000-00001","2003-08-26 00:00:00",1,"WF",26.2000007629395,"Y","N",100,72,"N",9,2,0,"B",""
1,"2000-00001","2003-08-26 00:00:00",9,"WF",7.19999980926514,"Y","N",100,32,"N",9,1,0,"B",""
1,"2000-00001","2003-08-26 00:00:00",13,"WF",9.30000019073486,"Y","N",100,60,"N",9,1,0,"B",""
1,"2000-00001","2003-08-26 00:00:00",15,"WF",7.80000019073486,"Y","N",100,56,"N",9,1,0,"B",""
1,"2000-00001","2003-08-26 00:00:00",21,"DF",29.3999996185303,"Y","N",100,46,"N",9,2,0,"C",""
2,"2000-00002","2003-08-26 00:00:00",15,"WF",11.3999996185303,"Y","N",100,60,"N",1,1,0,"B",""
3,"2000-00003","2003-08-25 00:00:00",8,"DF",24.5,"N","N",95,5,"U",9,5,0,"E",""
4,"2000-00004","2003-08-26 00:00:00",12,"IC",26.5,"N","Y",0,13,"U",9,4,2,"E",""
6,"2000-00006","2003-08-26 00:00:00",8,"BO",9.10000038146973,"Y","N",0,50,"N",9,1,0,"D",""
7,"2000-00007","2003-08-26 00:00:00",4,"WF",9.10000038146973,"Y","N",100,50,"N",9,2,0,"A",""
7,"2000-00007","2003-08-26 00:00:00",8,"WF",8,"N","Y",40,15,"U",9,5,3,"E",""
10,"2000-00010","2003-08-26 00:00:00",3,"SP",11.1999998092651,"Y","Y",95,35,"N",9,4,3,"B",""
10,"2000-00010","2003-08-26 00:00:00",7,"DF",7.19999980926514,"Y","Y",95,46,"N",9,3,0,"B",""
10,"2000-00010","2003-08-26 00:00:00",9,"IC",6.5,"Y","N",100,24,"N",9,2,0,"B",""
10,"2000-00010","2003-08-26 00:00:00",16,"BO",9.30000019073486,"Y","Y",65,50,"N",9,2,0,"C",""
10,"2000-00010","2003-08-26 00:00:00",18,"BO",9.39999961853027,"Y","N",95,34,"N",9,2,0,"B",""
10,"2000-00010","2003-08-26 00:00:00",38,"WF",8.60000038146973,"Y","N",100,45,"N",9,1,0,"B",""
10,"2000-00010","2003-08-26 00:00:00",43,"WF",6,"Y","N",100,21,"N",9,1,0,"B",""
10,"2000-00010","2003-08-26 00:00:00",44,"WF",6.19999980926514,"Y","N",100,30,"N",9,1,0,"B",""
12,"2000-00012","2003-08-27 00:00:00",17,"BO",4.69999980926514,"Y","N",0,24,"N",9,2,0,"C",""
12,"2000-00012","2003-08-27 00:00:00",18,"BO",5.09999990463257,"Y","N",10,18,"N",9,2,0,"C",""
12,"2000-00012","2003-08-27 00:00:00",21,"BO",9,"N","N",40,24,"N",9,2,0,"C",""
13,"2000-00013","2003-08-27 00:00:00",17,"DF",6.19999980926514,"Y","N",100,32,"N",9,1,0,"B",""
15,"2000-00015","2003-08-27 00:00:00",31,"PP",36,"N","Y",20,21,"U",9,4,0,"E",""
16,"2000-00016","2003-08-27 00:00:00",16,"WF",4.5,"Y","N",100,28,"N",9,4,0,"B",""
