"InvID","PlotID","Invdate","Treenum","Species","dbh","Heartwood","Woodpeck","Barkcond","Theight","Cdeath","Yrdeath","Whard","Nesthole","SapWood","Weight","Comment"
1,"2000-00001","2003-08-26 00:00:00",19,"WF",24,"E","N",30,2,"R",9,5,0,"E",10,""
3,"2000-00003","2003-08-25 00:00:00",4,"DF",41,"E","Y",85,1,"R",9,5,0,"E",10,""
3,"2000-00003","2003-08-25 00:00:00",5,"DF",34,"E","N",70,1,"R",9,5,0,"E",10,""
8,"2000-00008","2003-08-26 00:00:00",28,"DF",60,"E","N",95,1,"R",9,5,0,"E",10,""
11,"2000-00011","2003-08-26 00:00:00",3,"IC",32.9000015258789,"B","N",5,2,"R",9,2,0,"C",10,""
16,"2000-00016","2003-08-27 00:00:00",4,"DF",45.5999984741211,"E","Y",80,3,"R",9,5,0,"E",10,""
25,"2000-00002","2010-08-31 00:00:00",2,"WF",22.6000003814697,"A","N",80,1,"R",1,1,0,"A",10,""
25,"2000-00002","2010-08-31 00:00:00",11,"PP",14,"A","N",100,1,"R",2,1,0,"A",100,""
25,"2000-00002","2010-08-31 00:00:00",15,"WF",15.6000003814697,"B","N",100,1,"D",4,-9,0,"C",100,""
25,"2000-00002","2010-08-31 00:00:00",18,"PP",7.19999980926514,"B","N",100,1,"D",4,2,0,"B",100,""
25,"2000-00002","2010-08-31 00:00:00",19,"PP",13.1999998092651,"B","N",80,1,"D",4,2,0,"B",100,""
25,"2000-00002","2010-08-31 00:00:00",21,"WF",20.3999996185303,"B","N",100,1,"D",4,2,0,"B",10,""
26,"2000-00001","2010-08-31 00:00:00",1,"WF",19.5,"E","N",50,3,"D",4,5,0,"E",100,"SAPWOOD MOSTLY GONE  TREE ON CLIFF EDGE"
27,"2000-00003","2010-07-29 00:00:00",4,"DF",40,"D","Y",85,1,"R",4,-9,0,"E",10,""
27,"2000-00003","2010-07-29 00:00:00",5,"DF",36,"D","N",70,1,"R",4,-9,0,"D",10,""
29,"2000-00005","2010-09-02 00:00:00",9,"IC",9.5,"A","N",100,1,"R",2,-9,0,"A",100,""
32,"2000-00008","2010-08-29 00:00:00",28,"DF",55.2000007629395,"C","N",95,1,"R",4,-9,1,"D",10,"HOLE IN STUMP"
35,"2000-00011","2010-08-30 00:00:00",3,"IC",32.5,"C","N",5,3,"D",4,-9,0,"B",10,""
37,"2000-00013","2010-08-28 00:00:00",17,"DF",6,"X","Y",85,4,"D",4,3,0,"X",100,""
40,"2000-00016","2010-08-29 00:00:00",4,"DF",46,"E","N",70,3,"D",4,-9,0,"D",10,""
49,"2000-00002","2011-09-13 00:00:00",2,"WF",22.6000003814697,"A","N",80,1,"D",2,-9,0,"A",10,""
49,"2000-00002","2011-09-13 00:00:00",4,"DF",19.7999992370605,"A","N",95,1,"R",0,-9,0,"A",100,"1/100"
49,"2000-00002","2011-09-13 00:00:00",14,"WF",19.2000007629395,"A","N",55,1,"R",0,-9,0,"A",100,"1/100"
50,"2000-00003","2011-09-13 00:00:00",4,"DF",40,"D","Y",85,1,"R",4,-9,0,"E",10,"REMOVED PRIOR 2011"
50,"2000-00003","2011-09-13 00:00:00",5,"DF",36,"D","N",70,1,"R",4,-9,0,"D",10,"REMOVED PRIOR 2011"
50,"2000-00003","2011-09-13 00:00:00",8,"DF",22,"C","N",10,2,"D",4,-9,0,"D",10,"RETAGGED"
50,"2000-00003","2011-09-13 00:00:00",23,"WF",22.1000003814697,"A","N",100,1,"R",0,-9,0,"A",10,""
51,"2000-00004","2011-09-13 00:00:00",6,"WF",38.7000007629395,"A","N",20,2,"R",1,-9,0,"A",10,""
52,"2000-00005","2011-09-13 00:00:00",2,"WF",23.7000007629395,"A","N",95,1,"R",0,-9,0,"A",10,""
52,"2000-00005","2011-09-13 00:00:00",3,"DF",24,"A","N",65,1,"R",0,-9,0,"A",10,""
52,"2000-00005","2011-09-13 00:00:00",4,"IC",25.7000007629395,"A","N",100,1,"R",0,-9,0,"A",10,""
52,"2000-00005","2011-09-13 00:00:00",9,"IC",9.5,"A","N",100,1,"R",2,-9,0,"A",100,""
52,"2000-00005","2011-09-13 00:00:00",11,"WF",24.8999996185303,"A","N",100,1,"R",0,-9,0,"A",10,""
54,"2000-00007","2011-08-22 00:00:00",2,"WF",26.5,"A","N",90,1,"R",1,-9,0,"A",10,""
54,"2000-00007","2011-08-22 00:00:00",6,"WF",20.7999992370605,"A","N",95,1,"R",1,-9,0,"A",10,""
54,"2000-00007","2011-08-22 00:00:00",23,"DF",39.9000015258789,"A","N",90,2,"R",1,-9,0,"A",10,""
55,"2000-00009","2011-09-13 00:00:00",9,"WF",14.3000001907349,"A","N",95,1,"R",0,-9,0,"A",100,"1/100 RETAG"
55,"2000-00009","2011-09-13 00:00:00",12,"DF",24.2000007629395,"A","N",100,1,"R",0,-9,0,"A",10,"1/100 RETAG OUT OF ORDER"
55,"2000-00009","2011-09-13 00:00:00",14,"DF",12.8000001907349,"A","N",70,1,"R",0,-9,0,"A",100,"1/100 RETAG"
56,"2000-00010","2011-08-22 00:00:00",6,"WF",22.2000007629395,"A","N",95,1,"R",1,-9,0,"A",10,""
56,"2000-00010","2011-08-22 00:00:00",10,"WF",15.1000003814697,"A","N",90,1,"R",1,-9,0,"A",100,"1/100 AZ 125"
56,"2000-00010","2011-08-22 00:00:00",12,"DF",30,"A","N",95,1,"R",1,-9,0,"A",10,"AZ142"
56,"2000-00010","2011-08-22 00:00:00",17,"BO",22.2000007629395,"A","N",100,1,"C",1,-9,0,"A",10,""
56,"2000-00010","2011-08-22 00:00:00",36,"DF",20.3999996185303,"A","N",85,1,"R",1,-9,0,"A",10,""
57,"2000-00011","2011-08-23 00:00:00",3,"IC",32.5,"C","N",5,3,"D",4,-9,0,"B",10,""
57,"2000-00011","2011-08-23 00:00:00",20,"DF",19.2000007629395,"A","N",60,1,"R",1,-9,0,"A",100,"1/100"
58,"2000-00012","2011-09-14 00:00:00",8,"DF",13.1999998092651,"A","N",50,1,"R",0,-9,0,"A",100,"RETAGGED 1/100"
58,"2000-00012","2011-09-14 00:00:00",27,"DF",16.2000007629395,"A","N",100,1,"R",0,-9,0,"A",100,"RETAGGED 1/100"
59,"2000-00013","2011-08-23 00:00:00",3,"WF",20.2999992370605,"A","N",70,1,"R",1,-9,0,"A",10,"AZ 225 D 12.4"
59,"2000-00013","2011-08-23 00:00:00",18,"DF",28.2999992370605,"A","N",100,1,"R",1,-9,0,"A",10,""
59,"2000-00013","2011-08-23 00:00:00",23,"DF",19,"A","N",100,2,"R",1,-9,0,"A",100,"1/100"
60,"2000-00014","2011-09-14 00:00:00",18,"IC",24,"A","N",100,1,"R",0,-9,0,"A",10,""
62,"2000-00016","2011-08-23 00:00:00",1,"PP",37.7999992370605,"A","N",80,1,"R",1,-9,0,"A",10,""
62,"2000-00016","2011-08-23 00:00:00",4,"DF",46,"E","N",70,3,"D",4,-9,0,"D",10,"QSTATUS LAST INVENTORY STUMP DATA ALREADY TAKEN"
62,"2000-00016","2011-08-23 00:00:00",24,"WF",22.7000007629395,"A","N",95,1,"R",1,-9,0,"A",10,""
62,"2000-00016","2011-08-23 00:00:00",26,"WF",23.8999996185303,"A","N",100,2,"R",1,-9,0,"A",10,""
63,"2000-00017","2011-09-14 00:00:00",8,"SP",26,"A","N",100,1,"R",0,-9,0,"A",10,""
64,"2000-00018","2011-09-12 00:00:00",37,"DF",16.2999992370605,"A","N",100,1,"R",0,-9,0,"A",100,"1/100"
64,"2000-00018","2011-09-12 00:00:00",43,"WF",17.8999996185303,"A","N",100,1,"R",0,-9,0,"A",100,"1/100"
64,"2000-00018","2011-09-12 00:00:00",45,"WF",20.7999992370605,"A","N",100,1,"R",0,-9,0,"A",10,""
65,"2000-00019","2011-09-12 00:00:00",10,"WF",18.6000003814697,"A","N",100,2,"R",1,-9,0,"A",100,"1/100"
65,"2000-00019","2011-09-12 00:00:00",11,"DF",23.2999992370605,"A","N",100,2,"R",1,-9,0,"A",10,""
65,"2000-00019","2011-09-12 00:00:00",12,"DF",22.2000007629395,"A","N",100,2,"R",1,-9,0,"A",10,"MBOLE"
65,"2000-00019","2011-09-12 00:00:00",44,"WF",9.10000038146973,"A","N",100,1,"C",1,-9,0,"A",100,"1/100"
65,"2000-00019","2011-09-12 00:00:00",46,"WF",16.7999992370605,"B","N",100,2,"R",1,-9,0,"A",100,"1/100"
