"InvID","PlotID","Invdate","Species","Pcover","Aveht"
1,"2000-00001","2003-08-26 00:00:00","RUPA",15,1.5
1,"2000-00001","2003-08-26 00:00:00","GAL-",0,0
1,"2000-00001","2003-08-26 00:00:00","ROGY",5,1
1,"2000-00001","2003-08-26 00:00:00","MOPE",0,0
1,"2000-00001","2003-08-26 00:00:00","ADBI",2,0
1,"2000-00001","2003-08-26 00:00:00","DIHO",0,0.5
1,"2000-00001","2003-08-26 00:00:00","CEIN",0,5
1,"2000-00001","2003-08-26 00:00:00","CIVU",0,3
1,"2000-00001","2003-08-26 00:00:00","POAZ",5,1
1,"2000-00001","2003-08-26 00:00:00","RIRO",2,4
1,"2000-00001","2003-08-26 00:00:00","LIBO",0,0
1,"2000-00001","2003-08-26 00:00:00","PTAQ",5,1
1,"2000-00001","2003-08-26 00:00:00","KEGA",0,1
1,"2000-00001","2003-08-26 00:00:00","UFO1",5,0.5
1,"2000-00001","2003-08-26 00:00:00","AMAR",0,0.5
1,"2000-00001","2003-08-26 00:00:00","ANQU",0,0
2,"2000-00002","2003-08-26 00:00:00","SYAC",15,0.5
2,"2000-00002","2003-08-26 00:00:00","ADBI",0,0.5
2,"2000-00002","2003-08-26 00:00:00","RINE",0,0.5
2,"2000-00002","2003-08-26 00:00:00","CHUM",0,0
2,"2000-00002","2003-08-26 00:00:00","IRHA",0,0
2,"2000-00002","2003-08-26 00:00:00","GOOB",0,0
2,"2000-00002","2003-08-26 00:00:00","ROGY",0,1.5
2,"2000-00002","2003-08-26 00:00:00","PYPI",0,0
2,"2000-00002","2003-08-26 00:00:00","RIRO",0,1
2,"2000-00002","2003-08-26 00:00:00","GAL-",0,0
2,"2000-00002","2003-08-26 00:00:00","FRA-",0,0
2,"2000-00002","2003-08-26 00:00:00","RUPA",0,0
2,"2000-00002","2003-08-26 00:00:00","CONU",0,2
2,"2000-00002","2003-08-26 00:00:00","UFO-2",0,0
3,"2000-00003","2003-08-25 00:00:00","RUPA",30,1
