"CompNum","Action","Description","Start","Finish","Document Location","Year"
10,"i,est","Establishment Inventory","1974-08-01 00:00:00",NA,"I,U",1974
10,"i","Inventory (1/20 acre plots, plots 2,4,6,9,10)","1979-08-01 00:00:00",NA,"I,U",1979
10,"i","Inventory","1980-05-01 00:00:00",NA,"I",1980
10,"h,gs","Small Group Harvest","1981-01-01 00:00:00",NA,"C",1981
10,"stp,pi","Site prepared for slash burning and planting","1981-09-03 00:00:00","1981-09-03 00:00:00","C",1981
10,"w,hb,24d","Herbicide Spray on TanOaks only","1982-08-10 00:00:00","1982-08-25 00:00:00","C",1982
10,"i,reg","Regeneration survey","1982-09-09 00:00:00",NA,"C,R",1982
10,"i","Inventory","1983-07-01 00:00:00",NA,"I,U",1983
10,"w,hb,24d","Herbicide spray of 24d on TanOaks--Six 1 acre patch cuts covered","1983-07-15 00:00:00",NA,"C",1983
10,"i,reg","Regeneration survey","1983-09-06 00:00:00",NA,"R",1983
10,"w,hb,ru","Herbicide spray of RoundUp and 24d--Six 1 to 1.5 acre areas covered","1984-07-17 00:00:00","1984-07-19 00:00:00","C,U",1984
10,"m","Measurement of seedlings to determine effectiveness of herbicide","1984-09-13 00:00:00","1984-09-14 00:00:00","C,U",1984
10,"i,reg","Regeneration survey","1984-09-13 00:00:00",NA,"R",1984
10,"m","Defoliation Study","1986-01-01 00:00:00","1988-01-01 00:00:00","C,U",1986
10,"w,hb,gar","Herbicide Spray","1986-08-26 00:00:00",NA,"C,U",1986
10,"i,rem","Inventory","1988-07-05 00:00:00","1988-07-13 00:00:00","C,I,U",1988
10,"h,gs","Group Harvest","1990-04-21 00:00:00","1991-05-31 00:00:00","C",1990
10,"stp,pi,sl","Prepare for site prep by tractor piling","1990-07-12 00:00:00","1990-07-16 00:00:00","C,U",1990
10,"i,m","Location of original plots","1990-08-29 00:00:00",NA,"C,U",1990
10,"stp,pi,bc","Site prep group cuts using tractor to pile and hand crew to cut brush","1990-09-24 00:00:00",NA,"C,U",1990
10,"m","Measured DBH height","1991-01-08 00:00:00",NA,"C,I",1991
10,"cu,p","Tree Planting","1991-04-22 00:00:00","1991-04-29 00:00:00","C,U",1991
10,"m","Marked WPBR trees 19 & 22","1991-09-05 00:00:00","1991-10-04 00:00:00","C,U",1991
10,"cu","Placed aluminum ladders in superior Sugar Pines","1992-08-06 00:00:00","1992-08-10 00:00:00","C,U",1992
10,"i","Inventory","1993-07-22 00:00:00","1993-08-05 00:00:00","C,U",1993
20,"i","Inventory","1976-07-19 00:00:00","1976-07-26 00:00:00","U,I",1976
20,"i,rem","Remeasurement inventory","1984-08-13 00:00:00","1984-08-15 00:00:00","C,U,I",1984
20,"i,reg","Regen Inventory","1985-07-22 00:00:00",NA,NA,1985
30,"h,or","Harvest--overstory removal, 33 acrexs","1981-06-25 00:00:00","1981-08-01 00:00:00",NA,1981
30,"cu,pct","Precommercial thin","1982-08-01 00:00:00",NA,"U",1982
30,"i,rem","Remeasurement inventory","1983-06-17 00:00:00","1983-06-21 00:00:00","U,I",1983
31,"w,hb,ru","Herbicide Spray, RoundUp, covering 3 acres","1984-07-25 00:00:00","1984-07-26 00:00:00","C,U",1984
40,"hb,tor","Black Oak poisoning to determine most effective concentration","1975-09-14 00:00:00",NA,"C",1975
40,"i","Inventory","1978-08-01 00:00:00",NA,"I",1978
40,"i,prt","Preharvest Inventory--measured only DBH's and D&D","1983-08-10 00:00:00","1983-08-11 00:00:00","C,U,I",1983
40,"h,ct","Harvest--commercial thinning, 40 acres","1985-04-01 00:00:00","1986-08-26 00:00:00","C",1985
40,"i","Inventory","1985-06-01 00:00:00",NA,"I",1985
40,"m","White fir research--foliage removed and trees felled","1986-07-02 00:00:00","1986-07-28 00:00:00","C",1986
40,"cu","Placed aluminum ladders in superior Sugar Pines","1992-08-06 00:00:00","1992-08-10 00:00:00","C,U",1992
50,"i,est","Inventory establishment","1975-06-01 00:00:00",NA,"I",1975
50,"cu,pct","Timber stand improvement using PCT","1975-08-01 00:00:00",NA,"C",1975
50,"h,gs","Harvest--group selection, 58 acres","1976-01-01 00:00:00",NA,"C",1976
50,"i,rem","Remeasurement inventory","1977-06-01 00:00:00",NA,"I",1977
50,"i,reg","Regeneration survey","1979-07-01 00:00:00",NA,"C,R",1979
50,"i,reg","Regeneration Survey","1980-08-01 00:00:00",NA,"U,R",1980
50,"i,reg","Regeneration survey","1981-08-01 00:00:00",NA,"C",1981
50,"w,hb,24d","Herbicide spray on Tan Oaks only","1982-08-20 00:00:00","1982-08-25 00:00:00","C,U",1982
50,"i,reg","Regeneration survey","1982-09-01 00:00:00",NA,"R",1982
50,"w,hb,24d","Herbicide spray of Tanoaks in patch cuts","1983-07-07 00:00:00",NA,"C,U",1983
50,"i,est","Plot expansion and inventory","1983-07-22 00:00:00","1983-07-29 00:00:00","C,U,I",1983
50,"w,bc","Brush cutting","1983-08-02 00:00:00","1983-08-04 00:00:00","C,U",1983
50,"h,gs","Harvest--group selection, 5 acres","1984-07-01 00:00:00","1985-05-15 00:00:00","C",1984
50,"w,hb,24d","Spraying of all non-tree vegetation--4 acres covered","1984-07-27 00:00:00","1984-07-30 00:00:00","C,I,U",1984
50,"cu,p","Seedling Planting","1985-05-25 00:00:00","1985-06-06 00:00:00","C,U",1985
50,"cu,pct","Precommercial thin of 3 plantations","1986-08-01 00:00:00",NA,"C",1986
50,"w,hb,gar","Herbicide spray in northernmost group cut to tan oak","1986-08-20 00:00:00","1986-08-25 00:00:00","C,U",1986
50,"w,hb,ru","Herbicide aplication to all non-tree vegetation, covering 6 acres","1989-06-06 00:00:00","1989-06-13 00:00:00","C,U",1989
50,"i,prt","Measure DBH & height of codominant trees","1991-01-08 00:00:00",NA,"C,U",1991
60,"i,est","Inventory establishment","1975-07-01 00:00:00",NA,"I",1975
60,"h","Regulatory harvest operations","1976-04-01 00:00:00","1976-10-22 00:00:00","C,U",1976
60,"i,reg","Regeneration survey","1976-09-01 00:00:00",NA,"C",1976
60,"i,rem","Remeasurement inventory","1979-08-01 00:00:00",NA,"I",1979
60,"h,f","Black Oak stumpage harvested","1982-05-11 00:00:00","1982-07-22 00:00:00","C,U",1982
60,"i,rem","Inventory","1985-06-01 00:00:00",NA,"C,U,I",1985
60,"w,bc","Brush cutting--4 acres covered","1988-07-01 00:00:00",NA,"C,U",1988
60,"i,rem","Remeasurement inventory","1988-07-14 00:00:00","1988-07-21 00:00:00","C,U,I",1988
60,"h,gs","Group selection harvest","1989-01-01 00:00:00","1989-10-31 00:00:00","C",1989
60,"i,rem","Remeasurement inventory","1989-07-28 00:00:00","1989-08-01 00:00:00","C,U,I",1989
60,"cu,p","Hand plant bare root seedlings","1990-04-25 00:00:00","1990-04-26 00:00:00","C,U",1990
60,"w,hb,ru","Herbicide spray of CEIN, ARPA, and CHFO in 4 plots","1990-07-09 00:00:00","1990-07-10 00:00:00","C",1990
60,"cu,pct","Precommercial thinning of trees to 1/20 of an acre","1990-09-13 00:00:00",NA,"C,U",1990
60,"w,hb,ru","Herbicide app. to CEIN, CHFO, RIRO, CIVU, and CECO--75 acres covered","1992-06-08 00:00:00","1992-06-18 00:00:00","C,U",1992
