"InvID","Plotid","Plotnum","InvYear","Invdate","Plotsize","Crew","Crew#","InvenType","TravelTime","TotalTime","Canopy","Pcomments"
1,"0010-00001",1,"1974","1974-08-01 00:00:00",0.0500000007450581,NA,-9,"N",-9,-9,-9,NA
2,"0010-00002",2,"1974","1974-08-01 00:00:00",0.0500000007450581,NA,-9,"N",-9,-9,-9,NA
3,"0010-00003",3,"1974","1974-08-01 00:00:00",0.0500000007450581,NA,-9,"N",-9,-9,-9,NA
4,"0010-00004",4,"1974","1974-08-01 00:00:00",0.0500000007450581,NA,-9,"N",-9,-9,-9,NA
5,"0010-00005",5,"1974","1974-08-01 00:00:00",0.0500000007450581,NA,-9,"N",-9,-9,-9,NA
6,"0010-00006",6,"1974","1974-08-02 00:00:00",0.0500000007450581,NA,-9,"N",-9,-9,-9,NA
7,"0010-00007",7,"1974","1974-08-02 00:00:00",0.0500000007450581,NA,-9,"N",-9,-9,-9,NA
8,"0010-00008",8,"1974","1974-08-05 00:00:00",0.0500000007450581,NA,-9,"N",-9,-9,-9,NA
9,"0010-00009",9,"1974","1974-08-05 00:00:00",0.0500000007450581,NA,-9,"N",-9,-9,-9,NA
10,"0010-00010",10,"1974","1974-08-05 00:00:00",0.0500000007450581,NA,-9,"N",-9,-9,-9,NA
11,"0010-00011",11,"1974","1974-08-07 00:00:00",0.0500000007450581,NA,-9,"N",-9,-9,-9,NA
12,"0010-00012",12,"1974","1974-08-07 00:00:00",0.0500000007450581,NA,-9,"N",-9,-9,-9,NA
13,"0010-00013",13,"1974","1974-08-07 00:00:00",0.0500000007450581,NA,-9,"N",-9,-9,-9,NA
14,"0010-00014",14,"1974","1974-08-07 00:00:00",0.0500000007450581,NA,-9,"N",-9,-9,-9,NA
15,"0010-00015",15,"1974","1974-08-07 00:00:00",0.0500000007450581,NA,-9,"N",-9,-9,-9,NA
16,"0010-00016",16,"1974","1974-08-07 00:00:00",0.0500000007450581,NA,-9,"N",-9,-9,-9,NA
17,"0010-00017",17,"1974","1974-08-07 00:00:00",0.0500000007450581,NA,-9,"N",-9,-9,-9,NA
18,"0010-00018",18,"1974","1974-08-07 00:00:00",0.0500000007450581,NA,-9,"N",-9,-9,-9,NA
19,"0010-00019",19,"1974","1974-08-07 00:00:00",0.0500000007450581,NA,-9,"N",-9,-9,-9,NA
20,"0010-00020",20,"1974","1974-08-08 00:00:00",0.0500000007450581,NA,-9,"N",-9,-9,-9,NA
