"InvID","PlotID","Invdate","Treenum","Species","Cdeath","Yrdeath","Comment"
2519,"0130-00022","1997-07-01 00:00:00",17,"PP","M","9",""
2519,"0130-00022","1997-07-01 00:00:00",26,"PP","N","9",""
2519,"0130-00022","1997-07-01 00:00:00",42,"IC","U","9",""
2520,"0130-00023","1997-07-01 00:00:00",3,"IC","U"," ","DOWNED"
2520,"0130-00023","1997-07-01 00:00:00",13,"IC","U","9","DOWNED"
2521,"0130-00024","1997-07-01 00:00:00",7,"IC","R","9",""
2522,"0130-00025","1997-07-03 00:00:00",17,"WF","M","9",""
2523,"0130-00026","1997-06-30 00:00:00",2,"IC","M","9",""
2523,"0130-00026","1997-06-30 00:00:00",3,"IC","M","9",""
2523,"0130-00026","1997-06-30 00:00:00",4,"IC","N","9",""
2523,"0130-00026","1997-06-30 00:00:00",8,"IC","R","9",""
2523,"0130-00026","1997-06-30 00:00:00",15,"IC","M","9",""
2523,"0130-00026","1997-06-30 00:00:00",20,"WF","M","9",""
2524,"0152-00001","1997-06-03 00:00:00",1,"PP","U","9",""
2524,"0152-00001","1997-06-03 00:00:00",25,"IC","R","9",""
2524,"0152-00001","1997-06-03 00:00:00",27,"PP","U","9",""
2525,"0152-00003","1997-06-16 00:00:00",4,"PP","R","9",""
2525,"0152-00003","1997-06-16 00:00:00",6,"DF","R","9",""
2525,"0152-00003","1997-06-16 00:00:00",24,"PP","R","9",""
2525,"0152-00003","1997-06-16 00:00:00",26,"PP","R","9",""
2525,"0152-00003","1997-06-16 00:00:00",27,"IC","M","9",""
2526,"0152-00004","1997-06-17 00:00:00",1,"IC","M","9",""
2526,"0152-00004","1997-06-17 00:00:00",6,"XX","M","9",""
2526,"0152-00004","1997-06-17 00:00:00",8,"PP","R","9",""
2526,"0152-00004","1997-06-17 00:00:00",11,"BO","M","9",""
2526,"0152-00004","1997-06-17 00:00:00",26,"IC","M","9",""
2526,"0152-00004","1997-06-17 00:00:00",29,"BO","M","9",""
2526,"0152-00004","1997-06-17 00:00:00",30,"BO","M","9",""
2526,"0152-00004","1997-06-17 00:00:00",31,"WF","M","9",""
2527,"0152-00006","1997-06-18 00:00:00",5,"IC","C","9",""
2527,"0152-00006","1997-06-18 00:00:00",13,"IC","M","9",""
2527,"0152-00006","1997-06-18 00:00:00",15,"IC","M","9",""
2527,"0152-00006","1997-06-18 00:00:00",18,"IC","U","9","downed"
2527,"0152-00006","1997-06-18 00:00:00",19,"IC","U","9",""
2527,"0152-00006","1997-06-18 00:00:00",20,"IC","M","9",""
2527,"0152-00006","1997-06-18 00:00:00",22,"IC","M","9",""
2527,"0152-00006","1997-06-18 00:00:00",28,"SP","C","9",""
2527,"0152-00006","1997-06-18 00:00:00",31,"IC","M","9",""
2528,"0150-00007","1997-06-17 00:00:00",8,"TO","U","9",""
2528,"0150-00007","1997-06-17 00:00:00",12,"WF","M","9",""
2529,"0150-00008","1997-06-18 00:00:00",8,"SP","M","9",""
2529,"0150-00008","1997-06-18 00:00:00",11,"IC","C","9",""
2529,"0150-00008","1997-06-18 00:00:00",16,"IC","M","9",""
2529,"0150-00008","1997-06-18 00:00:00",18,"IC","U","9",""
2529,"0150-00008","1997-06-18 00:00:00",22,"TO","M","9",""
2529,"0150-00008","1997-06-18 00:00:00",23,"IC","U","9",""
2529,"0150-00008","1997-06-18 00:00:00",24,"IC","U","9",""
2529,"0150-00008","1997-06-18 00:00:00",26,"IC","C","9",""
2529,"0150-00008","1997-06-18 00:00:00",27,"IC","R","9",""
2529,"0150-00008","1997-06-18 00:00:00",28,"IC","C","9",""
2529,"0150-00008","1997-06-18 00:00:00",29,"IC","M","9",""
2529,"0150-00008","1997-06-18 00:00:00",31,"WF","M","9",""
2529,"0150-00008","1997-06-18 00:00:00",32,"IC","M","9",""
2529,"0150-00008","1997-06-18 00:00:00",33,"IC","U","9",""
2529,"0150-00008","1997-06-18 00:00:00",49,"IC","M","9",""
2530,"0150-00009","1997-06-19 00:00:00",10,"SP","U","9",""
2530,"0150-00009","1997-06-19 00:00:00",12,"DF","U","9",""
2530,"0150-00009","1997-06-19 00:00:00",18,"PP","M","9",""
2531,"0150-00013","1997-06-20 00:00:00",6,"WF","M","9",""
2531,"0150-00013","1997-06-20 00:00:00",7,"IC","R","9",""
2531,"0150-00013","1997-06-20 00:00:00",8,"WF","R","9",""
2531,"0150-00013","1997-06-20 00:00:00",9,"WF","U","9",""
2531,"0150-00013","1997-06-20 00:00:00",11,"WF","R","9",""
2531,"0150-00013","1997-06-20 00:00:00",13,"IC","M","9",""
2531,"0150-00013","1997-06-20 00:00:00",18,"DF","R","9",""
2531,"0150-00013","1997-06-20 00:00:00",21,"IC","U","9",""
2532,"0150-00014","1997-06-18 00:00:00",2,"XX","R","9",""
2532,"0150-00014","1997-06-18 00:00:00",3,"XX","R","9",""
2532,"0150-00014","1997-06-18 00:00:00",8,"XX","C","9",""
2532,"0150-00014","1997-06-18 00:00:00",14,"WF","M","9",""
2532,"0150-00014","1997-06-18 00:00:00",20,"SP","R","9",""
2533,"0150-00015","1997-06-19 00:00:00",1,"IC","U","9",""
2533,"0150-00015","1997-06-19 00:00:00",2,"TO","M","9",""
2533,"0150-00015","1997-06-19 00:00:00",3,"TO","M","9",""
2533,"0150-00015","1997-06-19 00:00:00",4,"TO","M","9",""
2533,"0150-00015","1997-06-19 00:00:00",6,"TO","U","9",""
2533,"0150-00015","1997-06-19 00:00:00",14,"IC","M","9",""
2533,"0150-00015","1997-06-19 00:00:00",15,"IC","M","9",""
2533,"0150-00015","1997-06-19 00:00:00",16,"WF","C","9",""
2533,"0150-00015","1997-06-19 00:00:00",17,"IC","M","9",""
2533,"0150-00015","1997-06-19 00:00:00",20,"TO","M","9",""
2534,"0152-00002","1997-06-17 00:00:00",2,"SP","R","9",""
2534,"0152-00002","1997-06-17 00:00:00",3,"WF","U","9",""
2534,"0152-00002","1997-06-17 00:00:00",4,"WF","M","9",""
2534,"0152-00002","1997-06-17 00:00:00",6,"BO","C","9",""
2534,"0152-00002","1997-06-17 00:00:00",7,"DF","C","9",""
2534,"0152-00002","1997-06-17 00:00:00",8,"WF","C","9",""
2534,"0152-00002","1997-06-17 00:00:00",9,"DF","C","9",""
2534,"0152-00002","1997-06-17 00:00:00",11,"WF","M","9",""
2534,"0152-00002","1997-06-17 00:00:00",12,"WF","M","9",""
2534,"0152-00002","1997-06-17 00:00:00",13,"WF","U","9",""
2534,"0152-00002","1997-06-17 00:00:00",15,"WF","M","9",""
2534,"0152-00002","1997-06-17 00:00:00",16,"IC","M","9",""
2534,"0152-00002","1997-06-17 00:00:00",17,"DF","M","9",""
2534,"0152-00002","1997-06-17 00:00:00",20,"DF","C","9",""
2534,"0152-00002","1997-06-17 00:00:00",22,"BO","M","9",""
2534,"0152-00002","1997-06-17 00:00:00",24,"BO","U","9",""
2535,"0152-00005","1997-06-16 00:00:00",5,"IC","U","9",""
2535,"0152-00005","1997-06-16 00:00:00",6,"IC","U","9",""
2535,"0152-00005","1997-06-16 00:00:00",9,"PP","R"," ",""
2535,"0152-00005","1997-06-16 00:00:00",11,"IC","M","9",""
2535,"0152-00005","1997-06-16 00:00:00",12,"IC","M","9",""
2535,"0152-00005","1997-06-16 00:00:00",13,"IC","M","9",""
2535,"0152-00005","1997-06-16 00:00:00",16,"DF","M","9",""
2535,"0152-00005","1997-06-16 00:00:00",22,"IC","M","9",""
2535,"0152-00005","1997-06-16 00:00:00",25,"IC","M","9",""
2535,"0152-00005","1997-06-16 00:00:00",26,"IC","M","9",""
2535,"0152-00005","1997-06-16 00:00:00",28,"IC","M","9",""
2535,"0152-00005","1997-06-16 00:00:00",31,"IC","R","9",""
2535,"0152-00005","1997-06-16 00:00:00",34,"IC","R","9",""
2535,"0152-00005","1997-06-16 00:00:00",36,"IC","R","9",""
2535,"0152-00005","1997-06-16 00:00:00",37,"IC","R","9",""
2535,"0152-00005","1997-06-16 00:00:00",39,"IC","M","9",""
2535,"0152-00005","1997-06-16 00:00:00",42,"IC","M","9",""
5213,"0150-00014","2005-06-29 00:00:00",23,"TO","M","9",""
2537,"0190-00005","1997-07-07 00:00:00",2,"DF","M","9",""
2537,"0190-00005","1997-07-07 00:00:00",20,"BO","M","9",""
2537,"0190-00005","1997-07-07 00:00:00",24,"IC","M","9",""
2537,"0190-00005","1997-07-07 00:00:00",25,"IC","M","9",""
2537,"0190-00005","1997-07-07 00:00:00",37,"IC","N","9",""
2538,"0190-00007","1997-07-07 00:00:00",5,"IC","M","9",""
2538,"0190-00007","1997-07-07 00:00:00",6,"WF","M","9",""
2538,"0190-00007","1997-07-07 00:00:00",7,"IC","M","9",""
2538,"0190-00007","1997-07-07 00:00:00",12,"PP","M","9",""
2538,"0190-00007","1997-07-07 00:00:00",15,"IC","M","9",""
2538,"0190-00007","1997-07-07 00:00:00",16,"IC","M","9",""
2538,"0190-00007","1997-07-07 00:00:00",24,"IC","M","9",""
2538,"0190-00007","1997-07-07 00:00:00",28,"IC","U"," "," "
2538,"0190-00007","1997-07-07 00:00:00",32,"PP","M","9",""
2538,"0190-00007","1997-07-07 00:00:00",33,"PP","M","9",""
2538,"0190-00007","1997-07-07 00:00:00",35,"BO","M","9",""
2538,"0190-00007","1997-07-07 00:00:00",36,"IC","M","9",""
2538,"0190-00007","1997-07-07 00:00:00",37,"IC","M","9",""
2538,"0190-00007","1997-07-07 00:00:00",38,"TO","P","9",NA
2539,"0190-00010","1997-07-08 00:00:00",15,"IC","R","9",""
2540,"0190-00016","1997-07-07 00:00:00",8,"WF","N","9",""
2542,"0190-00020","1997-07-08 00:00:00",14,"PP","M","9",""
2543,"0190-00022","1997-07-09 00:00:00",1,"WF","W","9","BELOW 4.5FT"
2543,"0190-00022","1997-07-09 00:00:00",2,"WF","N","9","ON GROUND"
2543,"0190-00022","1997-07-09 00:00:00",14,"WF","M","9",""
2543,"0190-00022","1997-07-09 00:00:00",15,"WF","M","9",""
2543,"0190-00022","1997-07-09 00:00:00",16,"BO","M","9",""
2544,"0190-00024","1997-07-07 00:00:00",3,"DF","M","9",""
2544,"0190-00024","1997-07-07 00:00:00",13,"IC","M","9",""
2544,"0190-00024","1997-07-07 00:00:00",14,"IC","M","9",""
2544,"0190-00024","1997-07-07 00:00:00",16,"IC","M","9",""
2544,"0190-00024","1997-07-07 00:00:00",20,"IC","M","9",""
2545,"0190-00025","1997-07-09 00:00:00",1,"IC","M","9",""
2545,"0190-00025","1997-07-09 00:00:00",6,"IC","U","9",""
2545,"0190-00025","1997-07-09 00:00:00",8,"IC","U","4",""
2545,"0190-00025","1997-07-09 00:00:00",9,"IC","M","9",""
2545,"0190-00025","1997-07-09 00:00:00",10,"IC","U","9",""
2545,"0190-00025","1997-07-09 00:00:00",14,"IC","M","9",""
2545,"0190-00025","1997-07-09 00:00:00",17,"IC","M","9",""
2545,"0190-00025","1997-07-09 00:00:00",19,"IC","M","9",""
2545,"0190-00025","1997-07-09 00:00:00",20,"IC","M","9",""
2545,"0190-00025","1997-07-09 00:00:00",21,"IC","U","9",""
2545,"0190-00025","1997-07-09 00:00:00",23,"IC","M","9",""
2545,"0190-00025","1997-07-09 00:00:00",25,"IC","M","9",""
2545,"0190-00025","1997-07-09 00:00:00",29,"IC","M","9",""
2545,"0190-00025","1997-07-09 00:00:00",32,"IC","M","9",""
2545,"0190-00025","1997-07-09 00:00:00",34,"IC","M","9",""
2545,"0190-00025","1997-07-09 00:00:00",36,"IC","M","9",""
2545,"0190-00025","1997-07-09 00:00:00",38,"IC","M","9",""
2545,"0190-00025","1997-07-09 00:00:00",41,"IC","M","9",""
2545,"0190-00025","1997-07-09 00:00:00",43,"IC","M","9",""
2545,"0190-00025","1997-07-09 00:00:00",50,"IC","M","9",""
2545,"0190-00025","1997-07-09 00:00:00",52,"IC","M","9",""
2546,"0190-00026","1997-07-08 00:00:00",4,"IC","M","9",""
2546,"0190-00026","1997-07-08 00:00:00",7,"IC","M","9",""
2546,"0190-00026","1997-07-08 00:00:00",10,"PP","N","9","ON GROUND"
2546,"0190-00026","1997-07-08 00:00:00",14,"BO","M","9","ON GROUND"
2546,"0190-00026","1997-07-08 00:00:00",16,"IC","N","9","FELL OVER"
2546,"0190-00026","1997-07-08 00:00:00",26,"WF","N","9"," "
2546,"0190-00026","1997-07-08 00:00:00",27,"IC","N","9",""
2547,"0190-00028","1997-07-10 00:00:00",33,"DW","U","9","LEANING OVER NO LONGER 4.5FT TALL; 1/100"
2547,"0190-00028","1997-07-10 00:00:00",34,"HW","N","9",""
2549,"0450-00001","1997-07-17 00:00:00",13,"IC","M","9",""
2549,"0450-00001","1997-07-17 00:00:00",14,"SP","M","9",""
2549,"0450-00001","1997-07-17 00:00:00",27,"XX","M","9",""
2549,"0450-00001","1997-07-17 00:00:00",32,"XX","M","9",""
2549,"0450-00001","1997-07-17 00:00:00",33,"XX","M","9",""
2549,"0450-00001","1997-07-17 00:00:00",34,"XX","M","9",""
