"InvID","PlotID","Invdate","Treenum","Species","Bhage","Theight","Comment"
782,"0010-00001","1979-08-18 00:00:00",10,"WF",51,112,NA
782,"0010-00001","1979-08-18 00:00:00",14,"PP",52,120,NA
782,"0010-00001","1979-08-18 00:00:00",21,"WF",50,100,NA
782,"0010-00001","1979-08-18 00:00:00",-1,"PP",56,108,NA
1133,"0010-00001","1983-06-23 00:00:00",10,"WF",51,112,NA
1133,"0010-00001","1983-06-23 00:00:00",21,"WF",50,100,NA
1133,"0010-00001","1983-06-23 00:00:00",23,"SP",41,89,NA
1133,"0010-00001","1983-06-23 00:00:00",-1,"PP",51,108,NA
783,"0010-00003","1979-08-29 00:00:00",4,"PP",67,117,NA
783,"0010-00003","1979-08-29 00:00:00",12,"PP",61,111,NA
783,"0010-00003","1979-08-29 00:00:00",20,"PP",58,132,NA
783,"0010-00003","1979-08-29 00:00:00",21,"PP",62,161,NA
783,"0010-00003","1979-08-29 00:00:00",22,"DF",48,93,NA
1134,"0010-00003","1983-06-28 00:00:00",4,"PP",67,164,NA
1134,"0010-00003","1983-06-28 00:00:00",12,"PP",61,128,NA
1134,"0010-00003","1983-06-28 00:00:00",20,"PP",58,160,NA
784,"0010-00005","1979-08-30 00:00:00",2,"DF",62,106,NA
784,"0010-00005","1979-08-30 00:00:00",4,"DF",68,109,NA
784,"0010-00005","1979-08-30 00:00:00",17,"SP",61,79,NA
784,"0010-00005","1979-08-30 00:00:00",25,"IC",56,105,NA
1135,"0010-00005","1983-06-28 00:00:00",2,"DF",57,106,NA
1135,"0010-00005","1983-06-28 00:00:00",4,"DF",63,109,NA
1135,"0010-00005","1983-06-28 00:00:00",25,"IC",56,105,NA
1135,"0010-00005","1983-06-28 00:00:00",-1,"IC",62,122,NA
785,"0010-00007","1979-08-30 00:00:00",2,"DF",51,114,NA
785,"0010-00007","1979-08-30 00:00:00",6,"WF",58,114,NA
785,"0010-00007","1979-08-30 00:00:00",10,"PP",59,115,NA
785,"0010-00007","1979-08-30 00:00:00",15,"SP",70,140,NA
785,"0010-00007","1979-08-30 00:00:00",18,"DF",60,119,NA
1136,"0010-00007","1983-06-28 00:00:00",2,"DF",54,114,NA
1136,"0010-00007","1983-06-28 00:00:00",6,"WF",61,114,NA
1136,"0010-00007","1983-06-28 00:00:00",10,"PP",57,115,NA
1136,"0010-00007","1983-06-28 00:00:00",15,"SP",68,140,NA
1136,"0010-00007","1983-06-28 00:00:00",18,"DF",58,119,NA
786,"0010-00008","1979-08-31 00:00:00",13,"SP",58,142,NA
786,"0010-00008","1979-08-31 00:00:00",-1,"WF",89,126,NA
1137,"0010-00008","1983-06-24 00:00:00",1,"SP",62,118,NA
1137,"0010-00008","1983-06-24 00:00:00",2,"PP",51,93,NA
1137,"0010-00008","1983-06-24 00:00:00",3,"DF",52,98,NA
787,"0010-00021","1979-08-31 00:00:00",4,"DF",64,78,NA
787,"0010-00021","1979-08-31 00:00:00",8,"WF",39,69,NA
787,"0010-00021","1979-08-31 00:00:00",9,"DF",42,75,NA
2946,"0250-00001","1996-06-17 00:00:00",-1,"IC",95,95,"""SITE TREE DIST 36.7, AZ 197"""
2947,"0250-00002","1996-06-17 00:00:00",-1,"DF",81,127,"174 DEGREES: 48.5 FT."
1138,"0010-00021","1983-06-24 00:00:00",8,"WF",34,69,NA
1138,"0010-00021","1983-06-24 00:00:00",9,"DF",37,75,NA
1138,"0010-00021","1983-06-24 00:00:00",12,"WF",28,75,NA
788,"0010-00022","1979-09-05 00:00:00",-1,"PP",58,117,NA
788,"0010-00022","1979-09-05 00:00:00",-2,"PP",47,99,NA
788,"0010-00022","1979-09-05 00:00:00",-3,"PP",56,100,NA
788,"0010-00022","1979-09-05 00:00:00",-4,"PP",52,104,NA
1139,"0010-00022","1983-06-24 00:00:00",2,"PP",42,72,NA
1139,"0010-00022","1983-06-24 00:00:00",-1,"PP",53,117,NA
1139,"0010-00022","1983-06-24 00:00:00",-2,"PP",42,99,NA
1139,"0010-00022","1983-06-24 00:00:00",-3,"PP",51,100,NA
1139,"0010-00022","1983-06-24 00:00:00",-4,"PP",47,104,NA
789,"0010-00023","1979-09-06 00:00:00",7,"DF",63,105,NA
789,"0010-00023","1979-09-06 00:00:00",9,"DF",58,114,NA
789,"0010-00023","1979-09-06 00:00:00",11,"WF",54,92,NA
789,"0010-00023","1979-09-06 00:00:00",17,"PP",61,96,NA
1140,"0010-00023","1983-06-24 00:00:00",1,"DF",58,96,NA
1140,"0010-00023","1983-06-24 00:00:00",7,"DF",58,105,NA
1140,"0010-00023","1983-06-24 00:00:00",9,"DF",53,114,NA
1140,"0010-00023","1983-06-24 00:00:00",17,"PP",56,96,NA
790,"0010-00024","1979-09-06 00:00:00",5,"PP",55,117,NA
790,"0010-00024","1979-09-06 00:00:00",12,"SP",51,110,NA
