"InvID","PlotID","Invdate","Species","Pcover","Aveht"
2007,"0020-00008","1994-09-07 00:00:00","SMRA",0,1
1331,"0020-00009","1984-08-15 00:00:00","LIDE",15,-9
1331,"0020-00009","1984-08-15 00:00:00","RIWA",0,-9
1331,"0020-00009","1984-08-15 00:00:00","ROS-",0,-9
1331,"0020-00009","1984-08-15 00:00:00","TRLA",5,-9
1331,"0020-00009","1984-08-15 00:00:00","VILA",0,-9
2008,"0020-00009","1994-09-01 00:00:00","APO-",0,0.5
2008,"0020-00009","1994-09-01 00:00:00","LIDE",10,3
2008,"0020-00009","1994-09-01 00:00:00","ROPI",0,0.5
2008,"0020-00009","1994-09-01 00:00:00","TRLA",0,0.5
2008,"0020-00009","1994-09-01 00:00:00","VILO",0,0.5
554,"0030-00001","1977-08-29 00:00:00","GATR",0,0
554,"0030-00001","1977-08-29 00:00:00","LIDE",0,0
2009,"0030-00001","1994-07-28 00:00:00","CEIN",2.5,8
2009,"0030-00001","1994-07-28 00:00:00","CONU",0,2
2009,"0030-00001","1994-07-28 00:00:00","GAL-",2.5,1
2009,"0030-00001","1994-07-28 00:00:00","LIDE",0,5
2009,"0030-00001","1994-07-28 00:00:00","RIRO",0,1
555,"0030-00002","1977-08-29 00:00:00","IRI-",0,0
555,"0030-00002","1977-08-29 00:00:00","TRLA",0,0
1147,"0030-00002","1983-06-21 00:00:00","ARPA",0,-9
1147,"0030-00002","1983-06-21 00:00:00","CEIN",0,-9
1147,"0030-00002","1983-06-21 00:00:00","TRLA",0,-9
2010,"0030-00002","1994-07-27 00:00:00","CEIN",50,10
2010,"0030-00002","1994-07-27 00:00:00","GAL-",0,0.5
2010,"0030-00002","1994-07-27 00:00:00","POT-",0,1.5
2010,"0030-00002","1994-07-27 00:00:00","RIRO",0,1
2010,"0030-00002","1994-07-27 00:00:00","SMI-",0,0.5
2010,"0030-00002","1994-07-27 00:00:00","TRLA",0,0.5
556,"0030-00003","1977-08-29 00:00:00","CHFO",0,0
556,"0030-00003","1977-08-29 00:00:00","LIDE",0,0
556,"0030-00003","1977-08-29 00:00:00","TRLA",0,0
556,"0030-00003","1977-08-29 00:00:00","VILO",0,0
1148,"0030-00003","1983-06-21 00:00:00","LIDE",0,-9
1148,"0030-00003","1983-06-21 00:00:00","TRLA",0,-9
2011,"0030-00003","1994-07-27 00:00:00","CEIN",20,7
2011,"0030-00003","1994-07-27 00:00:00","CHFO",0,1
2011,"0030-00003","1994-07-27 00:00:00","GAL-",0,2
2011,"0030-00003","1994-07-27 00:00:00","LIDE",0,3
2011,"0030-00003","1994-07-27 00:00:00","RIRO",0,0.5
2011,"0030-00003","1994-07-27 00:00:00","TRLA",20,0.5
557,"0030-00004","1977-08-30 00:00:00","CEIN",0,0
557,"0030-00004","1977-08-30 00:00:00","CHFO",0,0
557,"0030-00004","1977-08-30 00:00:00","DRSY",0,0
557,"0030-00004","1977-08-30 00:00:00","LIDE",0,0
557,"0030-00004","1977-08-30 00:00:00","TRLA",0,0
1149,"0030-00004","1983-06-21 00:00:00","CEIN",0,-9
1149,"0030-00004","1983-06-21 00:00:00","CHUM",0,-9
1149,"0030-00004","1983-06-21 00:00:00","LIDE",10,-9
1149,"0030-00004","1983-06-21 00:00:00","TRLA",0,-9
2012,"0030-00004","1994-07-28 00:00:00","CEIN",20,10
2012,"0030-00004","1994-07-28 00:00:00","CLA-",0,1.5
2012,"0030-00004","1994-07-28 00:00:00","GAL-",0,0.5
2012,"0030-00004","1994-07-28 00:00:00","LIDE",15,4.5
2012,"0030-00004","1994-07-28 00:00:00","TRLA",0,0.5
558,"0030-00005","1977-08-30 00:00:00","TRLA",10,0
1150,"0030-00005","1983-06-21 00:00:00","CEIN",0,-9
1150,"0030-00005","1983-06-21 00:00:00","RIRE",0,-9
1150,"0030-00005","1983-06-21 00:00:00","TRLA",10,-9
2013,"0030-00005","1994-07-28 00:00:00","CEIN",30,8
2013,"0030-00005","1994-07-28 00:00:00","COST",0,3
2013,"0030-00005","1994-07-28 00:00:00","GAL-",2.5,1
2013,"0030-00005","1994-07-28 00:00:00","JUNZ",0,0.5
2013,"0030-00005","1994-07-28 00:00:00","TRLA",0,0.5
559,"0030-00006","1977-06-30 00:00:00","LIDE",0,0
559,"0030-00006","1977-06-30 00:00:00","PYPI",0,0
559,"0030-00006","1977-06-30 00:00:00","TRLA",0,0
