"InvID","PlotID","Invdate","Azimuth","Decay Factor","Size"
2188,"0270-00021","1994-08-08 00:00:00",144,"S",4
2188,"0270-00021","1994-08-08 00:00:00",144,"S",7
2083,"0123-00022","1994-06-10 00:00:00",43,"R",7
2083,"0123-00022","1994-06-10 00:00:00",103,"S",6
2084,"0123-00023","1994-06-09 00:00:00",18,"R",12
2084,"0123-00023","1994-06-09 00:00:00",338,"S",12
2085,"0123-00027","1994-06-13 00:00:00",55,"S",7
2086,"0123-00028","1994-06-10 00:00:00",192,"S",5
2086,"0123-00028","1994-06-10 00:00:00",252,"S",4
2087,"0123-00029","1994-06-13 00:00:00",45,"R",5
2087,"0123-00029","1994-06-13 00:00:00",345,"S",8
2088,"0123-00010","1994-06-14 00:00:00",46,"R",4
2088,"0123-00010","1994-06-14 00:00:00",346,"S",8
2089,"0123-00011","1994-06-16 00:00:00",128,"S",8
2090,"0123-00012","1994-06-15 00:00:00",170,"R",15
2091,"0123-00013","1994-06-15 00:00:00",218,"R",30
2092,"0160-00001","1994-05-05 00:00:00",275,"R",6
2092,"0160-00001","1994-05-05 00:00:00",335,"S",11
2093,"0160-00003","1994-05-04 00:00:00",187,"R",7
2094,"0160-00010","1994-05-03 00:00:00",282,"R",9
2095,"0160-00012","1994-05-25 00:00:00",131,"R",10
2095,"0160-00012","1994-05-25 00:00:00",191,"S",5
2096,"0160-00015","1994-05-25 00:00:00",97,"S",7
2096,"0160-00015","1994-05-25 00:00:00",157,"S",10
2097,"0160-00017","1994-05-26 00:00:00",16,"S",5
2097,"0160-00017","1994-05-26 00:00:00",316,"S",9
2098,"0160-00019","1994-04-29 00:00:00",34,"R",4
2098,"0160-00019","1994-04-29 00:00:00",94,"R",8
2099,"0160-00021","1994-06-01 00:00:00",142,"S",4
2100,"0160-00022","1994-05-27 00:00:00",230,"S",4
2101,"0160-00024","1994-06-01 00:00:00",269,"S",4
2101,"0160-00024","1994-06-01 00:00:00",340,"S",7
2102,"0160-00025","1994-05-02 00:00:00",129,"R",6
2102,"0160-00025","1994-05-02 00:00:00",189,"R",4
2103,"0160-00026","1994-05-24 00:00:00",290,"S",3
2103,"0160-00026","1994-05-24 00:00:00",350,"S",15
2105,"0160-00027","1994-05-03 00:00:00",187,"R",8
2105,"0160-00027","1994-05-03 00:00:00",247,"R",12
2106,"0160-00028","1994-05-25 00:00:00",300,"R",5
2106,"0160-00028","1994-05-25 00:00:00",360,"S",4
2107,"0160-00029","1994-05-23 00:00:00",184,"S",4
2107,"0160-00029","1994-05-23 00:00:00",244,"R",29
2108,"0160-00030","1994-05-11 00:00:00",3,"S",8
2108,"0160-00030","1994-05-11 00:00:00",63,"S",8
2083,"0123-00022","1994-06-10 00:00:00",43,"R",6
2083,"0123-00022","1994-06-10 00:00:00",43,"S",7
2083,"0123-00022","1994-06-10 00:00:00",43,"S",6
2083,"0123-00022","1994-06-10 00:00:00",43,"S",5
