"InvID","PlotID","Invdate","Azimuth","Decay Factor","Size"
79,"0001-00301","2015-09-13 00:00:00",20,"B",4
79,"0001-00301","2015-09-13 00:00:00",80,"B",10
79,"0001-00301","2015-09-13 00:00:00",80,"B",18
79,"0001-00301","2015-09-13 00:00:00",80,"B",8
80,"0001-00302","2015-09-13 00:00:00",355,"B",14
80,"0001-00302","2015-09-13 00:00:00",355,"B",9
80,"0001-00302","2015-09-13 00:00:00",355,"B",5
80,"0001-00302","2015-09-13 00:00:00",55,"B",9
80,"0001-00302","2015-09-13 00:00:00",55,"B",5
80,"0001-00302","2015-09-13 00:00:00",55,"B",8
81,"0001-00303","2015-09-13 00:00:00",324,"B",4
82,"0001-00304","2015-10-06 00:00:00",192,"C",9
82,"0001-00304","2015-10-06 00:00:00",192,"B",4
82,"0001-00304","2015-10-06 00:00:00",192,"C",8
82,"0001-00304","2015-10-06 00:00:00",252,"B",7
82,"0001-00304","2015-10-06 00:00:00",252,"C",5
82,"0001-00304","2015-10-06 00:00:00",252,"E",6
83,"0001-00305","2015-10-06 00:00:00",108,"C",4
83,"0001-00305","2015-10-06 00:00:00",108,"C",4
84,"0001-00307","2015-10-06 00:00:00",75,"B",9
84,"0001-00307","2015-10-06 00:00:00",75,"B",9
85,"0001-00309","2015-10-06 00:00:00",86,"C",4
85,"0001-00309","2015-10-06 00:00:00",86,"C",5
85,"0001-00309","2015-10-06 00:00:00",146,"B",3
85,"0001-00309","2015-10-06 00:00:00",146,"B",5
86,"0001-00310","2015-10-06 00:00:00",260,"C",9
86,"0001-00310","2015-10-06 00:00:00",260,"C",8
86,"0001-00310","2015-10-06 00:00:00",320,"B",5
86,"0001-00310","2015-10-06 00:00:00",320,"B",4
86,"0001-00310","2015-10-06 00:00:00",320,"C",5
87,"0001-00312","2015-10-06 00:00:00",326,"C",6
87,"0001-00312","2015-10-06 00:00:00",326,"B",8
87,"0001-00312","2015-10-06 00:00:00",326,"B",8
87,"0001-00312","2015-10-06 00:00:00",326,"C",6
87,"0001-00312","2015-10-06 00:00:00",26,"B",8
87,"0001-00312","2015-10-06 00:00:00",26,"C",6
87,"0001-00312","2015-10-06 00:00:00",26,"B",6
87,"0001-00312","2015-10-06 00:00:00",26,"C",4
87,"0001-00312","2015-10-06 00:00:00",26,"C",5
87,"0001-00312","2015-10-06 00:00:00",26,"C",3
87,"0001-00312","2015-10-06 00:00:00",26,"B",4
88,"0001-00313","2015-10-06 00:00:00",16,"B",9
88,"0001-00313","2015-10-06 00:00:00",16,"C",9
88,"0001-00313","2015-10-06 00:00:00",16,"B",13
88,"0001-00313","2015-10-06 00:00:00",76,"B",11
88,"0001-00313","2015-10-06 00:00:00",76,"B",7
89,"0001-00314","2015-10-06 00:00:00",277,"A",9
90,"0001-00501","2015-09-13 00:00:00",308,"B",7
91,"0001-00502","2015-09-13 00:00:00",255,"B",5
91,"0001-00502","2015-09-13 00:00:00",315,"B",7
91,"0001-00502","2015-09-13 00:00:00",315,"B",7
91,"0001-00502","2015-09-13 00:00:00",315,"B",6
92,"0001-00503","2015-09-13 00:00:00",322,"C",6
92,"0001-00503","2015-09-13 00:00:00",322,"B",7
93,"0001-00505","2015-09-13 00:00:00",56,"B",11
93,"0001-00505","2015-09-13 00:00:00",56,"C",8
93,"0001-00505","2015-09-13 00:00:00",116,"B",9
93,"0001-00505","2015-09-13 00:00:00",116,"B",5
93,"0001-00505","2015-09-13 00:00:00",116,"B",7
94,"0001-00506","2015-09-13 00:00:00",252,"B",7
94,"0001-00506","2015-09-13 00:00:00",252,"B",12
95,"0001-00507","2015-09-13 00:00:00",152,"B",7
95,"0001-00507","2015-09-13 00:00:00",152,"C",5
95,"0001-00507","2015-09-13 00:00:00",152,"B",10
95,"0001-00507","2015-09-13 00:00:00",152,"B",9
95,"0001-00507","2015-09-13 00:00:00",152,"C",8
95,"0001-00507","2015-09-13 00:00:00",152,"B",7
96,"0001-00511","2015-10-07 00:00:00",339,"C",6
96,"0001-00511","2015-10-07 00:00:00",339,"B",8
96,"0001-00511","2015-10-07 00:00:00",339,"B",6
97,"0001-00512","2015-10-07 00:00:00",118,"B",10
97,"0001-00512","2015-10-07 00:00:00",118,"B",9
97,"0001-00512","2015-10-07 00:00:00",118,"B",4
97,"0001-00512","2015-10-07 00:00:00",178,"B",7
97,"0001-00512","2015-10-07 00:00:00",178,"C",6
97,"0001-00512","2015-10-07 00:00:00",178,"B",9
97,"0001-00512","2015-10-07 00:00:00",178,"B",10
97,"0001-00512","2015-10-07 00:00:00",178,"D",9
97,"0001-00512","2015-10-07 00:00:00",178,"B",7
97,"0001-00512","2015-10-07 00:00:00",178,"B",6
97,"0001-00512","2015-10-07 00:00:00",178,"D",19
100,"0001-00702","2015-09-12 00:00:00",174,"C",4
100,"0001-00702","2015-09-12 00:00:00",174,"B",5
100,"0001-00702","2015-09-12 00:00:00",174,"D",14
100,"0001-00702","2015-09-12 00:00:00",234,"C",4
100,"0001-00702","2015-09-12 00:00:00",234,"D",7
100,"0001-00702","2015-09-12 00:00:00",234,"B",6
101,"0001-00705","2015-09-12 00:00:00",32,"E",12
101,"0001-00705","2015-09-12 00:00:00",32,"B",9
102,"0001-00706","2015-09-12 00:00:00",290,"B",14
102,"0001-00706","2015-09-12 00:00:00",290,"B",13
102,"0001-00706","2015-09-12 00:00:00",350,"B",4
102,"0001-00706","2015-09-12 00:00:00",350,"B",10
102,"0001-00706","2015-09-12 00:00:00",350,"B",12
102,"0001-00706","2015-09-12 00:00:00",350,"B",7
106,"0001-00906","2015-08-12 00:00:00",12,"C",5
106,"0001-00906","2015-08-12 00:00:00",12,"D",8
106,"0001-00906","2015-08-12 00:00:00",12,"C",6
107,"0001-00907","2015-08-12 00:00:00",244,"E",5
107,"0001-00907","2015-08-12 00:00:00",244,"A",7
107,"0001-00907","2015-08-12 00:00:00",244,"C",5
