"PlotID","Compnum","Aspect","SoilType","Slope","Topo","Elev","Comments"
"0005-01204",5,"N","X",3,"U",-9,NA
"0005-01205",5,"S","X",4,"R",-9,NA
"0005-01206",5,"N","X",3,"L",-9,NA
"0005-01207",5,"NE","X",2,"R",6120,NA
"0005-01208",5,"S","X",14,"U",-9,NA
"0005-01303",5,"N","X",15,"U",-9,NA
"0005-01304",5,"SW","X",3,"R",6000,NA
"0005-01306",5,"S","X",16,"M",6040,NA
"0005-01307",5,"S","X",12,"U",-9,NA
"0005-01308",5,"S","X",5,"M",-9,NA
"0001-00301",1,"NW","X",60,"U",5490,NA
"0001-00302",1,"W","X",30,"U",5525,NA
"0001-00303",1,"S","X",25,"U",5535,NA
"0001-00304",1,"W","X",21,"X",5530,NA
"0001-00305",1,"SW","X",10,"X",5545,NA
"0001-00307",1,"S","X",22,"X",5360,NA
"0001-00309",1,"SW","X",13,"X",5235,NA
"0001-00310",1,"S","X",15,"X",5020,NA
"0001-00312",1,"E","X",19,"X",5080,NA
"0001-00313",1,"E","X",30,"L",4920,NA
"0001-00314",1,"SE","X",37,"X",4987,NA
"0001-00501",1,"S","X",5,"R",5660,NA
"0001-00502",1,"S","X",5,"R",5655,NA
"0001-00503",1,"S","X",7,"R",5620,NA
"0001-00505",1,"SE","X",18,"U",5480,NA
"0001-00506",1,"S","X",26,"U",5390,NA
"0001-00507",1,"E","X",24,"M",5330,NA
"0001-00511",1,"S","X",12,"X",5124,NA
"0001-00512",1,"S","X",15,"X",5080,NA
"0001-00513",1,"SW","X",15,"X",5050,NA
"0001-00701",1,"SW","X",-9,"R",5640,NA
"0001-00702",1,"SW","X",4,"R",5630,NA
"0001-00705",1,"SW","X",6,"R",5600,NA
"0001-00706",1,"S","X",48,"U",5510,NA
"0001-00901",1,"E","X",16,"R",5630,NA
"0001-00904",1,"E","X",27,"U",5570,NA
"0001-00905",1,"E","X",31,"U",5550,NA
"0001-00906",1,"E","X",28,"U",5535,NA
"0001-00907",1,"SE","X",40,"U",5485,NA
"0001-00908",1,"S","X",54,"M",5325,NA
"0001-00909",1,"SE","X",54,"W",5220,NA
"0001-00910",1,"N","X",55,"W",5190,NA
"0001-00911",1,"SW","X",9,"U",5270,NA
"0001-00913",1,"SW","X",17,"M",5130,NA
