"InvID","PlotID","Invdate","Treenum","Species","Cdeath","Yrdeath","Comment"
290,"0005-00505","2012-07-17 00:00:00",10,"RF","N","1","TOO SMALL SNAG"
290,"0005-00505","2012-07-17 00:00:00",23,"WF","X","9","TOO SMALL SNAG"
290,"0005-00505","2012-07-17 00:00:00",32,"RF","X","9","TOO SMALL SNAG"
314,"0005-01007","2015-07-24 00:00:00",14,"MC","X","9","WASP NEST TREE NOT MEASURED"
368,"0005-00411","2016-07-20 00:00:00",7,"WF","N","4",""
368,"0005-00411","2016-07-20 00:00:00",9,"WF","N","4",""
368,"0005-00411","2016-07-20 00:00:00",10,"WF","N","9",""
368,"0005-00411","2016-07-20 00:00:00",16,"BO","N","4",""
368,"0005-00411","2016-07-20 00:00:00",18,"WF","N","4",""
368,"0005-00411","2016-07-20 00:00:00",19,"WF","N","4",""
371,"0005-00512","2016-07-20 00:00:00",10,"WF","N","4",""
371,"0005-00512","2016-07-20 00:00:00",13,"WF","N","2",""
371,"0005-00512","2016-07-20 00:00:00",16,"WF","N","2",""
371,"0005-00512","2016-07-20 00:00:00",26,"WF","N","4",""
374,"0005-00613","2016-07-19 00:00:00",12,"WF","N","1",""
374,"0005-00613","2016-07-19 00:00:00",24,"WF","N","1",""
391,"0001-00208","2016-08-03 00:00:00",100,"MC","X","9","""SPACE HOLDER TREE, NO TREES ON PLOT"""
394,"0001-00211","2016-08-03 00:00:00",100,"MC","X","9","SPACE HOLDER TREE; NO TREES ON PLOT"
395,"0001-00212","2016-08-03 00:00:00",100,"MC","X","9","SPACE HOLDER TREE; NO TREES ON PLOT"
396,"0001-00213","2016-08-03 00:00:00",100,"MC","X","9","PLACE HOLDER TREE; NO TREES ON PLOT"
400,"0001-00403","2016-08-03 00:00:00",10,"MC","X","9","PLACE HOLDER TREE; NO TREES ON PLOT"
401,"0001-00404","2016-08-03 00:00:00",100,"MC","X","9","PLACE HOLDER TREE; NO TREES ON PLOT"
406,"0001-00409","2016-08-02 00:00:00",100,"MC","X","9","PLACE HOLDER TREE; NO TREES ON PLOT"
409,"0001-00412","2016-08-02 00:00:00",100,"MC","X","9","PLACE HOLDER TREE; NO TREES ON PLOT"
412,"0001-00601","2016-08-02 00:00:00",100,"MC","X","9","PLACE HOLDER TREE; NO TREES ON PLOT"
414,"0001-00603","2016-08-02 00:00:00",100,"MC","X","9","PLACCE HOLDER TREE; NO TREES ON PLOT"
415,"0001-00604","2016-08-01 00:00:00",100,"MC","X","9","PLACE HOLDER TREE; NO TREES ON PLOT"
423,"0001-00805","2016-08-01 00:00:00",100,"MC","X","9","PLACE HOLDER TREE; NO TREES ON PLOT"
429,"0001-01004","2016-08-01 00:00:00",10,"MC","X","9","PLACE HOLDER TREE; NO TREES ON PLOT"
430,"0001-01005","2016-08-01 00:00:00",100,"MC","X","9","PLACE HOLDER TREE; NO TREES ON PLOT"
438,"0001-01013","2016-07-27 00:00:00",23,"WF","N","4",""
438,"0001-01013","2016-07-27 00:00:00",37,"PP","N","4",""
441,"0001-01203","2016-07-25 00:00:00",11,"WF","N","4",""
441,"0001-01203","2016-07-25 00:00:00",12,"WF","N","4",""
441,"0001-01203","2016-07-25 00:00:00",14,"WF","N","4",""
441,"0001-01203","2016-07-25 00:00:00",16,"WF","N","4",""
444,"0001-01207","2016-07-25 00:00:00",3,"SP","N","3",""
444,"0001-01207","2016-07-25 00:00:00",8,"WF","N","4",""
458,"0001-01409","2016-07-21 00:00:00",23,"IC","N","9",""
472,"0005-00413","2016-07-19 00:00:00",19,"IC","N","4",""
472,"0005-00413","2016-07-19 00:00:00",31,"WF","N","3",""
493,"0001-01204","2016-07-25 00:00:00",5,"WF","N","4",""
493,"0001-01204","2016-07-25 00:00:00",6,"WF","N","4",""
493,"0001-01204","2016-07-25 00:00:00",7,"WF","N","4",""
493,"0001-01204","2016-07-25 00:00:00",8,"WF","N","4",""
