"InvID","PlotID","Treenum","Invdate","Species","Dbh","Theight","Crclass","Heightcb","Damdis","Folqual","Comment","Radgro10","Radgro5","Weight"
262,"0005-00102",1,"2012-08-08 00:00:00","WF",44.9000015258789,133,"D",54,"H","N","3",-9,-9,10
262,"0005-00102",2,"2012-08-08 00:00:00","WF",5.5,22,"U",4,"K","N","",-9,-9,10
262,"0005-00102",3,"2012-08-08 00:00:00","WF",9.80000019073486,43,"I",12,"BJK","N","",-9,-9,10
262,"0005-00102",6,"2012-08-08 00:00:00","WF",19.3999996185303,74,"C",29,"FK","PT","MARKED",-9,-9,10
262,"0005-00102",8,"2012-08-08 00:00:00","WF",11.3000001907349,40,"I",23,"JKMS","PT","M2",-9,-9,10
262,"0005-00102",9,"2012-08-08 00:00:00","IC",19.3999996185303,40,"I",16,"FJKLM","P","M2 WITNESS D31.2 AZ247",-9,-9,10
263,"0005-00103",1,"2012-06-26 00:00:00","WF",6.19999980926514,30,"S",12,"H","N","",-9,-9,10
263,"0005-00103",2,"2012-06-26 00:00:00","RF",9.19999980926514,50,"C",16,"H","N","",-9,-9,10
263,"0005-00103",3,"2012-06-26 00:00:00","RF",6.19999980926514,35,"C",9,"H","N","",-9,-9,10
263,"0005-00103",4,"2012-06-26 00:00:00","WF",5.09999990463257,22,"S",18,"LST","N","ABOVE WHORL",-9,-9,10
263,"0005-00103",5,"2012-06-26 00:00:00","RF",11.3000001907349,67,"D",16,"H","S","OOZING SAP",-9,-9,10
263,"0005-00103",6,"2012-06-26 00:00:00","WF",7.40000009536743,35,"S",13,"J","N","",-9,-9,10
263,"0005-00103",7,"2012-06-26 00:00:00","RF",9.69999980926514,54,"I",27,"H","N","MARKED",-9,-9,10
263,"0005-00103",8,"2012-06-26 00:00:00","RF",14.3999996185303,76,"D",33,"H","N","WITNESS AZ72 D11.8",-9,-9,10
263,"0005-00103",9,"2012-06-26 00:00:00","RF",9.80000019073486,34,"S",12,"F","N","DBH ABOVE WHORL",-9,-9,10
263,"0005-00103",10,"2012-06-26 00:00:00","WF",11.5,69,"C",42,"H","N","MARKED JOINED AT BASE WITH 11",-9,-9,10
263,"0005-00103",11,"2012-06-26 00:00:00","WF",13,74,"C",44,"H","N","MARKED JOINED AT BASE WITH 10",-9,-9,10
263,"0005-00103",12,"2012-06-26 00:00:00","RF",11.6999998092651,65,"C",18,"H","N","",-9,-9,10
263,"0005-00103",13,"2012-06-26 00:00:00","RF",9.69999980926514,54,"I",20,"K","N","MARKED",-9,-9,10
263,"0005-00103",14,"2012-06-26 00:00:00","RF",13.1000003814697,74,"C",32,"H","N","",-9,-9,10
263,"0005-00103",15,"2012-06-26 00:00:00","RF",15.1000003814697,83,"D",39,"H","N","WITNESS AZ146 D5.7",-9,-9,10
263,"0005-00103",16,"2012-06-26 00:00:00","RF",9.69999980926514,65,"I",30,"H","N","MARKED",-9,-9,10
263,"0005-00103",17,"2012-06-26 00:00:00","RF",4.90000009536743,26,"S",13,"K","T","",-9,-9,10
263,"0005-00103",18,"2012-06-26 00:00:00","RF",8.89999961853027,60,"I",35,"H","N","",-9,-9,10
263,"0005-00103",19,"2012-06-26 00:00:00","RF",6.90000009536743,56,"I",15,"H","N","",-9,-9,10
263,"0005-00103",20,"2012-06-26 00:00:00","RF",10.1000003814697,66,"I",29,"H","N","MARKED",-9,-9,10
263,"0005-00103",21,"2012-06-26 00:00:00","RF",11,76,"C",36,"H","N","MARKED",-9,-9,10
263,"0005-00103",22,"2012-06-26 00:00:00","RF",15.8000001907349,82,"C",41,"H","N","",-9,-9,10
263,"0005-00103",23,"2012-06-26 00:00:00","RF",5.09999990463257,34,"S",24,"H","N","",-9,-9,10
263,"0005-00103",24,"2012-06-26 00:00:00","RF",10.8999996185303,44,"I",72,"K","N","MARKED",-9,-9,10
263,"0005-00103",25,"2012-06-26 00:00:00","RF",13.3999996185303,80,"C",33,"H","N","MARKED",-9,-9,10
263,"0005-00103",26,"2012-06-26 00:00:00","RF",6.59999990463257,45,"S",28,"H","N","",-9,-9,10
263,"0005-00103",27,"2012-06-26 00:00:00","RF",11.5,74,"C",22,"H","N","MARKED",-9,-9,10
263,"0005-00103",28,"2012-06-26 00:00:00","RF",7.19999980926514,42,"I",27,"H","N","",-9,-9,10
263,"0005-00103",29,"2012-06-26 00:00:00","RF",10.8999996185303,72,"C",24,"H","N","",-9,-9,10
263,"0005-00103",30,"2012-06-26 00:00:00","RF",10.3000001907349,59,"C",20,"G","N","",-9,-9,10
263,"0005-00103",31,"2012-06-26 00:00:00","RF",9.80000019073486,60,"C",24,"H","N","",-9,-9,10
263,"0005-00103",32,"2012-06-26 00:00:00","RF",14,75,"D",23,"H","N","",-9,-9,10
263,"0005-00103",33,"2012-06-26 00:00:00","RF",7,45,"I",23,"H","N","",-9,-9,10
263,"0005-00103",34,"2012-06-26 00:00:00","RF",10.6999998092651,65,"C",14,"H","N","",-9,-9,10
263,"0005-00103",35,"2012-06-26 00:00:00","RF",4.59999990463257,22,"U",6,"H","N","",-9,-9,10
263,"0005-00103",36,"2012-06-26 00:00:00","RF",16.7999992370605,84,"D",24,"H","N","",-9,-9,10
263,"0005-00103",37,"2012-06-26 00:00:00","RF",5.40000009536743,25,"U",7,"H","N","",-9,-9,10
263,"0005-00103",38,"2012-06-26 00:00:00","RF",4.90000009536743,17,"U",7,"F","N","",-9,-9,10
263,"0005-00103",39,"2012-06-26 00:00:00","RF",5.30000019073486,20,"U",6,"H","P","",-9,-9,10
335,"0005-00602",19,"2012-08-01 00:00:00","RF",8,49,"S",31,"JKM","TP","MBOLE/ M5",-9,-9,10
335,"0005-00602",21,"2012-08-01 00:00:00","WF",22.5,97,"I",50,"K","TP","MARKED",-9,-9,10
335,"0005-00602",22,"2012-08-01 00:00:00","RF",12.6999998092651,98,"I",81,"BMK","TP","E MARKED",-9,-9,10
335,"0005-00602",23,"2012-08-01 00:00:00","RF",12.8999996185303,93,"I",77,"BM","TP","E MARKED",-9,-9,10
335,"0005-00602",24,"2012-08-01 00:00:00","RF",10.6999998092651,83,"S",70,"KM","TP","M2",-9,-9,10
335,"0005-00602",25,"2012-08-01 00:00:00","RF",17.1000003814697,11,"C",67,"KM","TP","MBOLE/ M2",-9,-9,10
335,"0005-00602",26,"2012-08-01 00:00:00","WF",31.8999996185303,122,"D",65,"S","N","WITNESS AZ276 D10.0",-9,-9,10
335,"0005-00602",27,"2012-08-01 00:00:00","RF",16.2999992370605,104,"C",54,"BLKM","TP","E MARKED",-9,-9,10
335,"0005-00602",28,"2012-08-01 00:00:00","RF",18.7999992370605,106,"C",72,"KM","TP","E MARKED",-9,-9,10
335,"0005-00602",29,"2012-08-01 00:00:00","RF",11.5,79,"I",47,"KLM","TP","M5",-9,-9,10
336,"0005-00603",2,"2012-08-01 00:00:00","RF",12.1999998092651,73,"I",31,"S","N","WITNESS AZ24 D12",-9,-9,10
336,"0005-00603",3,"2012-08-01 00:00:00","RF",23.6000003814697,98,"C",50,"M","N","MBOLE; M1",-9,-9,10
336,"0005-00603",4,"2012-08-01 00:00:00","RF",11.3999996185303,74,"I",35,"J","N","",-9,-9,10
336,"0005-00603",5,"2012-08-01 00:00:00","RF",7.59999990463257,44,"S",23,"M","N","MBOLE; M1",-9,-9,10
336,"0005-00603",6,"2012-08-01 00:00:00","RF",16.8999996185303,84,"I",36,"M","N","MARKED; MEASURED ABOVE SWELL AT 4.7FT; MBOLE; M1",-9,-9,10
336,"0005-00603",7,"2012-08-01 00:00:00","RF",4.69999980926514,29,"S",18,"JM","T","MBOLE; M1",-9,-9,10
336,"0005-00603",8,"2012-08-01 00:00:00","RF",9.60000038146973,34,"S",22,"SKLZM","T","MBOLE; M1",-9,-9,10
336,"0005-00603",9,"2012-08-01 00:00:00","RF",7.40000009536743,40,"I",22,"SJM","T","MBOLE; M1; marked",-9,-9,10
336,"0005-00603",10,"2012-08-01 00:00:00","WF",5.59999990463257,34,"S",19,"KJ","TP","",-9,-9,10
336,"0005-00603",11,"2012-08-01 00:00:00","WF",10.6999998092651,60,"I",29,"S","N","",-9,-9,10
336,"0005-00603",12,"2012-08-01 00:00:00","RF",6,35,"S",20,"SKJ","N","",-9,-9,10
