"InvID","PlotID","Invdate","Treenum","Species","dbh","Heartwood","Woodpeck","Barkcond","Theight","Cdeath","Yrdeath","Whard","Nesthole","SapWood","Weight","Comment"
262,"0005-00102","2012-08-08 00:00:00",4,"WF",30,"C","Y",35,1,"R",4,-9,0,"C",10,""
262,"0005-00102","2012-08-08 00:00:00",5,"WF",35,"D","N",90,2,"R",4,-9,0,"D",10,""
262,"0005-00102","2012-08-08 00:00:00",7,"WF",31.5,"B","Y",100,1,"R",2,-9,0,"B",10,""
265,"0005-00105","2012-07-03 00:00:00",2,"IC",32,"B","Y",55,1,"R",4,-9,0,"C",10,""
265,"0005-00105","2012-07-03 00:00:00",7,"IC",43,"B","N",25,2,"R",4,-9,0,"C",10,""
265,"0005-00105","2012-07-03 00:00:00",8,"MC",34,"D","Y",20,2,"R",4,-9,0,"D",10,""
265,"0005-00105","2012-07-03 00:00:00",9,"IC",35,"D","N",25,2,"R",4,-9,0,"C",10,""
265,"0005-00105","2012-07-03 00:00:00",12,"IC",41,"C","N",90,3,"R",2,-9,0,"C",10,""
265,"0005-00105","2012-07-03 00:00:00",13,"IC",39,"C","N",85,3,"R",2,-9,0,"C",10,""
267,"0005-00106","2012-07-03 00:00:00",9,"RF",30,"C","N",80,1,"R",4,-9,0,"C",10,""
267,"0005-00106","2012-07-03 00:00:00",15,"RF",22,"B","N",35,1,"R",-9,-9,0,"D",10,""
267,"0005-00106","2012-07-03 00:00:00",27,"SP",22,"B","N",90,1,"R",4,-9,0,"C",10,""
267,"0005-00106","2012-07-03 00:00:00",31,"WF",20,"B","N",100,1,"R",4,-9,0,"C",10,""
268,"0005-00107","2012-07-03 00:00:00",26,"IC",50,"E","Y",0,3,"R",4,-9,0,"E",10,""
270,"0005-00203","2012-06-27 00:00:00",8,"RF",22,"E","N",10,2,"N",4,-9,0,"E",10,"AZ104"
272,"0005-00205","2012-06-28 00:00:00",16,"IC",23,"B","Y",25,1,"R",4,-9,0,"B",10,"AZ 151"
272,"0005-00205","2012-06-28 00:00:00",24,"WF",9,"B","N",60,1,"R",4,-9,0,"C",100,"AZ323"
272,"0005-00205","2012-06-28 00:00:00",25,"WF",12,"C","N",25,1,"R",4,-9,0,"D",100,"AZ323"
272,"0005-00205","2012-06-28 00:00:00",26,"WF",16,"C","Y",10,2,"R",4,-9,0,"D",100,"AZ323"
272,"0005-00205","2012-06-28 00:00:00",27,"WF",21,"D","N",80,1,"R",4,-9,0,"D",10,"AZ332"
274,"0005-00207","2012-04-02 00:00:00",17,"SP",19,"B","N",40,1,"R",4,-9,0,"D",100,""
274,"0005-00207","2012-04-02 00:00:00",22,"SP",20,"C","N",20,1,"R",4,-9,0,"C",10,""
275,"0005-00302","2012-08-02 00:00:00",1,"RF",20.5,"B","Y",100,1,"R",2,-9,0,"B",10,""
276,"0005-00303","2012-07-04 00:00:00",1,"WF",27,"C","Y",80,1,"R",4,-9,0,"C",10,""
276,"0005-00303","2012-07-04 00:00:00",2,"RF",21,"B","N",80,1,"R",4,-9,0,"B",10,""
276,"0005-00303","2012-07-04 00:00:00",10,"RF",24,"B","N",90,2,"R",2,-9,0,"B",10,""
276,"0005-00303","2012-07-04 00:00:00",11,"RF",22,"B","N",80,1,"R",2,-9,0,"B",10,""
276,"0005-00303","2012-07-04 00:00:00",13,"WF",20,"B","N",90,1,"R",4,-9,0,"B",10,""
276,"0005-00303","2012-07-04 00:00:00",15,"WF",24,"B","N",50,1,"R",4,-9,0,"B",10,""
276,"0005-00303","2012-07-04 00:00:00",16,"WF",20,"B","N",70,1,"R",4,-9,0,"B",10,""
278,"0005-00305","2012-07-09 00:00:00",17,"IC",24,"C","N",5,2,"R",4,-9,0,"C",10,""
278,"0005-00305","2012-07-09 00:00:00",30,"IC",31,"C","Y",10,2,"R",4,-9,0,"C",10,""
279,"0005-00306","2012-07-10 00:00:00",1,"WF",33,"B","N",90,1,"R",4,-9,0,"C",10,""
279,"0005-00306","2012-07-10 00:00:00",3,"WF",27,"B","N",100,1,"R",4,-9,0,"C",10,""
279,"0005-00306","2012-07-10 00:00:00",7,"WF",29,"C","N",85,1,"R",4,-9,0,"D",10,""
279,"0005-00306","2012-07-10 00:00:00",8,"WF",21,"B","N",70,1,"R",4,-9,0,"C",10,""
281,"0005-00402","2012-08-06 00:00:00",3,"RF",28,"A","N",60,1,"R",4,-9,0,"B",10,""
281,"0005-00402","2012-08-06 00:00:00",8,"RF",30,"B","Y",90,1,"R",4,-9,0,"B",10,""
281,"0005-00402","2012-08-06 00:00:00",9,"WF",25,"B","N",100,1,"R",4,-9,0,"B",10,""
282,"0005-00403","2012-07-11 00:00:00",1,"RF",21,"B","N",95,1,"R",4,-9,0,"B",10,""
282,"0005-00403","2012-07-11 00:00:00",3,"WF",20,"C","N",80,1,"R",4,-9,0,"D",10,""
282,"0005-00403","2012-07-11 00:00:00",6,"WF",21,"B","N",100,2,"R",4,-9,0,"C",10,""
282,"0005-00403","2012-07-11 00:00:00",7,"RF",20,"E","N",30,1,"R",4,-9,0,"D",10,""
282,"0005-00403","2012-07-11 00:00:00",8,"WF",22,"C","N",40,1,"R",4,-9,0,"C",10,""
282,"0005-00403","2012-07-11 00:00:00",9,"RF",22,"B","N",60,2,"R",4,-9,0,"C",10,""
282,"0005-00403","2012-07-11 00:00:00",10,"RF",20,"B","Y",50,2,"R",4,-9,0,"B",10,""
282,"0005-00403","2012-07-11 00:00:00",14,"RF",22,"B","N",50,0,"R",4,-9,0,"C",10,""
282,"0005-00403","2012-07-11 00:00:00",16,"SP",22,"B","N",70,0,"R",4,-9,0,"C",10,""
287,"0005-00502","2012-08-01 00:00:00",25,"RF",35,"B","N",100,2,"R",4,-9,0,"C",10,""
289,"0005-00504","2012-07-17 00:00:00",2,"SP",30,"B","Y",80,1,"R",-9,-9,0,"C",10,""
290,"0005-00505","2012-07-17 00:00:00",7,"IC",40,"E","N",0,2,"R",4,-9,0,"E",10,""
291,"0005-00506","2012-07-18 00:00:00",15,"WF",29,"B","N",100,1,"R",4,-9,0,"B",10,""
291,"0005-00506","2012-07-18 00:00:00",18,"WF",34,"B","N",95,1,"R",4,-9,0,"C",10,""
291,"0005-00506","2012-07-18 00:00:00",23,"WF",22,"B","N",90,1,"R",4,-9,0,"B",10,""
293,"0005-00702","2012-08-01 00:00:00",5,"RF",38,"B","N",70,1,"R",4,-9,0,"C",10,""
295,"0005-00704","2012-07-19 00:00:00",1,"RF",28,"D","N",70,1,"R",4,-9,0,"C",10,"IN CHCH BUSH"
295,"0005-00704","2012-07-19 00:00:00",3,"RF",21,"B","N",100,1,"R",4,-9,0,"B",10,""
295,"0005-00704","2012-07-19 00:00:00",11,"RF",21,"B","N",80,1,"R",4,-9,0,"B",10,""
296,"0005-00705","2012-07-19 00:00:00",26,"SP",36,"A","Y",35,2,"R",4,-9,0,"A",10,""
297,"0005-00706","2012-07-19 00:00:00",7,"WF",23,"B","N",10,1,"R",4,-9,0,"D",10,""
297,"0005-00706","2012-07-19 00:00:00",16,"SP",22,"B","N",95,0,"R",4,-9,0,"B",10,""
298,"0005-00707","2012-07-19 00:00:00",6,"IC",40,"C","N",10,3,"R",4,-9,0,"C",10,""
299,"0005-00802","2012-07-31 00:00:00",2,"RF",24,"C","N",95,1,"R",4,-9,0,"D",10,""
299,"0005-00802","2012-07-31 00:00:00",3,"RF",27,"C","N",5,2,"R",4,-9,0,"D",10,""
299,"0005-00802","2012-07-31 00:00:00",9,"RF",20,"C","N",10,1,"R",4,-9,0,"D",10,""
299,"0005-00802","2012-07-31 00:00:00",12,"RF",21.5,"C","N",10,1,"R",4,-9,0,"D",10,""
299,"0005-00802","2012-07-31 00:00:00",13,"RF",27,"D","N",45,1,"R",4,-9,0,"E",10,""
299,"0005-00802","2012-07-31 00:00:00",24,"RF",41,"C","N",95,3,"R",-9,-9,0,"D",10,""
302,"0005-00805","2012-07-23 00:00:00",7,"WF",23,"C","Y",10,1,"R",4,-9,0,"D",10,""
302,"0005-00805","2012-07-23 00:00:00",10,"RF",31,"B","N",100,1,"R",4,-9,0,"B",10,""
302,"0005-00805","2012-07-23 00:00:00",15,"WF",24,"B","N",90,1,"R",4,-9,0,"B",10,""
302,"0005-00805","2012-07-23 00:00:00",20,"WF",28,"B","N",75,1,"R",4,-9,0,"B",10,""
305,"0005-00903","2012-07-31 00:00:00",7,"RF",26.5,"A","N",100,2,"R",4,-9,0,"B",10,""
306,"0005-00904","2012-07-26 00:00:00",6,"RF",24,"B","N",80,1,"R",4,-9,0,"C",10,""
306,"0005-00904","2012-07-26 00:00:00",10,"WF",24,"B","N",100,1,"R",4,-9,0,"C",10,""
306,"0005-00904","2012-07-26 00:00:00",11,"RF",35,"C","N",60,2,"R",4,-9,0,"D",10,""
306,"0005-00904","2012-07-26 00:00:00",12,"WF",26,"C","N",30,2,"R",4,-9,0,"D",10,""
310,"0005-01003","2012-07-30 00:00:00",3,"RF",26.5,"B","N",15,2,"R",4,-9,0,"C",10,""
310,"0005-01003","2012-07-30 00:00:00",4,"RF",33,"B","N",40,2,"R",4,-9,0,"C",10,""
310,"0005-01003","2012-07-30 00:00:00",7,"RF",29,"B","N",75,1,"R",4,-9,0,"C",10,""
313,"0005-01006","2012-07-24 00:00:00",4,"RF",27,"B","Y",60,1,"R",4,-9,1,"C",10,""
313,"0005-01006","2012-07-24 00:00:00",9,"WF",16,"B","Y",95,0,"R",4,-9,0,"C",100,""
313,"0005-01006","2012-07-24 00:00:00",11,"WF",22,"B","N",15,2,"R",4,-9,0,"C",10,""
315,"0005-01103","2012-07-26 00:00:00",2,"WF",26.5,"C","N",75,2,"R",4,-9,0,"B",10,""
315,"0005-01103","2012-07-26 00:00:00",3,"WF",27,"B","N",85,1,"R",4,-9,0,"B",10,""
316,"0005-01104","2012-07-26 00:00:00",1,"RF",31,"B","N",100,1,"R",4,-9,0,"C",10,""
316,"0005-01104","2012-07-26 00:00:00",9,"RF",34,"B","N",100,1,"R",4,-9,0,"C",10,""
316,"0005-01104","2012-07-26 00:00:00",10,"RF",22,"B","N",50,2,"R",4,-9,0,"C",10,""
316,"0005-01104","2012-07-26 00:00:00",11,"RF",27.5,"B","N",60,1,"R",4,-9,0,"C",10,""
316,"0005-01104","2012-07-26 00:00:00",12,"RF",34,"B","N",95,2,"R",4,-9,0,"C",10,""
316,"0005-01104","2012-07-26 00:00:00",13,"RF",29,"B","N",40,2,"R",4,-9,0,"C",10,""
317,"0005-01105","2012-07-25 00:00:00",1,"RF",21,"C","N",30,1,"R",4,-9,0,"D",10,""
317,"0005-01105","2012-07-25 00:00:00",15,"RF",33,"B","Y",95,1,"R",4,-9,0,"B",10,""
317,"0005-01105","2012-07-25 00:00:00",16,"RF",30,"B","N",95,1,"R",4,-9,0,"B",10,""
317,"0005-01105","2012-07-25 00:00:00",20,"RF",41,"C","N",75,1,"R",4,-9,0,"D",10,""
318,"0005-01106","2012-07-25 00:00:00",1,"RF",25,"B","N",95,1,"R",4,-9,0,"C",10,""
318,"0005-01106","2012-07-25 00:00:00",2,"RF",26,"B","N",30,1,"R",4,-9,0,"C",10,""
318,"0005-01106","2012-07-25 00:00:00",3,"RF",22,"B","N",90,1,"R",4,-9,0,"C",10,""
318,"0005-01106","2012-07-25 00:00:00",4,"RF",26,"C","N",40,2,"R",4,-9,0,"C",10,""
318,"0005-01106","2012-07-25 00:00:00",5,"RF",27,"B","N",60,2,"R",4,-9,0,"C",10,""
318,"0005-01106","2012-07-25 00:00:00",6,"RF",22,"B","N",100,1,"R",4,-9,0,"C",10,""
318,"0005-01106","2012-07-25 00:00:00",10,"RF",22.5,"B","N",30,1,"R",4,-9,0,"C",10,""
320,"0005-01108","2012-07-25 00:00:00",5,"RF",32,"C","N",5,2,"R",4,-9,0,"D",10,""
322,"0005-01204","2012-08-01 00:00:00",5,"RF",39,"C","N",90,1,"R",4,-9,0,"C",10,""
322,"0005-01204","2012-08-01 00:00:00",7,"RF",33,"C","N",70,2,"R",4,-9,0,"C",10,""
322,"0005-01204","2012-08-01 00:00:00",9,"WF",36,"D","N",60,2,"R",4,-9,0,"D",10,""
323,"0005-01205","2015-07-26 00:00:00",40,"RF",33,"B","N",95,1,"R",2,-9,0,"B",10,""
323,"0005-01205","2015-07-26 00:00:00",44,"RF",26,"B","N",90,1,"R",4,-9,0,"B",10,""
324,"0005-01207","2012-07-25 00:00:00",7,"WF",35,"D","N",50,1,"R",4,-9,0,"D",10,""
325,"0005-01208","2012-07-25 00:00:00",19,"WF",29,"D","N",100,1,"R",4,-9,0,"B",10,""
325,"0005-01208","2012-07-25 00:00:00",22,"WF",15,"B","N",70,1,"R",4,-9,0,"B",100,""
327,"0005-01304","2015-07-31 00:00:00",32,"RF",35,"B","N",95,1,"R",4,-9,0,"B",10,""
328,"0005-01306","2012-07-31 00:00:00",3,"RF",28,"B","N",40,1,"R",4,-9,0,"C",10,""
328,"0005-01306","2012-07-31 00:00:00",13,"RF",22,"C","N",60,1,"R",4,-9,0,"D",10,""
328,"0005-01306","2012-07-31 00:00:00",18,"RF",21,"D","N",25,1,"R",4,-9,0,"D",10,""
329,"0005-01307","2012-07-31 00:00:00",19,"WF",42,"C","N",100,1,"R",4,-9,0,"D",10,""
