"InvID","PlotID","Invdate","Species","Pcover","Aveht"
262,"0005-00102","2012-08-08 00:00:00","CHCH",15,5
262,"0005-00102","2012-08-08 00:00:00","CECO",0,1
262,"0005-00102","2012-08-08 00:00:00","RIRO",0,2
262,"0005-00102","2012-08-08 00:00:00","RHAZ",15,6
263,"0005-00103","2012-06-26 00:00:00","CHCH",0,0.5
264,"0005-00104","2012-06-27 00:00:00","CHCH",80,3
264,"0005-00104","2012-06-27 00:00:00","ARPA",5,4
265,"0005-00105","2012-07-03 00:00:00","AR-",0,0.5
265,"0005-00105","2012-07-03 00:00:00","CHCH",5,3
265,"0005-00105","2012-07-03 00:00:00","CECO",0,2
268,"0005-00107","2012-07-03 00:00:00","CHCH",30,3.5
268,"0005-00107","2012-07-03 00:00:00","ARPA",0,3
269,"0005-00202","2012-08-07 00:00:00","CHCH",10,2.5
270,"0005-00203","2012-06-27 00:00:00","RIRO",0,1
271,"0005-00204","2012-06-27 00:00:00","CACH",50,5
271,"0005-00204","2012-06-27 00:00:00","ARPA",10,4
271,"0005-00204","2012-06-27 00:00:00","PRVI",0,5
271,"0005-00204","2012-06-27 00:00:00","CECO",0,2
272,"0005-00205","2012-06-28 00:00:00","CHCH",30,3.5
273,"0005-00206","2012-06-28 00:00:00","CHCH",40,4
273,"0005-00206","2012-06-28 00:00:00","ARPA",5,5
273,"0005-00206","2012-06-28 00:00:00","PRVI",0,2
274,"0005-00207","2012-04-02 00:00:00","CHCH",70,3
275,"0005-00302","2012-08-02 00:00:00","CHCH",5,4
276,"0005-00303","2012-07-04 00:00:00","RIRO",0,1
276,"0005-00303","2012-07-04 00:00:00","ARPA",0,1
276,"0005-00303","2012-07-04 00:00:00","CHCH",0,1
277,"0005-00304","2012-07-04 00:00:00","CHCH",65,3
277,"0005-00304","2012-07-04 00:00:00","ARPA",0,2
278,"0005-00305","2012-07-09 00:00:00","CHCH",0,3
279,"0005-00306","2012-07-10 00:00:00","CHCH",0,2
280,"0005-00307","2012-07-10 00:00:00","CHCH",80,2
280,"0005-00307","2012-07-10 00:00:00","ARPA",0,3.5
281,"0005-00402","2012-08-06 00:00:00","RIRO",0,2
281,"0005-00402","2012-08-06 00:00:00","ARPA",0,1.5
281,"0005-00402","2012-08-06 00:00:00","CHCH",0,2.5
281,"0005-00402","2012-08-06 00:00:00","QUVA",0,2.5
282,"0005-00403","2012-07-11 00:00:00","RIRO",0,1
282,"0005-00403","2012-07-11 00:00:00","ARPA",0,0.5
282,"0005-00403","2012-07-11 00:00:00","CEIR",0,0.5
283,"0005-00404","2012-07-11 00:00:00","ARPA",5,4
283,"0005-00404","2012-07-11 00:00:00","CHCH",0,4
284,"0005-00406","2012-07-12 00:00:00","CHCH",15,4
285,"0005-00407","2012-07-16 00:00:00","CHCH",80,4
285,"0005-00407","2012-07-16 00:00:00","ARPA",0,4
