"InvID","PlotID","Invdate","Species","Age","Comment"
2564,"0500-00026","1997-07-17 00:00:00","C","1",NA
2564,"0500-00026","1997-07-17 00:00:00","C","1",NA
2564,"0500-00026","1997-07-17 00:00:00","C","1",NA
2564,"0500-00026","1997-07-17 00:00:00","C","1",NA
2567,"0500-00035","1997-07-18 00:00:00","C","1",NA
2567,"0500-00035","1997-07-18 00:00:00","B","1",NA
2571,"0190-50200","1997-06-24 00:00:00","C","2",NA
2581,"0360-00007","1997-10-13 00:00:00","R","2",NA
2582,"0400-50100","1997-06-10 00:00:00","C","2",NA
2586,"0400-50500","1997-06-26 00:00:00","R","2",NA
2586,"0400-50500","1997-06-26 00:00:00","C","2",NA
2596,"0551-00017","1997-09-26 00:00:00","R","1",NA
2603,"0590-50400","1997-06-26 00:00:00","C","2",NA
2603,"0590-50400","1997-06-26 00:00:00","D","2",NA
2640,"0590-50100","1997-06-27 00:00:00","R","2",NA
2693,"0270-00032","1996-07-10 00:00:00","D","1",NA
2693,"0270-00032","1996-07-10 00:00:00","M","1",NA
2694,"0240-00022","1996-07-11 00:00:00","D","2",NA
2700,"0240-00003","1996-07-02 00:00:00","0","0",NA
2701,"0240-00005","1996-07-03 00:00:00","D","2",NA
2701,"0240-00005","1996-07-03 00:00:00","B","1",NA
2702,"0240-00007","1996-07-09 00:00:00","D","1",NA
2703,"0240-00009","1996-07-12 00:00:00","D","2",NA
2731,"0612-00002","1997-07-18 00:00:00","C","2",NA
2778,"0380-50100","1996-06-24 00:00:00","C","2",NA
2780,"0380-50400","1996-06-19 00:00:00","D","2",NA
2781,"0380-50500","1996-06-13 00:00:00","D","2",NA
2781,"0380-50500","1996-06-13 00:00:00","C","2",NA
2791,"0010-51100","1996-06-12 00:00:00","C","2",NA
2793,"0010-51300","1996-06-11 00:00:00","R","2",NA
2795,"0050-50200","1996-06-04 00:00:00","D","2",NA
2803,"0410-50200","1996-07-18 00:00:00","C","2",NA
2808,"0410-50300","1996-07-16 00:00:00","C","2",NA
2814,"0410-50400","1996-07-15 00:00:00","C","2",NA
2819,"0240-50100","1997-05-29 00:00:00","D","1",NA
2823,"0270-50400","1997-06-13 00:00:00","C","2",NA
2840,"0420-50300","1996-07-11 00:00:00","C","2",NA
2846,"0420-50200","1996-07-10 00:00:00","C","2",NA
2858,"0420-50322","1996-07-12 00:00:00","C","2",NA
2890,"0380-50131","1996-06-24 00:00:00","R","2",NA
2896,"0380-50211","1996-06-24 00:00:00","C","2",NA
2903,"0380-50300","1996-06-25 00:00:00","R","1",NA
2916,"0380-50643","1996-06-12 00:00:00","C","2",NA
2917,"0380-50642","1996-06-12 00:00:00","D","2",NA
2948,"0250-00008","1995-08-29 00:00:00","D","2",NA
2958,"0010-50141","1996-06-09 00:00:00","0","0",NA
2963,"0010-50231","1996-06-10 00:00:00","D","2",NA
2981,"0010-50812","1996-06-18 00:00:00","C","2",NA
2985,"0010-50841","1996-06-15 00:00:00","C","2",NA
2986,"0010-50842","1996-06-15 00:00:00","C","2",NA
2987,"0010-50843","1996-06-15 00:00:00","D","1",NA
3093,"0360-00057","1997-06-20 00:00:00","C","2",NA
3095,"0360-00059","1997-06-19 00:00:00","C","2",NA
3117,"0380-50611","1996-06-12 00:00:00","D","2",NA
3122,"0380-50631","1996-06-12 00:00:00","C","2",NA
3125,"0420-50322","1996-07-12 00:00:00","C","2",NA
3137,"0410-50221","1996-07-18 00:00:00","O","2",NA
3139,"0400-00004","1998-08-06 00:00:00","D","2",NA
3139,"0400-00004","1998-08-06 00:00:00","D","1",NA
3139,"0400-00004","1998-08-06 00:00:00","D","2",NA
3139,"0400-00004","1998-08-06 00:00:00","C","2",NA
3139,"0400-00004","1998-08-06 00:00:00","C","2",NA
3142,"0400-00011","1998-08-06 00:00:00","D","1",NA
3142,"0400-00011","1998-08-06 00:00:00","U","1",NA
3143,"0400-00021","1998-08-05 00:00:00","C","2",NA
3143,"0400-00021","1998-08-05 00:00:00","C","2",NA
3149,"0060-00001","1998-06-25 00:00:00","D","1",NA
3151,"0060-00005","1998-07-13 00:00:00","D","1",NA
3152,"0060-00007","1998-07-13 00:00:00","O","2",NA
3158,"0060-00022","1998-07-13 00:00:00","D","1",NA
3160,"0060-00025","1998-06-26 00:00:00","D","2",NA
3167,"0110-00008","1998-06-22 00:00:00","D","1",NA
3168,"0110-00010","1998-06-22 00:00:00","D","2",NA
3175,"0110-00025","1998-06-19 00:00:00","R","1",NA
3175,"0110-00025","1998-06-19 00:00:00","R","2",NA
3182,"0070-00010","1998-08-04 00:00:00","B","1",NA
3188,"0295-00003","1998-07-28 00:00:00","0","0",NA
3201,"0440-00003","1998-07-28 00:00:00","0","0",NA
3202,"0440-00005","1998-07-28 00:00:00","R","1",NA
3203,"0440-00006","1998-07-28 00:00:00","0","0",NA
3205,"0440-00010","1998-06-28 00:00:00","0","0",NA
3206,"0440-00011","1998-07-28 00:00:00","0","0",NA
3207,"0440-00012","1998-07-28 00:00:00","0","0",NA
3225,"0453-00100","1997-07-25 00:00:00","C","1",NA
3225,"0453-00100","1997-07-25 00:00:00","C","2",NA
3226,"0010-00001","1999-05-25 00:00:00","O","2",NA
3228,"0010-00005","1999-05-26 00:00:00","D","2",NA
3228,"0010-00005","1999-05-26 00:00:00","B","2",NA
3229,"0010-00007","1999-06-17 00:00:00","R","1",NA
3234,"0010-00024","1999-06-28 00:00:00","B","1",NA
3246,"1090-00006","1998-06-09 00:00:00","0","0",NA
3259,"0481-00031","1999-08-26 00:00:00","C","2",NA
3261,"0481-00027","1999-10-14 00:00:00","D","2",NA
3268,"0481-00018","1999-10-18 00:00:00","C","1",NA
2416,"0210-00007","1995-08-09 00:00:00","D","2",NA
4060,"0461-00021","1997-07-23 00:00:00","R","1",NA
