"InvID","PlotID","Treenum","Invdate","Species","Dbh","Radgro10","Radgro5","Theight","Crclass","Heightcb","Damdis","Folqual","Comment","Weight"
3354,"0371-00055",2,"1998-06-03 00:00:00","PP",7.59999990463257,-9,-9,27,"D",4,"H","N","",100
3356,"0371-00057",1,"1998-06-04 00:00:00","PP",4.90000009536743,-9,-9,15,"D",4,"H","N","",100
3359,"0371-00060",1,"1998-06-05 00:00:00","GS",7.40000009536743,-9,-9,20,"D",0,"H","N","",100
3360,"0371-00061",1,"1998-06-05 00:00:00","PP",7.5,-9,-9,23,"D",2,"H","N","",100
3361,"0371-00062",1,"1998-06-05 00:00:00","PP",8.10000038146973,-9,-9,21,"D",3,"F","N","CANKER AT BASE",100
3363,"0371-00064",1,"1998-06-08 00:00:00","GS",8.30000019073486,-9,-9,24,"D",3,"H","N","20 CONES ON TOP",100
3364,"0371-00065",1,"1998-06-08 00:00:00","PP",8.60000038146973,-9,-9,22,"D",4,"H","N","",100
3365,"0371-00066",1,"1998-06-08 00:00:00","PP",9.80000019073486,-9,-9,29,"D",6,"H","N","",100
3366,"0371-00067",1,"1998-06-08 00:00:00","IC",4.69999980926514,-9,-9,15,"D",0,"H","N","",100
3367,"0371-00068",1,"1998-06-08 00:00:00","PP",5.90000009536743,-9,-9,17,"D",4,"T","N","RECOVERED FROM BROKEN TOP",100
3378,"0371-00051",1,"1994-08-09 00:00:00","PP",4.80000019073486,-9,-9,17,"D",1,"H","N","",100
3382,"0371-00055",1,"1994-08-09 00:00:00","PP",4.69999980926514,-9,-9,18,"D",1,"H","N","",100
3382,"0371-00055",2,"1994-08-09 00:00:00","PP",4.59999990463257,-9,-9,15,"D",1,"H","N","",100
3391,"0371-00064",1,"1994-08-04 00:00:00","GS",4.69999980926514,-9,-9,18,"D",1,"H","N","",100
3392,"0371-00065",1,"1994-08-04 00:00:00","PP",5.40000009536743,-9,-9,20,"D",3,"H","N","",100
3392,"0371-00065",2,"1994-08-04 00:00:00","PP",4.59999990463257,-9,-9,19,"D",1,"H","N","",100
3392,"0371-00065",3,"1994-08-04 00:00:00","PP",4.90000009536743,-9,-9,16,"D",2,"H","N","",100
3393,"0371-00066",1,"1994-08-04 00:00:00","PP",5.19999980926514,-9,-9,15,"D",1,"H","N","",100
3393,"0371-00066",2,"1994-08-04 00:00:00","PP",6.5,-9,-9,18,"D",2,"H","N","",100
3478,"0180-50131",1,"1999-07-13 00:00:00","PP",6.80000019073486,-9,-9,27,"D",3,"H","N","",100
3480,"0180-50141",1,"1999-07-13 00:00:00","PP",7.5,-9,-9,25,"D",3,"H","N","",100
3480,"0180-50141",2,"1999-07-13 00:00:00","PP",4.69999980926514,-9,-9,23,"D",6,"H","N","",100
3482,"0180-50211",1,"1999-07-13 00:00:00","WF",15.5,-9,-9,58,"C",4,"T","N","",100
3485,"0180-50242",1,"1999-07-13 00:00:00","WF",7.19999980926514,-9,-9,30,"D",1,"H","P","",100
3496,"0350-50114",1,"1999-07-27 00:00:00","IC",7.80000019073486,-9,-9,24,"P",1,"H","N","",100
3537,"0420-50631",1,"1999-08-12 00:00:00","DF",20,-9,-9,77,"P",18,"H","N","",100
3573,"0490-50522",1,"1999-08-06 00:00:00","CH",4.5,-9,-9,23,"P",8,"H","N","",100
3573,"0490-50522",2,"1999-08-06 00:00:00","IC",6.09999990463257,-9,-9,21,"P",15,"H","P","",100
3573,"0490-50522",3,"1999-08-06 00:00:00","WF",9.39999961853027,-9,-9,44,"P",21,"","N","",100
3578,"0490-50611",1,"1999-08-09 00:00:00","SP",5.30000019073486,-9,-9,26,"D",4,"H","N","",100
3578,"0490-50611",1,"1999-08-09 00:00:00","PP",5.30000019073486,-9,-9,20,"D",4,"H","N","",100
3595,"0010-50821",1,"2000-09-05 00:00:00","PP",5.59999990463257,-9,-9,19,"D",2,"G","N","",100
3597,"0010-50822",1,"2000-09-05 00:00:00","PP",5.30000019073486,-9,-9,20,"D",3,"H","N","1/100",100
3600,"0010-50812",1,"2000-09-05 00:00:00","WF",15,-9,-9,61,"C",19,"H","N","",100
3616,"0010-51021",1,"2000-09-06 00:00:00","IC",5.59999990463257,-9,-9,19,"S",15,"S","N","",100
3616,"0010-51021",2,"2000-09-06 00:00:00","IC",-9,-9,-9,41,"C",20,"F","N","",100
