"InvID","PlotID","Invdate","DFseed","PPseed","SPseed","WFseed","ICseed","BOseed","GSseed","CHseed","MDseed","TOseed","YWseed","ALseed"
2252,"0410-00001","1994-07-13 00:00:00",0,0,2,4,1,37,0,0,0,0,0,0
2253,"0410-00002","1994-07-15 00:00:00",6,7,4,1,2,0,0,0,0,0,0,0
2254,"0410-00003","1994-07-25 00:00:00",0,1,4,0,0,12,0,0,0,0,0,0
2255,"0410-00004","1994-07-19 00:00:00",0,0,1,3,0,8,0,0,0,0,0,0
2256,"0410-00005","1994-07-20 00:00:00",0,0,1,4,5,94,0,0,0,0,0,0
2257,"0410-00006","1994-07-25 00:00:00",4,8,2,1,0,0,0,0,0,0,0,0
2258,"0410-00007","1994-07-21 00:00:00",0,0,0,2,3,13,0,0,0,0,0,0
2259,"0410-00008","1994-07-22 00:00:00",0,0,0,4,0,11,0,0,0,0,0,0
2260,"0410-00009","1994-07-15 00:00:00",1,10,5,7,0,7,0,0,0,0,0,0
2261,"0410-00010","1994-07-15 00:00:00",3,1,3,4,0,3,0,0,0,2,0,0
2262,"0410-00011","1994-07-18 00:00:00",0,0,0,0,2,20,0,0,0,1,0,0
2263,"0440-00001","1994-07-11 00:00:00",5,58,51,9,2,4,0,0,1,0,0,0
2264,"0440-00002","1994-07-11 00:00:00",0,0,0,2,0,28,0,0,0,0,0,0
2265,"0440-00003","1994-07-08 00:00:00",0,0,0,3,1,57,0,0,0,0,0,0
2266,"0440-00005","1994-07-08 00:00:00",1,2,15,6,0,10,0,0,0,0,0,0
2267,"0440-00006","1994-07-07 00:00:00",1,0,1,3,2,31,0,0,0,1,0,0
2268,"0440-00009","1994-07-07 00:00:00",28,2,25,42,137,4,0,0,0,0,0,0
2269,"0440-00010","1994-07-06 00:00:00",1,0,3,0,0,82,0,0,0,0,0,0
2270,"0440-00011","1994-07-11 00:00:00",1,17,3,15,0,4,0,0,0,1,0,0
2271,"0440-00012","1994-07-01 00:00:00",1,5,12,36,14,82,0,0,0,0,0,0
2272,"0440-00013","1994-07-01 00:00:00",1,0,1,5,2,356,0,0,0,0,0,0
2273,"0440-00014","1994-07-05 00:00:00",11,1,12,25,27,83,0,0,0,1,0,0
2274,"0470-00002","1994-08-01 00:00:00",0,0,0,1,8,81,0,0,0,0,0,0
2275,"0470-00004","1994-08-01 00:00:00",7,0,1,8,1,10,0,0,0,3,0,0
2276,"0470-00006","1994-08-01 00:00:00",0,0,0,0,3,2,0,0,0,0,0,0
2277,"0470-00013","1994-08-03 00:00:00",0,0,0,1,2,23,0,0,0,8,0,0
2278,"0470-00021","1994-08-02 00:00:00",3,0,0,0,1,1,0,0,0,7,0,0
2279,"0470-00022","1994-08-02 00:00:00",1,0,0,9,0,2,0,0,0,3,0,0
2280,"0470-00023","1994-08-02 00:00:00",5,0,6,11,1,6,1,0,0,1,0,0
2302,"0520-00001","1994-06-30 00:00:00",0,0,0,2,0,0,0,0,0,0,0,0
2303,"0520-00002","1994-07-06 00:00:00",3,0,0,8,6,3,0,0,0,0,0,0
2304,"0520-00003","1994-07-06 00:00:00",0,0,0,1,0,1,0,0,0,2,0,0
2305,"0520-00004","1994-07-07 00:00:00",0,0,1,0,0,1,0,0,0,0,0,0
2306,"0520-00005","1994-06-30 00:00:00",1,0,0,11,13,0,0,0,0,0,0,0
2307,"0520-00006","1994-06-30 00:00:00",0,0,0,0,1,0,0,0,0,0,0,0
2308,"0520-00007","1994-07-05 00:00:00",0,0,0,1,0,0,0,0,0,0,9,0
2309,"0531-00001","1994-08-08 00:00:00",0,0,0,2,1,64,0,0,0,0,0,0
2310,"0530-00002","1994-08-09 00:00:00",0,0,0,0,2,6,0,0,0,0,0,0
2311,"0531-00003","1994-08-10 00:00:00",0,2,0,8,0,46,0,0,0,0,0,0
2312,"0530-00004","1994-08-11 00:00:00",0,0,0,2,0,84,0,0,0,0,0,0
