"InvID","PlotID","Invdate","Treenum","Species","dbh","Heartwood","Woodpeck","Barkcond","Theight","Cdeath","Yrdeath","Whard","Nesthole","SapWood","Weight","Comment"
2511,"0360-00001","1997-06-26 00:00:00",20,"PP",27,"E","N",15,1,"R",4,5,0,"E",10,""
2511,"0360-00001","1997-06-26 00:00:00",21,"PP",20.5,"D","Y",10,1,"R",4,4,0,"D",10,""
2513,"0130-00006","1997-06-30 00:00:00",32,"PP",30,"B","N",85,1,"R",4,2,0,"B",10,""
2950,"0250-00013","1996-06-17 00:00:00",11,"IC",48,"E","N",0,2,"R",9,3,0,"E",10,""
2950,"0250-00013","1996-06-17 00:00:00",13,"IC",25,"E","N",5,4,"R",9,1,0,"D",10,""
2951,"0250-00016","1996-06-13 00:00:00",1,"DF",58,"E","N",30,3,"R",9,3,0,"E",10,""
2749,"0060-50100","1997-06-23 00:00:00",5,"IC",34,"B","N",85,2,"R",4,2,0,"B",10,""
2750,"0060-50200","1997-06-23 00:00:00",2,"DF",15,"C","N",30,1,"R",4,3,0,"C",100,""
2750,"0060-50200","1997-06-23 00:00:00",3,"BO",36,"C","N",0,2,"R",4,3,0,"D",10,""
2750,"0060-50200","1997-06-23 00:00:00",4,"PP",29,"D","N",40,1,"R",4,3,0,"D",10,""
2750,"0060-50200","1997-06-23 00:00:00",5,"WF",23,"D","N",45,2,"R",4,4,0,"D",10,""
2751,"0060-50300","1997-06-24 00:00:00",8,"BO",22,"C","N",45,1,"R",4,3,0,"D",10,""
2751,"0060-50300","1997-06-24 00:00:00",9,"BO",21,"C","N",25,3,"R",9,3,0,"D",10,""
2751,"0060-50300","1997-06-24 00:00:00",10,"IC",26,"B","N",100,1,"R",4,2,0,"B",10,""
2751,"0060-50300","1997-06-24 00:00:00",11,"BO",22,"C","N",10,3,"R",4,3,0,"C",10,""
2751,"0060-50300","1997-06-24 00:00:00",12,"BO",29,"C","N",65,1,"R",4,3,0,"C",10,""
2764,"0060-50500","1997-06-25 00:00:00",26,"DF",19,"D","N",15,1,"R",4,4,0,"D",100,""
2764,"0060-50500","1997-06-25 00:00:00",27,"IC",33,"D","N",3,4,"R",4,4,0,"D",10,""
2764,"0060-50500","1997-06-25 00:00:00",28,"WF",12,"B","N",40,3,"R",4,2,0,"C",100,""
2764,"0060-50500","1997-06-25 00:00:00",29,"MC",32,"C","N",0,4,"R",4,3,0,"C",10,""
2764,"0060-50500","1997-06-25 00:00:00",30,"MC",12,"C","N",0,1,"R",4,4,0,"C",100,""
2764,"0060-50500","1997-06-25 00:00:00",31,"PP",22,"D","Y",45,1,"R",4,4,0,"D",10,""
2765,"0060-50400","1997-06-23 00:00:00",1,"WF",33,"C","Y",70,1,"R",4,3,0,"D",10,""
2765,"0060-50400","1997-06-23 00:00:00",4,"WF",27,"C","Y",90,1,"R",4,3,0,"C",10,""
2778,"0380-50100","1996-06-24 00:00:00",2,"SP",28,"C","N",30,2,"R",9,1,0,"C",10,""
2778,"0380-50100","1996-06-24 00:00:00",15,"SP",34,"E","N",5,1,"R",9,3,-9,"E",10,""
2778,"0380-50100","1996-06-24 00:00:00",17,"WF",27,"D","N",30,1,"R",9,1,0,"E",10,""
2778,"0380-50100","1996-06-24 00:00:00",18,"WF",23,"C","N",40,2,"R",9,1,0,"D",10,"WITNESS TREE AZ 313 DIST 8.6 FT."
2778,"0380-50100","1996-06-24 00:00:00",21,"WF",36,"C","N",10,2,"R",9,3,0,"D",10,""
2779,"0380-50200","1996-06-24 00:00:00",19,"SP",36,"B","N",20,2,"R",9,3,0,"C",10,""
2779,"0380-50200","1996-06-24 00:00:00",20,"IC",16,"C","N",55,1,"R",9,1,0,"B",100,""
2779,"0380-50200","1996-06-24 00:00:00",21,"SP",29,"C","N",50,1,"R",9,4,0,"C",10,""
2779,"0380-50200","1996-06-24 00:00:00",22,"SP",31,"B","N",10,2,"R",9,3,0,"C",10,""
2779,"0380-50200","1996-06-24 00:00:00",23,"SP",25,"C","N",70,2,"R",9,1,0,"C",10,""
2779,"0380-50200","1996-06-24 00:00:00",24,"XX",26,"D","N",0,2,"R",9,4,0,"D",10,""
2779,"0380-50200","1996-06-24 00:00:00",25,"SP",25,"B","N",85,2,"R",9,1,0,"B",10,""
2779,"0380-50200","1996-06-24 00:00:00",26,"SP",31,"B","N",10,2,"R",9,4,0,"D",10,""
2779,"0380-50200","1996-06-24 00:00:00",27,"XX",20,"D","N",0,1,"R",9,2,0,"C",10,""
2779,"0380-50200","1996-06-24 00:00:00",28,"SP",40,"C","N",10,2,"R",9,4,0,"D",10,""
2779,"0380-50200","1996-06-24 00:00:00",29,"IC",18,"B","N",80,1,"U",9,1,0,"B",100,NA
2779,"0380-50200","1996-06-24 00:00:00",30,"SP",41,"C","N",40,2,"R",9,4,0,"D",10,""
2779,"0380-50200","1996-06-24 00:00:00",31,"XX",17,"C","N",0,3,"U",9,2,0,"C",100,"BURNED"
3342,"0371-00007","1998-06-04 00:00:00",10,"PP",23.1000003814697,"D","N",50,2,"R",4,4,0,"D",10,""
3342,"0371-00007","1998-06-04 00:00:00",11,"PP",24,"E","N",50,1,"R",4,5,0,"E",10,""
3342,"0371-00007","1998-06-04 00:00:00",15,"PP",29,"D","N",0,4,"U",4,4,1,"D",10,"1/100 ; BURNED "
3342,"0371-00007","1998-06-04 00:00:00",16,"PP",23,"D","N",30,1,"R",4,4,0,"D",10,""
2779,"0380-50200","1996-06-24 00:00:00",32,"XX",30,"B","N",0,4,"U",9,2,0,"B",10,""
2513,"0130-00006","1997-06-30 00:00:00",44,"PP",29,"E","N",25,1,"R",4,5,0,"E",10,""
2513,"0130-00006","1997-06-30 00:00:00",45,"PP",20,"E","N",15,2,"R",4,5,0,"E",10,""
