"InvID","PlotID","Invdate","Azimuth","Decay Factor","Size"
1,"0001-00201","1999-06-17 00:00:00",209,"D",7
1,"0001-00201","1999-06-17 00:00:00",209,"B",3
1,"0001-00201","1999-06-17 00:00:00",209,"B",5
1,"0001-00201","1999-06-17 00:00:00",269,"C",10
1,"0001-00201","1999-06-17 00:00:00",269,"D",14
1,"0001-00201","1999-06-17 00:00:00",269,"B",4
1,"0001-00201","1999-06-17 00:00:00",269,"C",8
2,"0001-00202","1998-06-18 00:00:00",60,"B",13
2,"0001-00202","1998-06-18 00:00:00",120,"B",3
3,"0001-00203","1999-06-18 00:00:00",338,"D",13
3,"0001-00203","1999-06-18 00:00:00",338,"A",3
3,"0001-00203","1999-06-18 00:00:00",38,"A",3
3,"0001-00203","1999-06-18 00:00:00",38,"A",6
3,"0001-00203","1999-06-18 00:00:00",38,"B",4
3,"0001-00203","1999-06-18 00:00:00",38,"A",3
4,"0001-00204","1999-06-20 00:00:00",329,"A",8
4,"0001-00204","1999-06-20 00:00:00",29,"B",5
4,"0001-00204","1999-06-20 00:00:00",29,"B",4
4,"0001-00204","1999-06-20 00:00:00",29,"A",4
5,"0001-00205","1999-06-21 00:00:00",154,"D",3
5,"0001-00205","1999-06-21 00:00:00",154,"C",4
5,"0001-00205","1999-06-21 00:00:00",154,"C",6
5,"0001-00205","1999-06-21 00:00:00",154,"C",8
5,"0001-00205","1999-06-21 00:00:00",154,"D",7
5,"0001-00205","1999-06-21 00:00:00",154,"B",5
5,"0001-00205","1999-06-21 00:00:00",214,"B",7
5,"0001-00205","1999-06-21 00:00:00",214,"D",4
5,"0001-00205","1999-06-21 00:00:00",214,"B",5
5,"0001-00205","1999-06-21 00:00:00",214,"B",3
7,"0001-00207","1999-06-22 00:00:00",209,"C",3
7,"0001-00207","1999-06-22 00:00:00",209,"B",3
7,"0001-00207","1999-06-22 00:00:00",269,"B",4
8,"0001-00301","1999-06-28 00:00:00",253,"B",9
8,"0001-00301","1999-06-28 00:00:00",253,"E",8
8,"0001-00301","1999-06-28 00:00:00",253,"D",10
8,"0001-00301","1999-06-28 00:00:00",253,"B",5
8,"0001-00301","1999-06-28 00:00:00",313,"E",5
8,"0001-00301","1999-06-28 00:00:00",313,"C",8
8,"0001-00301","1999-06-28 00:00:00",313,"E",13
8,"0001-00301","1999-06-28 00:00:00",313,"C",8
8,"0001-00301","1999-06-28 00:00:00",313,"C",5
8,"0001-00301","1999-06-28 00:00:00",313,"B",11
11,"0001-00304","1999-06-27 00:00:00",202,"D",16
11,"0001-00304","1999-06-27 00:00:00",262,"C",7
12,"0001-00305","1998-06-27 00:00:00",262,"A",5
13,"0001-00306","1999-06-24 00:00:00",65,"C",10
13,"0001-00306","1999-06-24 00:00:00",65,"D",3
13,"0001-00306","1999-06-24 00:00:00",125,"D",6
13,"0001-00306","1999-06-24 00:00:00",125,"E",49
13,"0001-00306","1999-06-24 00:00:00",125,"A",6
13,"0001-00306","1999-06-24 00:00:00",125,"D",13
14,"0001-00307","1999-06-24 00:00:00",311,"D",4
14,"0001-00307","1999-06-24 00:00:00",311,"C",4
14,"0001-00307","1999-06-24 00:00:00",11,"B",13
15,"0001-00401","1999-07-09 00:00:00",80,"C",8
15,"0001-00401","1999-07-09 00:00:00",80,"A",17
15,"0001-00401","1999-07-09 00:00:00",80,"C",21
15,"0001-00401","1999-07-09 00:00:00",140,"B",12
15,"0001-00401","1999-07-09 00:00:00",140,"C",7
16,"0001-00402","1999-07-07 00:00:00",190,"D",11
16,"0001-00402","1999-07-07 00:00:00",250,"E",15
16,"0001-00402","1999-07-07 00:00:00",250,"C",7
17,"0001-00403","1999-07-07 00:00:00",348,"C",5
17,"0001-00403","1999-07-07 00:00:00",48,"C",6
17,"0001-00403","1999-07-07 00:00:00",48,"B",4
18,"0001-00404","1999-07-07 00:00:00",168,"C",5
18,"0001-00404","1999-07-07 00:00:00",168,"A",10
19,"0001-00405","1999-06-30 00:00:00",183,"C",13
20,"0001-00406","1999-06-30 00:00:00",39,"B",3
20,"0001-00406","1999-06-30 00:00:00",39,"C",9
20,"0001-00406","1999-06-30 00:00:00",39,"C",4
20,"0001-00406","1999-06-30 00:00:00",39,"B",4
20,"0001-00406","1999-06-30 00:00:00",99,"D",5
20,"0001-00406","1999-06-30 00:00:00",99,"D",11
20,"0001-00406","1999-06-30 00:00:00",99,"B",4
22,"0001-00501","1999-07-13 00:00:00",268,"D",8
22,"0001-00501","1999-07-13 00:00:00",328,"B",3
23,"0001-00502","1999-07-13 00:00:00",353,"A",9
23,"0001-00502","1999-07-13 00:00:00",53,"C",7
24,"0001-00503","1999-07-13 00:00:00",163,"A",3
25,"0001-00504","1999-07-13 00:00:00",68,"C",12
25,"0001-00504","1999-07-13 00:00:00",68,"A",16
25,"0001-00504","1999-07-13 00:00:00",68,"C",26
25,"0001-00504","1999-07-13 00:00:00",68,"C",4
25,"0001-00504","1999-07-13 00:00:00",128,"C",6
25,"0001-00504","1999-07-13 00:00:00",128,"B",3
26,"0001-00505","1999-07-12 00:00:00",108,"B",4
26,"0001-00505","1999-07-12 00:00:00",108,"B",4
26,"0001-00505","1999-07-12 00:00:00",108,"C",5
26,"0001-00505","1999-07-12 00:00:00",108,"B",8
26,"0001-00505","1999-07-12 00:00:00",168,"B",9
27,"0001-00506","1999-07-12 00:00:00",111,"B",5
27,"0001-00506","1999-07-12 00:00:00",111,"C",16
28,"0001-00507","1999-07-12 00:00:00",247,"B",11
28,"0001-00507","1999-07-12 00:00:00",247,"B",10
30,"0001-00602","1999-07-14 00:00:00",300,"A",5
30,"0001-00602","1999-07-14 00:00:00",360,"A",8
30,"0001-00602","1999-07-14 00:00:00",360,"B",9
31,"0001-00603","1999-07-13 00:00:00",245,"B",14
31,"0001-00603","1999-07-13 00:00:00",245,"A",21
31,"0001-00603","1999-07-13 00:00:00",305,"A",10
32,"0001-00604","1999-07-14 00:00:00",91,"B",21
32,"0001-00604","1999-07-14 00:00:00",91,"B",5
32,"0001-00604","1999-07-14 00:00:00",91,"B",10
32,"0001-00604","1999-07-14 00:00:00",91,"B",27
32,"0001-00604","1999-07-14 00:00:00",91,"B",11
32,"0001-00604","1999-07-14 00:00:00",91,"D",11
33,"0001-00605","1999-07-13 00:00:00",3,"B",4
33,"0001-00605","1999-07-13 00:00:00",3,"C",7
33,"0001-00605","1999-07-13 00:00:00",3,"D",7
33,"0001-00605","1999-07-13 00:00:00",63,"B",16
34,"0001-00606","1999-07-20 00:00:00",1,"B",30
35,"0001-00607","1999-07-20 00:00:00",74,"C",7
37,"0001-00702","1999-07-21 00:00:00",195,"A",16
37,"0001-00702","1999-07-21 00:00:00",255,"C",6
37,"0001-00702","1999-07-21 00:00:00",255,"A",16
35,"0001-00607","1999-07-20 00:00:00",74,"B",5
35,"0001-00607","1999-07-20 00:00:00",74,"C",4
37,"0001-00702","1999-07-21 00:00:00",255,"B",9
37,"0001-00702","1999-07-21 00:00:00",255,"B",4
40,"0001-00706","1999-07-22 00:00:00",43,"C",15
40,"0001-00706","1999-07-22 00:00:00",43,"D",20
40,"0001-00706","1999-07-22 00:00:00",43,"D",16
40,"0001-00706","1999-07-22 00:00:00",43,"C",15
40,"0001-00706","1999-07-22 00:00:00",43,"D",9
40,"0001-00706","1999-07-22 00:00:00",103,"C",7
40,"0001-00706","1999-07-22 00:00:00",103,"D",7
40,"0001-00706","1999-07-22 00:00:00",103,"D",8
41,"0001-00707","1999-07-23 00:00:00",71,"C",4
41,"0001-00707","1999-07-23 00:00:00",71,"B",14
41,"0001-00707","1999-07-23 00:00:00",71,"B",5
41,"0001-00707","1999-07-23 00:00:00",131,"C",18
41,"0001-00707","1999-07-23 00:00:00",131,"C",16
41,"0001-00707","1999-07-23 00:00:00",131,"B",10
42,"0001-00801","1999-07-24 00:00:00",145,"B",24
42,"0001-00801","1999-07-24 00:00:00",145,"C",26
42,"0001-00801","1999-07-24 00:00:00",205,"C",6
42,"0001-00801","1999-07-24 00:00:00",205,"C",8
42,"0001-00801","1999-07-24 00:00:00",205,"C",13
43,"0001-00802","1999-07-24 00:00:00",22,"A",5
43,"0001-00802","1999-07-24 00:00:00",22,"B",5
43,"0001-00802","1999-07-24 00:00:00",22,"C",5
43,"0001-00802","1999-07-24 00:00:00",22,"B",3
43,"0001-00802","1999-07-24 00:00:00",82,"C",42
43,"0001-00802","1999-07-24 00:00:00",82,"B",7
43,"0001-00802","1999-07-24 00:00:00",82,"A",10
44,"0001-00803","1999-07-25 00:00:00",151,"D",3
44,"0001-00803","1999-07-25 00:00:00",151,"C",11
44,"0001-00803","1999-07-25 00:00:00",151,"C",5
44,"0001-00803","1999-07-25 00:00:00",211,"C",14
44,"0001-00803","1999-07-25 00:00:00",211,"D",12
44,"0001-00803","1999-07-25 00:00:00",211,"D",11
44,"0001-00803","1999-07-25 00:00:00",211,"C",6
44,"0001-00803","1999-07-25 00:00:00",211,"C",6
44,"0001-00803","1999-07-25 00:00:00",211,"B",5
45,"0001-00804","1999-07-25 00:00:00",128,"B",8
45,"0001-00804","1999-07-25 00:00:00",128,"C",34
45,"0001-00804","1999-07-25 00:00:00",128,"B",9
45,"0001-00804","1999-07-25 00:00:00",128,"C",23
45,"0001-00804","1999-07-25 00:00:00",188,"A",8
46,"0001-00805","1999-07-25 00:00:00",256,"C",6
46,"0001-00805","1999-07-25 00:00:00",256,"D",18
47,"0001-00806","1999-07-25 00:00:00",226,"D",16
47,"0001-00806","1999-07-25 00:00:00",226,"D",16
47,"0001-00806","1999-07-25 00:00:00",226,"C",15
47,"0001-00806","1999-07-25 00:00:00",286,"C",16
47,"0001-00806","1999-07-25 00:00:00",286,"A",4
48,"0001-00807","1999-07-26 00:00:00",22,"B",3
48,"0001-00807","1999-07-26 00:00:00",22,"B",36
48,"0001-00807","1999-07-26 00:00:00",22,"A",3
48,"0001-00807","1999-07-26 00:00:00",22,"B",8
48,"0001-00807","1999-07-26 00:00:00",82,"C",18
48,"0001-00807","1999-07-26 00:00:00",82,"C",18
48,"0001-00807","1999-07-26 00:00:00",82,"C",3
49,"0001-00808","1999-07-26 00:00:00",66,"C",4
49,"0001-00808","1999-07-26 00:00:00",66,"B",4
49,"0001-00808","1999-07-26 00:00:00",66,"A",7
49,"0001-00808","1999-07-26 00:00:00",66,"D",4
49,"0001-00808","1999-07-26 00:00:00",66,"C",4
49,"0001-00808","1999-07-26 00:00:00",66,"C",8
49,"0001-00808","1999-07-26 00:00:00",66,"C",7
49,"0001-00808","1999-07-26 00:00:00",66,"C",4
49,"0001-00808","1999-07-26 00:00:00",126,"B",4
49,"0001-00808","1999-07-26 00:00:00",126,"E",4
49,"0001-00808","1999-07-26 00:00:00",126,"E",4
50,"0001-00809","1999-07-27 00:00:00",350,"D",13
50,"0001-00809","1999-07-27 00:00:00",50,"D",6
50,"0001-00809","1999-07-27 00:00:00",50,"B",7
50,"0001-00809","1999-07-27 00:00:00",50,"D",13
51,"0001-00810","1999-07-27 00:00:00",228,"D",13
51,"0001-00810","1999-07-27 00:00:00",288,"B",3
51,"0001-00810","1999-07-27 00:00:00",288,"D",7
51,"0001-00810","1999-07-27 00:00:00",288,"D",4
51,"0001-00810","1999-07-27 00:00:00",288,"D",26
51,"0001-00810","1999-07-27 00:00:00",288,"D",4
51,"0001-00810","1999-07-27 00:00:00",288,"D",4
51,"0001-00810","1999-07-27 00:00:00",288,"E",3
51,"0001-00810","1999-07-27 00:00:00",288,"C",12
52,"0001-00901","1999-08-10 00:00:00",220,"B",5
52,"0001-00901","1999-08-10 00:00:00",220,"E",26
52,"0001-00901","1999-08-10 00:00:00",220,"C",13
52,"0001-00901","1999-08-10 00:00:00",220,"C",6
52,"0001-00901","1999-08-10 00:00:00",220,"D",5
52,"0001-00901","1999-08-10 00:00:00",220,"D",6
52,"0001-00901","1999-08-10 00:00:00",220,"D",16
52,"0001-00901","1999-08-10 00:00:00",220,"C",7
52,"0001-00901","1999-08-10 00:00:00",220,"B",4
52,"0001-00901","1999-08-10 00:00:00",220,"D",27
52,"0001-00901","1999-08-10 00:00:00",220,"C",31
52,"0001-00901","1999-08-10 00:00:00",220,"D",11
52,"0001-00901","1999-08-10 00:00:00",280,"C",9
52,"0001-00901","1999-08-10 00:00:00",280,"C",11
52,"0001-00901","1999-08-10 00:00:00",280,"C",5
52,"0001-00901","1999-08-10 00:00:00",280,"C",13
52,"0001-00901","1999-08-10 00:00:00",280,"C",22
52,"0001-00901","1999-08-10 00:00:00",280,"C",6
52,"0001-00901","1999-08-10 00:00:00",280,"C",12
52,"0001-00901","1999-08-10 00:00:00",280,"C",6
52,"0001-00901","1999-08-10 00:00:00",280,"C",8
52,"0001-00901","1999-08-10 00:00:00",280,"C",6
52,"0001-00901","1999-08-10 00:00:00",280,"C",11
52,"0001-00901","1999-08-10 00:00:00",280,"C",6
52,"0001-00901","1999-08-10 00:00:00",280,"C",7
52,"0001-00901","1999-08-10 00:00:00",280,"C",10
52,"0001-00901","1999-08-10 00:00:00",280,"C",18
53,"0001-00902","1999-08-09 00:00:00",244,"B",3
53,"0001-00902","1999-08-09 00:00:00",244,"B",3
53,"0001-00902","1999-08-09 00:00:00",304,"B",8
53,"0001-00902","1999-08-09 00:00:00",304,"D",3
54,"0001-00903","1999-08-15 00:00:00",333,"C",24
54,"0001-00903","1999-08-15 00:00:00",333,"B",7
54,"0001-00903","1999-08-15 00:00:00",333,"B",8
54,"0001-00903","1999-08-15 00:00:00",333,"C",6
54,"0001-00903","1999-08-15 00:00:00",33,"C",4
54,"0001-00903","1999-08-15 00:00:00",33,"D",7
54,"0001-00903","1999-08-15 00:00:00",33,"C",9
55,"0001-00904","1999-08-09 00:00:00",184,"B",11
55,"0001-00904","1999-08-09 00:00:00",184,"B",6
55,"0001-00904","1999-08-09 00:00:00",184,"B",6
55,"0001-00904","1999-08-09 00:00:00",184,"B",11
55,"0001-00904","1999-08-09 00:00:00",244,"B",8
55,"0001-00904","1999-08-09 00:00:00",244,"A",7
56,"0001-00905","1999-08-04 00:00:00",205,"C",4
56,"0001-00905","1999-08-04 00:00:00",205,"D",4
56,"0001-00905","1999-08-04 00:00:00",205,"C",4
56,"0001-00905","1999-08-04 00:00:00",205,"B",30
56,"0001-00905","1999-08-04 00:00:00",205,"B",8
56,"0001-00905","1999-08-04 00:00:00",265,"D",4
56,"0001-00905","1999-08-04 00:00:00",265,"B",30
56,"0001-00905","1999-08-04 00:00:00",265,"B",8
56,"0001-00905","1999-08-04 00:00:00",265,"D",19
57,"0001-00906","1999-08-10 00:00:00",59,"C",26
57,"0001-00906","1999-08-10 00:00:00",59,"C",36
57,"0001-00906","1999-08-10 00:00:00",59,"D",8
57,"0001-00906","1999-08-10 00:00:00",59,"C",6
57,"0001-00906","1999-08-10 00:00:00",59,"D",3
57,"0001-00906","1999-08-10 00:00:00",119,"C",4
57,"0001-00906","1999-08-10 00:00:00",119,"C",6
57,"0001-00906","1999-08-10 00:00:00",119,"C",4
57,"0001-00906","1999-08-10 00:00:00",119,"C",4
58,"0001-00907","1999-08-04 00:00:00",51,"C",3
58,"0001-00907","1999-08-04 00:00:00",51,"D",4
59,"0001-00908","1999-08-03 00:00:00",88,"B",11
59,"0001-00908","1999-08-03 00:00:00",88,"B",5
59,"0001-00908","1999-08-03 00:00:00",88,"C",4
59,"0001-00908","1999-08-03 00:00:00",148,"D",7
59,"0001-00908","1999-08-03 00:00:00",148,"B",3
60,"0001-00909","1999-08-03 00:00:00",89,"B",8
60,"0001-00909","1999-08-03 00:00:00",89,"A",3
60,"0001-00909","1999-08-03 00:00:00",89,"A",5
60,"0001-00909","1999-08-03 00:00:00",149,"B",4
60,"0001-00909","1999-08-03 00:00:00",149,"A",7
60,"0001-00909","1999-08-03 00:00:00",149,"D",4
60,"0001-00909","1999-08-03 00:00:00",149,"D",6
60,"0001-00909","1999-08-03 00:00:00",149,"B",4
61,"0001-00910","1999-08-03 00:00:00",60,"A",4
61,"0001-00910","1999-08-03 00:00:00",60,"B",7
61,"0001-00910","1999-08-03 00:00:00",60,"B",8
61,"0001-00910","1999-08-03 00:00:00",60,"C",4
61,"0001-00910","1999-08-03 00:00:00",60,"C",6
61,"0001-00910","1999-08-03 00:00:00",120,"B",6
61,"0001-00910","1999-08-03 00:00:00",120,"D",8
61,"0001-00910","1999-08-03 00:00:00",120,"C",10
62,"0001-01001","1999-08-24 00:00:00",60,"D",10
62,"0001-01001","1999-08-24 00:00:00",120,"D",18
63,"0001-01002","1999-08-19 00:00:00",349,"C",4
63,"0001-01002","1999-08-19 00:00:00",49,"D",8
63,"0001-01002","1999-08-19 00:00:00",49,"C",5
63,"0001-01002","1999-08-19 00:00:00",49,"C",5
63,"0001-01002","1999-08-19 00:00:00",49,"C",4
63,"0001-01002","1999-08-19 00:00:00",49,"C",5
64,"0001-01003","1999-08-19 00:00:00",341,"C",5
64,"0001-01003","1999-08-19 00:00:00",341,"C",5
67,"0001-01006","1999-08-20 00:00:00",360,"C",8
67,"0001-01006","1999-08-20 00:00:00",60,"D",14
67,"0001-01006","1999-08-20 00:00:00",60,"C",7
68,"0001-01007","1999-08-19 00:00:00",336,"C",22
68,"0001-01007","1999-08-19 00:00:00",36,"B",6
69,"0001-01008","1999-08-20 00:00:00",175,"C",7
69,"0001-01008","1999-08-20 00:00:00",175,"B",8
69,"0001-01008","1999-08-20 00:00:00",235,"B",14
70,"0001-01009","1999-08-20 00:00:00",213,"A",8
70,"0001-01009","1999-08-20 00:00:00",213,"C",3
70,"0001-01009","1999-08-20 00:00:00",213,"D",6
70,"0001-01009","1999-08-20 00:00:00",213,"C",7
70,"0001-01009","1999-08-20 00:00:00",273,"C",8
70,"0001-01009","1999-08-20 00:00:00",273,"C",5
70,"0001-01009","1999-08-20 00:00:00",273,"C",24
70,"0001-01009","1999-08-20 00:00:00",273,"C",9
71,"0001-01010","1999-08-20 00:00:00",263,"D",8
71,"0001-01010","1999-08-20 00:00:00",263,"E",36
71,"0001-01010","1999-08-20 00:00:00",263,"D",18
71,"0001-01010","1999-08-20 00:00:00",263,"C",18
71,"0001-01010","1999-08-20 00:00:00",263,"E",6
71,"0001-01010","1999-08-20 00:00:00",323,"D",14
72,"0001-01101","1999-08-16 00:00:00",271,"B",12
72,"0001-01101","1999-08-16 00:00:00",271,"C",16
72,"0001-01101","1999-08-16 00:00:00",271,"C",4
72,"0001-01101","1999-08-16 00:00:00",331,"C",15
73,"0001-01102","1999-08-24 00:00:00",51,"B",5
73,"0001-01102","1999-08-24 00:00:00",111,"B",5
74,"0001-01103","1999-08-24 00:00:00",350,"B",5
74,"0001-01103","1999-08-24 00:00:00",350,"C",4
74,"0001-01103","1999-08-24 00:00:00",350,"C",4
74,"0001-01103","1999-08-24 00:00:00",350,"C",4
74,"0001-01103","1999-08-24 00:00:00",50,"D",6
74,"0001-01103","1999-08-24 00:00:00",50,"B",4
74,"0001-01103","1999-08-24 00:00:00",50,"C",4
75,"0001-01104","1999-08-24 00:00:00",201,"C",26
75,"0001-01104","1999-08-24 00:00:00",201,"C",18
75,"0001-01104","1999-08-24 00:00:00",201,"C",12
75,"0001-01104","1999-08-24 00:00:00",201,"B",14
75,"0001-01104","1999-08-24 00:00:00",261,"C",10
75,"0001-01104","1999-08-24 00:00:00",261,"D",20
76,"0001-01201","1999-08-28 00:00:00",184,"E",4
77,"0001-01202","1999-08-28 00:00:00",236,"B",16
77,"0001-01202","1999-08-28 00:00:00",296,"B",17
77,"0001-01202","1999-08-28 00:00:00",296,"B",16
78,"0001-01203","1999-08-29 00:00:00",319,"C",6
79,"0001-01204","1999-08-29 00:00:00",236,"E",6
79,"0001-01204","1999-08-29 00:00:00",236,"D",4
79,"0001-01204","1999-08-29 00:00:00",236,"B",6
79,"0001-01204","1999-08-29 00:00:00",236,"C",5
79,"0001-01204","1999-08-29 00:00:00",236,"E",4
79,"0001-01204","1999-08-29 00:00:00",236,"D",7
79,"0001-01204","1999-08-29 00:00:00",296,"B",4
80,"0001-01301","1999-08-30 00:00:00",272,"C",6
81,"0001-01302","1999-08-30 00:00:00",13,"B",5
81,"0001-01302","1999-08-30 00:00:00",13,"B",4
81,"0001-01302","1999-08-30 00:00:00",13,"B",4
81,"0001-01302","1999-08-30 00:00:00",13,"B",4
81,"0001-01302","1999-08-30 00:00:00",13,"D",5
81,"0001-01302","1999-08-30 00:00:00",13,"B",3
81,"0001-01302","1999-08-30 00:00:00",73,"A",11
81,"0001-01302","1999-08-30 00:00:00",73,"B",4
81,"0001-01302","1999-08-30 00:00:00",73,"B",5
81,"0001-01302","1999-08-30 00:00:00",73,"B",4
81,"0001-01302","1999-08-30 00:00:00",73,"B",4
81,"0001-01302","1999-08-30 00:00:00",73,"B",6
82,"0001-01303","1999-08-30 00:00:00",10,"B",3
82,"0001-01303","1999-08-30 00:00:00",10,"E",4
83,"0001-01304","1999-08-30 00:00:00",228,"C",6
83,"0001-01304","1999-08-30 00:00:00",228,"D",15
83,"0001-01304","1999-08-30 00:00:00",228,"D",12
83,"0001-01304","1999-08-30 00:00:00",288,"D",15
83,"0001-01304","1999-08-30 00:00:00",288,"D",12
83,"0001-01304","1999-08-30 00:00:00",288,"B",10
83,"0001-01304","1999-08-30 00:00:00",288,"C",4
84,"0001-01401","1999-09-01 00:00:00",8,"D",7
84,"0001-01401","1999-09-01 00:00:00",68,"C",14
84,"0001-01401","1999-09-01 00:00:00",68,"D",7
84,"0001-01401","1999-09-01 00:00:00",68,"A",18
84,"0001-01401","1999-09-01 00:00:00",68,"A",16
85,"0001-01402","1999-09-01 00:00:00",204,"C",4
85,"0001-01402","1999-09-01 00:00:00",264,"D",6
85,"0001-01402","1999-09-01 00:00:00",264,"D",9
85,"0001-01402","1999-09-01 00:00:00",264,"D",20
85,"0001-01402","1999-09-01 00:00:00",264,"D",18
85,"0001-01402","1999-09-01 00:00:00",264,"E",18
85,"0001-01402","1999-09-01 00:00:00",264,"D",4
86,"0001-01403","1999-09-01 00:00:00",16,"B",7
86,"0001-01403","1999-09-01 00:00:00",76,"B",13
87,"0001-01404","1999-09-01 00:00:00",240,"A",3
89,"0001-00201","2011-08-08 00:00:00",275,"C",14
89,"0001-00201","2011-08-08 00:00:00",275,"B",7
89,"0001-00201","2011-08-08 00:00:00",275,"D",11
89,"0001-00201","2011-08-08 00:00:00",275,"C",7
89,"0001-00201","2011-08-08 00:00:00",275,"B",3
89,"0001-00201","2011-08-08 00:00:00",275,"B",3
90,"0001-00202","2011-08-08 00:00:00",255,"A",3
90,"0001-00202","2011-08-08 00:00:00",255,"C",13
90,"0001-00202","2011-08-08 00:00:00",255,"C",5
91,"0001-00203","2011-08-08 00:00:00",273,"D",5
91,"0001-00203","2011-08-08 00:00:00",273,"E",7
91,"0001-00203","2011-08-08 00:00:00",273,"D",4
91,"0001-00203","2011-08-08 00:00:00",273,"A",11
91,"0001-00203","2011-08-08 00:00:00",273,"A",10
91,"0001-00203","2011-08-08 00:00:00",273,"B",3
91,"0001-00203","2011-08-08 00:00:00",273,"C",14
91,"0001-00203","2011-08-08 00:00:00",333,"A",26
92,"0001-00205","2011-09-21 00:00:00",164,"E",10
92,"0001-00205","2011-09-21 00:00:00",164,"E",9
92,"0001-00205","2011-09-21 00:00:00",164,"D",10
92,"0001-00205","2011-09-21 00:00:00",104,"D",6
92,"0001-00205","2011-09-21 00:00:00",104,"D",10
94,"0001-00301","2011-08-08 00:00:00",260,"C",10
94,"0001-00301","2011-08-08 00:00:00",260,"E",8
94,"0001-00301","2011-08-08 00:00:00",320,"B",9
94,"0001-00301","2011-08-08 00:00:00",320,"D",3
96,"0001-00303","2011-08-08 00:00:00",16,"A",9
96,"0001-00303","2011-08-08 00:00:00",316,"E",4
97,"0001-00304","2011-08-08 00:00:00",27,"E",16
97,"0001-00304","2011-08-08 00:00:00",27,"D",8
97,"0001-00304","2011-08-08 00:00:00",27,"B",5
97,"0001-00304","2011-08-08 00:00:00",27,"B",9
97,"0001-00304","2011-08-08 00:00:00",27,"C",5
97,"0001-00304","2011-08-08 00:00:00",27,"B",4
97,"0001-00304","2011-08-08 00:00:00",27,"C",5
97,"0001-00304","2011-08-08 00:00:00",327,"E",11
97,"0001-00304","2011-08-08 00:00:00",327,"E",9
97,"0001-00304","2011-08-08 00:00:00",327,"B",3
97,"0001-00304","2011-08-08 00:00:00",327,"B",3
97,"0001-00304","2011-08-08 00:00:00",327,"C",7
98,"0001-00306","2011-08-08 00:00:00",71,"E",4
98,"0001-00306","2011-08-08 00:00:00",11,"C",4
98,"0001-00306","2011-08-08 00:00:00",11,"D",12
98,"0001-00306","2011-08-08 00:00:00",11,"D",11
98,"0001-00306","2011-08-08 00:00:00",11,"D",7
99,"0001-00307","2011-08-09 00:00:00",320,"E",12
99,"0001-00307","2011-08-09 00:00:00",20,"E",15
99,"0001-00307","2011-08-09 00:00:00",20,"D",4
99,"0001-00307","2011-08-09 00:00:00",20,"B",5
99,"0001-00307","2011-08-09 00:00:00",20,"B",4
100,"0001-00401","2011-08-06 00:00:00",244,"A",4
100,"0001-00401","2011-08-06 00:00:00",244,"A",5
100,"0001-00401","2011-08-06 00:00:00",244,"C",4
100,"0001-00401","2011-08-06 00:00:00",244,"C",8
100,"0001-00401","2011-08-06 00:00:00",244,"C",4
100,"0001-00401","2011-08-06 00:00:00",184,"B",4
100,"0001-00401","2011-08-06 00:00:00",184,"B",18
100,"0001-00401","2011-08-06 00:00:00",184,"C",8
101,"0001-00402","2011-08-07 00:00:00",17,"B",8
101,"0001-00402","2011-08-07 00:00:00",317,"C",4
102,"0001-00403","2011-08-07 00:00:00",195,"D",15
102,"0001-00403","2011-08-07 00:00:00",135,"B",9
103,"0001-00404","2011-08-07 00:00:00",138,"A",24
103,"0001-00404","2011-08-07 00:00:00",78,"D",8
104,"0001-00405","2011-08-07 00:00:00",300,"A",17
104,"0001-00405","2011-08-07 00:00:00",240,"C",16
105,"0001-00406","2011-08-07 00:00:00",225,"B",3
106,"0001-00407","2011-08-06 00:00:00",200,"E",6
106,"0001-00407","2011-08-06 00:00:00",160,"C",6
107,"0001-00501","2011-08-06 00:00:00",76,"B",4
107,"0001-00501","2011-08-06 00:00:00",76,"C",7
107,"0001-00501","2011-08-06 00:00:00",136,"B",24
110,"0001-00504","2011-08-05 00:00:00",38,"D",7
110,"0001-00504","2011-08-05 00:00:00",38,"C",10
110,"0001-00504","2011-08-05 00:00:00",38,"E",18
110,"0001-00504","2011-08-05 00:00:00",103,"C",6
110,"0001-00504","2011-08-05 00:00:00",103,"D",8
111,"0001-00505","2011-08-05 00:00:00",120,"B",4
111,"0001-00505","2011-08-05 00:00:00",120,"C",4
111,"0001-00505","2011-08-05 00:00:00",120,"D",10
111,"0001-00505","2011-08-05 00:00:00",38,"B",6
111,"0001-00505","2011-08-05 00:00:00",38,"B",8
