"InvID","Plotid","Plotnum","InvYear","Invdate","Plotsize","Crew","Crew#","InvenType","TravelTime","TotalTime","Canopy","Pcomments"
195,"0001-00206",206,"2015","2015-07-12 00:00:00",0.100000001490116,"CS JM PM",3,"N",0.5,3.5,68,"MISSING TAGS. 13 16 19 41 42"
196,"0001-00204",204,"2015","2015-06-12 00:00:00",0.100000001490116,"PM JM CS",3,"N",0.100000001490116,2,60," "
1,"0001-00201",201,"1999","1999-06-17 00:00:00",0.100000001490116,"JH RH",2,"N",1.5,4.5,25,""
2,"0001-00202",202,"1999","1999-06-18 00:00:00",0.100000001490116,"RH JH",2,"N",0.200000002980232,2.5,80,""
3,"0001-00203",203,"1999","1999-06-18 00:00:00",0.100000001490116,"JH RH",2,"N",0.200000002980232,3.5,100,""
4,"0001-00204",204,"1999","1999-06-20 00:00:00",0.100000001490116,"RH JH",2,"N",0.100000001490116,2.5,85,"SMALL STREAM 2CH NW OF PLOT"
5,"0001-00205",205,"1999","1999-06-21 00:00:00",0.100000001490116,"RH",1,"N",0.200000002980232,4.5,85,""
6,"0001-00206",206,"1999","1999-06-22 00:00:00",0.100000001490116,"RH JH",2,"N",0.5,2.5,85,"2CH SE TO ESHOM CREEK"
7,"0001-00207",207,"1999","1999-06-22 00:00:00",0.100000001490116,"JH RH",2,"N",0.25,2,45,"ABOVE H2O FALL; MANY SP HAVE B. RUST; MANY WF HAVE GALS MAYBE MISTLETOE"
8,"0001-00301",301,"1999","1999-06-28 00:00:00",0.100000001490116,"RH JH",2,"N",0.100000001490116,2,80,"POWERLINES IN SW OF PLOT"
9,"0001-00302",302,"1999","1999-06-28 00:00:00",0.100000001490116,"JH RH",2,"N",0.5,1.10000002384186,40,"1/2 OF PLOT IS OLD LANDING WITH BRUSH PILE"
10,"0001-00303",303,"1999","1999-06-27 00:00:00",0.100000001490116,"RH JH",2,"N",0.100000001490116,1.20000004768372,40,"30 FT N OF OLD ROAD.  OLD PILE WOOD IN PLOT."
11,"0001-00304",304,"1999","1999-06-27 00:00:00",0.100000001490116,"JH RH",2,"N",0.100000001490116,2,70,""
12,"0001-00305",305,"1999","1999-06-27 00:00:00",0.100000001490116,"RH JH",2,"N",0.300000011920929,1.75,75,""
13,"0001-00306",306,"1999","1999-06-24 00:00:00",0.100000001490116,"JH RH",2,"N",0.200000002980232,1.70000004768372,55,""
14,"0001-00307",307,"1999","1999-06-24 00:00:00",0.100000001490116,"RH JH",2,"N",0.200000002980232,2.29999995231628,80,""
15,"0001-00401",401,"1999","1999-07-09 00:00:00",0.100000001490116,"JH",1,"N",0.100000001490116,3.5,85," IN BOG; OLD RESEARCH PLOT S OF PLOT"
16,"0001-00402",402,"1999","1999-07-07 00:00:00",0.100000001490116,"JH",1,"N",0.100000001490116,3,75,"LOCATED E OF ROAD AND W OF CREEK UNDER POWER LINES.  OLD PLOT IS LOCATED E OF PLOT CETER."
17,"0001-00403",403,"1999","1999-07-07 00:00:00",0.100000001490116,"RH JH",2,"N",0.100000001490116,1.20000004768372,80,""
18,"0001-00404",404,"1999","1999-07-07 00:00:00",0.100000001490116,"JH RH",2,"N",0.200000002980232,2.5,65,""
19,"0001-00405",405,"1999","1999-06-30 00:00:00",0.100000001490116,"RH JH",2,"N",0.200000002980232,1.5,100,"CREEK RUNS THROUGH PLOT; JUST UP STREAM FROM CONFLUENCE"
