"PlotID","Compnum","Aspect","SoilType","Slope","Topo","Elev","COMMENT"
"0001-00201",1,"E","X",17,"M",5480,NA
"0001-00202",1,"SE","X",30,"M",5410,NA
"0001-00203",1,"S","X",10,"L",5340,NA
"0001-00204",1,"SW","X",35,"M",5280,NA
"0001-00205",1,"SW","X",26,"M",5180,NA
"0001-00206",1,"R","X",30,"R",5110,NA
"0001-00207",1,"W","X",40,"U",5090,NA
"0001-00301",1,"S","X",15,"M",5440,NA
"0001-00302",1,"E","X",13,"M",5400,NA
"0001-00303",1,"SE","X",12,"R",5375,NA
"0001-00304",1,"E","X",45,"U",5340,NA
"0001-00305",1,"S","X",30,"M",5240,NA
"0001-00306",1,"NW","X",30,"M",5180,NA
"0001-00307",1,"SW","X",60,"B",5160,NA
"0001-00401",1,"SE","X",20,"W",5380,NA
"0001-00402",1,"SE","X",16,"W",5335,NA
"0001-00403",1,"E","X",23,"L",5310,NA
"0001-00404",1,"SW","X",13,"W",5255,NA
"0001-00405",1,"S","X",5,"W",5220,NA
"0001-00406",1,"NW","X",35,"U",5240,NA
"0001-00407",1,"N","X",13,"W",5250,NA
"0001-00501",1,"W","X",15,"M",5320,NA
"0001-00502",1,"W","X",18,"M",5360,NA
"0001-00503",1,"SW","X",13,"M",5355,NA
"0001-00504",1,"SW","X",15,"W",5300,NA
"0001-00505",1,"SW","X",10,"M",5300,NA
"0001-00506",1,"S","X",23,"U",5350,NA
"0001-00507",1,"NW","X",10,"M",5335,NA
"0001-00601",1,"SW","X",6,"M",5440,NA
"0001-00602",1,"SW","X",10,"R",5420,NA
"0001-00603",1,"S","X",12,"L",5370,NA
"0001-00604",1,"N","X",30,"L",5345,NA
"0001-00605",1,"SW","X",42,"M",5355,NA
"0001-00606",1,"S","X",15,"L",5375,NA
"0001-00607",1,"W","X",35,"M",5395,NA
"0001-00701",1,"S","X",20,"M",5460,NA
"0001-00702",1,"SW","X",10,"W",5395,NA
"0001-00703",1,"W","X",25,"L",5390,NA
"0001-00704",1,"W","X",14,"W",5380,NA
"0001-00705",1,"N","X",17,"M",5410,NA
"0001-00706",1,"W","X",30,"W",5420,NA
"0001-00707",1,"N","X",25,"M",5455,NA
"0001-00801",1,"SW","X",40,"M",5485,NA
"0001-00802",1,"W","X",20,"M",5510,NA
"0001-00803",1,"SW","X",45,"M",5520,NA
"0001-00804",1,"W","X",10,"W",5475,NA
"0001-00805",1,"NW","X",5,"W",5460,NA
"0001-00806",1,"NW","X",30,"M",5490,NA
"0001-00807",1,"NW","X",35,"W",5490,NA
"0001-00808",1,"NW","X",40,"M",5610,NA
"0001-00809",1,"NW","X",50,"M",5720,NA
"0001-00810",1,"NW","X",60,"U",5810,NA
"0001-00901",1,"W","X",45,"M",5615,NA
"0001-00902",1,"W","X",35,"M",5660,NA
"0001-00903",1,"SW","X",38,"M",5640,NA
"0001-00904",1,"W","X",40,"M",5550,NA
"0001-00905",1,"NW","X",40,"M",5545,NA
"0001-00906",1,"NW","X",45,"M",5610,NA
"0001-00907",1,"SW","X",37,"M",5660,NA
"0001-00908",1,"N","X",40,"M",5685,NA
"0001-00909",1,"N","X",15,"M",5795,NA
"0001-00910",1,"NW","X",45,"M",5940,NA
"0001-01001",1,"NW","X",35,"L",5710,NA
"0001-01002",1,"W","X",40,"R",5780,NA
"0001-01003",1,"W","X",35,"M",5745,NA
"0001-01004",1,"W","X",27,"M",5700,NA
"0001-01005",1,"W","X",25,"M",5710,NA
"0001-01006",1,"W","X",40,"M",5770,NA
"0001-01007",1,"W","X",35,"U",5830,NA
"0001-01008",1,"NW","X",30,"W",5850,NA
"0001-01009",1,"W","X",45,"L",5845,NA
"0001-01010",1,"N","X",30,"U",5985,NA
"0001-01101",1,"NW","X",20,"W",5780,NA
"0001-01102",1,"NW","X",25,"M",5845,NA
"0001-01103",1,"W","X",25,"M",5840,NA
"0001-01104",1,"W","X",65,"M",5825,NA
"0001-01201",1,"W","X",15,"M",5885,NA
"0001-01202",1,"NW","X",25,"M",5930,NA
"0001-01203",1,"SW","X",37,"M",5970,NA
"0001-01204",1,"NW","X",40,"M",5970,NA
"0001-01301",1,"W","X",25,"M",5990,NA
"0001-01302",1,"W","X",30,"M",6080,NA
"0001-01303",1,"W","X",40,"M",6120,NA
"0001-01304",1,"NW","X",55,"M",6120,NA
"0001-01401",1,"W","X",20,"U",6125,NA
"0001-01402",1,"NW","X",40,"U",6220,NA
"0001-01403",1,"W","X",45,"U",6320,NA
"0001-01404",1,"W","X",35,"U",6350,NA
