"InvID","PlotID","Invdate","Treenum","Species","Cdeath","Yrdeath","Comment"
174,"0001-01301","2013-06-20 00:00:00",7,"WF","N","9",""
175,"0001-00809","2013-06-23 00:00:00",1,"WF","U","9","TOO SMALL"
175,"0001-00809","2013-06-23 00:00:00",2,"WF","U","9","TOO SMALL"
175,"0001-00809","2013-06-23 00:00:00",3,"WF","U","9","TOO SMALL"
175,"0001-00809","2013-06-23 00:00:00",4,"WF","U","9","TOO SMALL"
175,"0001-00809","2013-06-23 00:00:00",5,"SP","U","9","TOO SMALL"
175,"0001-00809","2013-06-23 00:00:00",8,"WF","U","9","TOO SMALL"
175,"0001-00809","2013-06-23 00:00:00",9,"WF","U","9","TOO SMALL"
175,"0001-00809","2013-06-23 00:00:00",12,"WF","U","9","TOO SMALL"
175,"0001-00809","2013-06-23 00:00:00",13,"WF","U","9","TOO SMALL"
175,"0001-00809","2013-06-23 00:00:00",14,"WF","U","9","TOO SMALL"
175,"0001-00809","2013-06-23 00:00:00",15,"WF","U","9","TOO SMALL"
175,"0001-00809","2013-06-23 00:00:00",16,"WF","U","9","TOO SMALL"
175,"0001-00809","2013-06-23 00:00:00",17,"WF","F","9","SNAG TOO SMALL"
175,"0001-00809","2013-06-23 00:00:00",20,"IC","N","9","FALLEN"
175,"0001-00809","2013-06-23 00:00:00",21,"PP","N","9","FALLEN"
175,"0001-00809","2013-06-23 00:00:00",29,"IC","F","9","SNAG TOO SMALL;INGROWTH AZ 119"
176,"0001-00810","2013-06-23 00:00:00",4,"IC","N","9","TOO SMALL FOR SNAG"
176,"0001-00810","2013-06-23 00:00:00",5,"WF","N","9","TOO SMALL FOR SNAG"
176,"0001-00810","2013-06-23 00:00:00",7,"BO","N","9","TOO SMALL FOR SNAG"
176,"0001-00810","2013-06-23 00:00:00",14,"IC","U","9","TOO SMALL "
176,"0001-00810","2013-06-23 00:00:00",16,"BO","M","9",""
176,"0001-00810","2013-06-23 00:00:00",17,"IC","U","9","TOO SMALL FOR SNAG"
177,"0001-00908","2013-06-23 00:00:00",11,"WF","F","9","SNAG TOO SMALL"
177,"0001-00908","2013-06-23 00:00:00",12,"IC","F","9","SNAG TOO SMALL"
177,"0001-00908","2013-06-23 00:00:00",13,"WF","F","9","SNAG TOO SMALL"
177,"0001-00908","2013-06-23 00:00:00",21,"IC","F","9","SNAG TOO SMALL"
179,"0001-00910","2013-06-23 00:00:00",4,"IC","N","9",""
179,"0001-00910","2013-06-23 00:00:00",5,"DW","F","9",""
180,"0001-01006","2013-06-22 00:00:00",7,"GS","M","9",""
181,"0001-01007","2013-06-23 00:00:00",15,"SP","F","1","SNAG<8"
182,"0001-01008","2013-06-23 00:00:00",7,"IC","M","9",""
182,"0001-01008","2013-06-23 00:00:00",14,"WF","U","9","TOO SMALL"
182,"0001-01008","2013-06-23 00:00:00",16,"WF","U","9","TOO SMALL"
182,"0001-01008","2013-06-23 00:00:00",21,"IC","U","9","TOO SMALL"
183,"0001-01009","2013-06-23 00:00:00",3,"WF","M","9",""
183,"0001-01009","2013-06-23 00:00:00",5,"WF","M","9",""
183,"0001-01009","2013-06-23 00:00:00",10,"WF","N","9",""
183,"0001-01009","2013-06-23 00:00:00",16,"WF","U","9","OUT OF PLOT"
