"InvID","PlotID","Treenum","Invdate","Species","Dbh","Theight","Crclass","Heightcb","Damdis","Folqual","Comment","Radgro10","Radgro5","Weight"
6,"0001-00206",25,"1998-06-22 00:00:00","CO",5.30000019073486,12,"S",5,"L","N","",-9,-9,10
6,"0001-00206",26,"1998-06-22 00:00:00","IC",1.10000002384186,8,"S",3,"H","N","1/100",-9,-9,100
6,"0001-00206",27,"1998-06-22 00:00:00","WF",7.80000019073486,35,"C",16,"J","N","1/100",-9,-9,10
6,"0001-00206",28,"1998-06-22 00:00:00","WF",11.6999998092651,51,"D",20,"H","N","",-9,-9,10
6,"0001-00206",29,"1998-06-22 00:00:00","WF",9,38,"C",18,"H","N","1/100; WITNESS AZ216DIST7.8'",-9,-9,10
6,"0001-00206",30,"1998-06-22 00:00:00","IC",1,7,"S",4,"R","N","1/100",-9,-9,100
6,"0001-00206",31,"1998-06-22 00:00:00","CO",4.90000009536743,28,"I",12,"H","N","",-9,-9,10
6,"0001-00206",32,"1998-06-22 00:00:00","CO",5.90000009536743,29,"I",11,"H","N","",-9,-9,10
6,"0001-00206",33,"1998-06-22 00:00:00","WF",9.80000019073486,40,"I",6,"H","N","",-9,-9,10
6,"0001-00206",34,"1998-06-22 00:00:00","IC",27.7000007629395,60,"D",43,"T","N","",-9,-9,10
6,"0001-00206",35,"1998-06-22 00:00:00","WF",6.80000019073486,38,"I",17,"H","N","",-9,-9,10
6,"0001-00206",36,"1998-06-22 00:00:00","WF",6.59999990463257,38,"I",16,"H","N","",-9,-9,10
6,"0001-00206",37,"1998-06-22 00:00:00","WF",6.5,30,"I",13,"H","N","",-9,-9,10
6,"0001-00206",38,"1998-06-22 00:00:00","WF",5,26,"I",19,"J","N","",-9,-9,10
6,"0001-00206",39,"1998-06-22 00:00:00","WF",4.90000009536743,23,"I",12,"H","N","WITNESS AZ310DIST13.2'",-9,-9,10
6,"0001-00206",40,"1998-06-22 00:00:00","WF",6.09999990463257,28,"I",16,"H","N","",-9,-9,10
6,"0001-00206",41,"1998-06-22 00:00:00","WF",5.30000019073486,25,"I",14,"H","N","",-9,-9,10
6,"0001-00206",42,"1998-06-22 00:00:00","CO",3.20000004768372,17,"I",8,"H","N","",-9,-9,100
6,"0001-00206",43,"1998-06-22 00:00:00","WF",6,32,"I",18,"H","N","",-9,-9,10
6,"0001-00206",44,"1998-06-22 00:00:00","WF",5.19999980926514,26,"S",15,"K","N","",-9,-9,10
6,"0001-00206",45,"1998-06-22 00:00:00","WF",4.5,24,"S",13,"K","N","",-9,-9,10
7,"0001-00207",1,"1999-06-22 00:00:00","WF",15.1999998092651,90,"C",38,"H","N","WHITNESS DIST10.2 AZ02",-9,-9,10
7,"0001-00207",2,"1999-06-22 00:00:00","IC",6.40000009536743,12,"S",3,"J","N","",-9,-9,10
7,"0001-00207",3,"1999-06-22 00:00:00","IC",18.6000003814697,79,"I",20,"H","N","",-9,-9,10
7,"0001-00207",4,"1999-06-22 00:00:00","SP",21.2999992370605,104,"D",43,"R","N","",-9,-9,10
7,"0001-00207",5,"1999-06-22 00:00:00","WF",4.59999990463257,32,"S",8,"R","P","",-9,-9,10
7,"0001-00207",6,"1999-06-22 00:00:00","WF",8,48,"I",27,"H","N","",-9,-9,10
7,"0001-00207",7,"1999-06-22 00:00:00","WF",5.5,29,"S",17,"H","N","",-9,-9,10
7,"0001-00207",8,"1999-06-22 00:00:00","WF",7.90000009536743,46,"I",21,"H","N","WHITNESS DIST15 AZ104",-9,-9,10
1,"0001-00201",1,"1999-06-17 00:00:00","GS",6.59999990463257,41,"S",33,"H","N","",-9,-9,10
1,"0001-00201",2,"1999-06-17 00:00:00","GS",8.60000038146973,51,"S",48,"T","T","",-9,-9,10
1,"0001-00201",3,"1999-06-17 00:00:00","GS",7.09999990463257,34,"S",29,"S","N","",-9,-9,10
1,"0001-00201",4,"1999-06-17 00:00:00","GS",6.40000009536743,31,"S",23,"H","N","",-9,-9,10
1,"0001-00201",5,"1999-06-17 00:00:00","GS",6.5,29,"S",19,"H","N","",-9,-9,10
1,"0001-00201",6,"1999-06-17 00:00:00","GS",8.69999980926514,44,"S",33,"T","N","",-9,-9,10
1,"0001-00201",7,"1999-06-17 00:00:00","GS",8.19999980926514,42,"S",34,"T","N","",-9,-9,10
1,"0001-00201",8,"1999-06-17 00:00:00","GS",4.59999990463257,32,"S",23,"H","N","",-9,-9,10
1,"0001-00201",9,"1999-06-17 00:00:00","GS",5.40000009536743,32,"S",27,"S","N","",-9,-9,10
