"InvID","PlotID","Invdate","Species","Less than 1 foot","1 to 3 feet","3 to 5 feet","0 to 1 DBH","1 to 2 DBH","2 to 3 DBH","3 to 4 DBH","4 to 5 DBH","Comment"
15,"0001-00401","1999-07-09 00:00:00","WF",0,0,0,NA,NA,NA,NA,NA,NA
15,"0001-00401","1999-07-09 00:00:00","YW",0,0,0,NA,NA,NA,NA,NA,NA
16,"0001-00402","1999-07-07 00:00:00","AL",0,0,0,NA,NA,NA,NA,NA,NA
16,"0001-00402","1999-07-07 00:00:00","BO",0,0,0,NA,NA,NA,NA,NA,NA
16,"0001-00402","1999-07-07 00:00:00","CH",0,0,0,NA,NA,NA,NA,NA,NA
16,"0001-00402","1999-07-07 00:00:00","DF",0,0,0,NA,NA,NA,NA,NA,NA
16,"0001-00402","1999-07-07 00:00:00","DW",0,0,0,NA,NA,NA,NA,NA,NA
16,"0001-00402","1999-07-07 00:00:00","GS",0,0,0,NA,NA,NA,NA,NA,NA
16,"0001-00402","1999-07-07 00:00:00","HW",0,0,0,NA,NA,NA,NA,NA,NA
16,"0001-00402","1999-07-07 00:00:00","IC",0,0,0,NA,NA,NA,NA,NA,NA
16,"0001-00402","1999-07-07 00:00:00","LP",0,0,0,NA,NA,NA,NA,NA,NA
16,"0001-00402","1999-07-07 00:00:00","MA",0,0,0,NA,NA,NA,NA,NA,NA
16,"0001-00402","1999-07-07 00:00:00","MD",0,0,0,NA,NA,NA,NA,NA,NA
16,"0001-00402","1999-07-07 00:00:00","NM",0,0,0,NA,NA,NA,NA,NA,NA
16,"0001-00402","1999-07-07 00:00:00","PP",0,0,0,NA,NA,NA,NA,NA,NA
16,"0001-00402","1999-07-07 00:00:00","SP",2,0,1,NA,NA,NA,NA,NA,NA
16,"0001-00402","1999-07-07 00:00:00","TO",0,0,0,NA,NA,NA,NA,NA,NA
16,"0001-00402","1999-07-07 00:00:00","WF",9,25,12,NA,NA,NA,NA,NA,NA
16,"0001-00402","1999-07-07 00:00:00","YW",0,0,0,NA,NA,NA,NA,NA,NA
17,"0001-00403","1999-07-07 00:00:00","AL",0,0,0,NA,NA,NA,NA,NA,NA
17,"0001-00403","1999-07-07 00:00:00","BO",0,0,0,NA,NA,NA,NA,NA,NA
17,"0001-00403","1999-07-07 00:00:00","CH",0,0,0,NA,NA,NA,NA,NA,NA
17,"0001-00403","1999-07-07 00:00:00","DF",0,0,0,NA,NA,NA,NA,NA,NA
17,"0001-00403","1999-07-07 00:00:00","DW",0,0,0,NA,NA,NA,NA,NA,NA
17,"0001-00403","1999-07-07 00:00:00","GS",0,0,0,NA,NA,NA,NA,NA,NA
17,"0001-00403","1999-07-07 00:00:00","HW",0,0,0,NA,NA,NA,NA,NA,NA
17,"0001-00403","1999-07-07 00:00:00","IC",0,1,2,NA,NA,NA,NA,NA,NA
17,"0001-00403","1999-07-07 00:00:00","LP",0,0,0,NA,NA,NA,NA,NA,NA
17,"0001-00403","1999-07-07 00:00:00","MA",0,0,0,NA,NA,NA,NA,NA,NA
17,"0001-00403","1999-07-07 00:00:00","MD",0,0,0,NA,NA,NA,NA,NA,NA
17,"0001-00403","1999-07-07 00:00:00","NM",0,0,0,NA,NA,NA,NA,NA,NA
17,"0001-00403","1999-07-07 00:00:00","PP",0,0,0,NA,NA,NA,NA,NA,NA
17,"0001-00403","1999-07-07 00:00:00","SP",0,3,0,NA,NA,NA,NA,NA,NA
17,"0001-00403","1999-07-07 00:00:00","TO",0,0,0,NA,NA,NA,NA,NA,NA
17,"0001-00403","1999-07-07 00:00:00","WF",3,0,0,NA,NA,NA,NA,NA,NA
17,"0001-00403","1999-07-07 00:00:00","YW",0,0,0,NA,NA,NA,NA,NA,NA
18,"0001-00404","1999-07-07 00:00:00","AL",0,0,0,NA,NA,NA,NA,NA,NA
18,"0001-00404","1999-07-07 00:00:00","BO",3,3,0,NA,NA,NA,NA,NA,NA
18,"0001-00404","1999-07-07 00:00:00","CH",0,0,0,NA,NA,NA,NA,NA,NA
18,"0001-00404","1999-07-07 00:00:00","DF",0,0,0,NA,NA,NA,NA,NA,NA
18,"0001-00404","1999-07-07 00:00:00","DW",0,0,0,NA,NA,NA,NA,NA,NA
18,"0001-00404","1999-07-07 00:00:00","GS",0,0,0,NA,NA,NA,NA,NA,NA
18,"0001-00404","1999-07-07 00:00:00","HW",0,0,0,NA,NA,NA,NA,NA,NA
18,"0001-00404","1999-07-07 00:00:00","IC",3,0,0,NA,NA,NA,NA,NA,NA
18,"0001-00404","1999-07-07 00:00:00","LP",0,0,0,NA,NA,NA,NA,NA,NA
18,"0001-00404","1999-07-07 00:00:00","MA",0,0,0,NA,NA,NA,NA,NA,NA
18,"0001-00404","1999-07-07 00:00:00","MD",0,0,0,NA,NA,NA,NA,NA,NA
18,"0001-00404","1999-07-07 00:00:00","NM",0,0,0,NA,NA,NA,NA,NA,NA
18,"0001-00404","1999-07-07 00:00:00","PP",0,0,0,NA,NA,NA,NA,NA,NA
18,"0001-00404","1999-07-07 00:00:00","SP",6,0,0,NA,NA,NA,NA,NA,NA
18,"0001-00404","1999-07-07 00:00:00","TO",0,0,0,NA,NA,NA,NA,NA,NA
18,"0001-00404","1999-07-07 00:00:00","WF",26,0,0,NA,NA,NA,NA,NA,NA
18,"0001-00404","1999-07-07 00:00:00","YW",0,0,0,NA,NA,NA,NA,NA,NA
19,"0001-00405","1999-06-30 00:00:00","AL",0,0,0,NA,NA,NA,NA,NA,NA
19,"0001-00405","1999-06-30 00:00:00","BO",2,0,0,NA,NA,NA,NA,NA,NA
19,"0001-00405","1999-06-30 00:00:00","CH",0,0,0,NA,NA,NA,NA,NA,NA
19,"0001-00405","1999-06-30 00:00:00","DF",0,0,0,NA,NA,NA,NA,NA,NA
19,"0001-00405","1999-06-30 00:00:00","DW",0,0,0,NA,NA,NA,NA,NA,NA
19,"0001-00405","1999-06-30 00:00:00","GS",1,0,0,NA,NA,NA,NA,NA,NA
19,"0001-00405","1999-06-30 00:00:00","HW",0,0,0,NA,NA,NA,NA,NA,NA
19,"0001-00405","1999-06-30 00:00:00","IC",0,0,0,NA,NA,NA,NA,NA,NA
19,"0001-00405","1999-06-30 00:00:00","LP",0,0,0,NA,NA,NA,NA,NA,NA
19,"0001-00405","1999-06-30 00:00:00","MA",0,0,0,NA,NA,NA,NA,NA,NA
19,"0001-00405","1999-06-30 00:00:00","MD",0,0,0,NA,NA,NA,NA,NA,NA
19,"0001-00405","1999-06-30 00:00:00","NM",0,0,0,NA,NA,NA,NA,NA,NA
19,"0001-00405","1999-06-30 00:00:00","PP",0,0,0,NA,NA,NA,NA,NA,NA
19,"0001-00405","1999-06-30 00:00:00","SP",0,0,0,NA,NA,NA,NA,NA,NA
19,"0001-00405","1999-06-30 00:00:00","TO",0,0,0,NA,NA,NA,NA,NA,NA
19,"0001-00405","1999-06-30 00:00:00","WF",2,3,0,NA,NA,NA,NA,NA,NA
19,"0001-00405","1999-06-30 00:00:00","YW",0,0,0,NA,NA,NA,NA,NA,NA
20,"0001-00406","1999-06-30 00:00:00","AL",0,0,0,NA,NA,NA,NA,NA,NA
20,"0001-00406","1999-06-30 00:00:00","BO",5,1,0,NA,NA,NA,NA,NA,NA
20,"0001-00406","1999-06-30 00:00:00","CH",0,0,0,NA,NA,NA,NA,NA,NA
20,"0001-00406","1999-06-30 00:00:00","DF",0,0,0,NA,NA,NA,NA,NA,NA
20,"0001-00406","1999-06-30 00:00:00","DW",0,0,0,NA,NA,NA,NA,NA,NA
20,"0001-00406","1999-06-30 00:00:00","GS",0,0,0,NA,NA,NA,NA,NA,NA
20,"0001-00406","1999-06-30 00:00:00","HW",0,0,0,NA,NA,NA,NA,NA,NA
20,"0001-00406","1999-06-30 00:00:00","IC",12,2,2,NA,NA,NA,NA,NA,NA
20,"0001-00406","1999-06-30 00:00:00","LP",0,0,0,NA,NA,NA,NA,NA,NA
20,"0001-00406","1999-06-30 00:00:00","MA",0,0,0,NA,NA,NA,NA,NA,NA
20,"0001-00406","1999-06-30 00:00:00","MD",0,0,0,NA,NA,NA,NA,NA,NA
20,"0001-00406","1999-06-30 00:00:00","NM",0,0,0,NA,NA,NA,NA,NA,NA
