"InvID","PlotID","Invdate","Treenum","Species","dbh","Toppres","Woodpeck","Barkcond","Theight","Cdeath","Yrdeath","Whard","Nesthole","Limbcond","Comment"
80,"0001-01301","1999-08-30 00:00:00",16,"GS",8.10000038146973,"N","N",100,35,"U",9,1,0,"C",""
80,"0001-01301","1999-08-30 00:00:00",18,"GS",8.19999980926514,"N","N",100,21,"U",9,1,0,"E",""
80,"0001-01301","1999-08-30 00:00:00",20,"SP",7.69999980926514,"Y","N",100,30,"U",4,2,0,"B",""
81,"0001-01302","1999-08-30 00:00:00",3,"GS",6.40000009536743,"Y","N",100,28,"U",9,1,0,"B",""
81,"0001-01302","1999-08-30 00:00:00",15,"GS",6.09999990463257,"Y","N",100,34,"U",0,1,0,"A",""
81,"0001-01302","1999-08-30 00:00:00",23,"GS",6.90000009536743,"N","N",98,17,"P",0,2,0,"A","TOP LAYING AT BASE STILL GREE"
81,"0001-01302","1999-08-30 00:00:00",24,"WF",52.7999992370605,"N","Y",60,20,"U",9,4,1,"D",""
81,"0001-01302","1999-08-30 00:00:00",27,"GS",5.30000019073486,"Y","N",100,15,"N",9,1,0,"B",""
81,"0001-01302","1999-08-30 00:00:00",28,"GS",4.80000019073486,"Y","N",100,24,"N",9,1,0,"B",""
82,"0001-01303","1999-08-30 00:00:00",3,"WF",8.5,"Y","N",100,29,"U",0,1,0,"A",""
82,"0001-01303","1999-08-30 00:00:00",5,"WF",6.69999980926514,"Y","N",95,35,"U",9,2,0,"C",""
82,"0001-01303","1999-08-30 00:00:00",7,"WF",5.5,"Y","N",90,26,"U",9,3,0,"B",""
82,"0001-01303","1999-08-30 00:00:00",9,"BO",8.39999961853027,"Y","N",30,14,"U",9,1,0,"C","""WHOLE TREE IS ARCHED SO TOP IS ON THE GROUND, HEIGHT IS TO THE CURRET HEIGHEST POINT"""
82,"0001-01303","1999-08-30 00:00:00",11,"BO",13.1999998092651,"N","N",50,34,"U",9,1,0,"D",""
83,"0001-01304","1999-08-30 00:00:00",1,"WF",9.39999961853027,"Y","N",100,49,"U",9,3,0,"C",""
83,"0001-01304","1999-08-30 00:00:00",2,"WF",36,"N","N",100,96,"U",9,3,0,"C",""
83,"0001-01304","1999-08-30 00:00:00",11,"WF",10.1000003814697,"N","N",100,10,"P",0,2,0,"A","TOP LAYING AT BASE W/ GREEN FOILAGE"
