"InvID","PlotID","Invdate","Treenum","Species","dbh","Heartwood","Woodpeck","Barkcond","Theight","Cdeath","Yrdeath","Whard","Nesthole","SapWood","Weight","Comment"
166,"0001-00305","2013-06-22 00:00:00",1,"WF",23,"B","N",70,1,"R",4,-9,0,"B",10,""
166,"0001-00305","2013-06-22 00:00:00",11,"WF",25,"B","N",40,1,"R",4,1,0,"C",10,""
166,"0001-00305","2013-06-22 00:00:00",23,"WF",24,"B","N",25,1,"U",4,1,0,"C",10,""
166,"0001-00305","2013-06-22 00:00:00",26,"IC",32,"B","N",100,1,"R",4,1,0,"B",10,"WITNESS AZ122 D31.6"
166,"0001-00305","2013-06-22 00:00:00",28,"IC",36,"B","N",100,1,"R",4,1,0,"B",10,"WITNESS AZ154 D32.9"
167,"0001-00607","2013-06-22 00:00:00",3,"IC",24.3999996185303,"B","N",85,1,"R",4,-9,0,"B",10,""
167,"0001-00607","2013-06-22 00:00:00",6,"IC",32.9000015258789,"A","N",100,1,"R",4,-9,0,"A",10,"WITNESS AZ298 D15.6"
167,"0001-00607","2013-06-22 00:00:00",7,"IC",24.2999992370605,"B","N",95,1,"R",4,-9,0,"B",10,""
167,"0001-00607","2013-06-22 00:00:00",11,"IC",31.3999996185303,"B","N",60,1,"R",4,-9,0,"B",10,""
167,"0001-00607","2013-06-22 00:00:00",12,"WF",26,"B","N",60,1,"R",4,-9,0,"C",10,""
167,"0001-00607","2013-06-22 00:00:00",13,"WF",29,"B","N",95,1,"R",4,-9,0,"B",10,""
167,"0001-00607","2013-06-22 00:00:00",17,"IC",23,"B","N",100,1,"R",4,-9,0,"B",10,""
169,"0001-01101","2013-06-21 00:00:00",12,"WF",32.7999992370605,"B","N",100,1,"R",4,-9,0,"B",10,""
171,"0001-01201","2013-07-20 00:00:00",1,"IC",23.8999996185303,"D","N",0,2,"D",4,-9,0,"D",10,""
171,"0001-01201","2013-07-20 00:00:00",17,"GS",31,"B","N",0,4,"D",4,-9,0,"D",10,""
171,"0001-01201","2013-07-20 00:00:00",18,"GS",41.7999992370605,"B","N",5,2,"D",4,-9,0,"C",10,""
